Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																																		
Дата голосования: 07.12.2003 0:00:00																																																																																		
																																																																																		
Наименование Избирательной комиссии:    Борская 																																																																																		
																																																																																		
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																																		
																																																																																		
		Сумма	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331	УИК №332	УИК №333	УИК №334	УИК №335	УИК №336	УИК №337	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346	УИК №347	УИК №348	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356	УИК №357	УИК №358	УИК №359	УИК №360	УИК №361	УИК №362	УИК №363	УИК №364	УИК №365	УИК №366	УИК №367	УИК №368	УИК №369					
1	"Число избирателей, внесенных в списки"	99648	2151	2188	1946	1604	1624	1881	1510	1454	2014	2280	1312	1470	2793	1722	2250	2066	1312	1986	2073	1403	1059	1404	2138	1604	939	1392	2432	475	235	2154	1315	855	1456	2000	858	859	1066	1266	604	1524	1950	555	590	2359	1304	2683	983	685	604	764	304	1141	2325	2323	779	366	971	1013	1026	1566	2816	615	841	144	653	1036	1098	139	653	427	666	315	1394	1615	271					
2	"Число бюллетеней, полученных участковыми комиссиями"	78190	1670	1720	1550	1240	1300	1480	1200	1160	1600	1800	910	1130	2180	1350	1800	1610	1120	1520	1630	1100	800	1100	1700	1250	720	1050	1900	450	250	1700	950	850	1140	1470	650	680	870	980	470	1200	1550	430	450	1860	930	2100	750	530	480	600	240	880	1800	1850	600	300	780	800	810	1200	2200	600	650	120	530	800	840	110	510	360	530	230	1100	1220	200					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	41047	1005	996	889	768	730	739	666	620	859	862	488	498	972	782	1051	1047	606	903	976	686	418	656	1056	646	398	610	1094	314	218	1097	450	427	756	963	266	270	625	521	215	665	924	173	207	887	442	1123	366	195	151	123	133	420	853	822	110	92	304	332	471	438	1158	38	314	69	268	360	401	16	314	209	368	166	362	585	45					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	5032	10	14	14	38	11	35	21	19	24	36	9	71	40	38	32	16	20	21	42	36	64	30	28	45	54	34	67	102	0	23	26	15	10	4	153	160	43	206	127	30	34	149	63	11	9	20	19	101	85	168	14	36	115	149	175	118	127	77	0	182	90	263	73	38	80	114	150	68	79	22	19	52	204	255	105					
6	Число погашенных бюллетеней	32111	655	710	647	434	559	706	513	521	717	902	413	561	1168	530	717	547	494	596	612	378	318	414	616	559	268	406	739	34	32	580	474	408	374	503	231	250	202	253	128	505	592	108	180	962	479	957	365	234	244	309	93	424	832	879	315	90	349	391	339	580	952	299	263	13	182	326	289	26	117	129	143	12	534	380	50					
7	Число бюллетеней в переносных ящиках для голосования	5032	10	14	14	38	11	35	21	19	24	36	9	71	40	38	32	16	20	21	42	36	64	30	28	45	54	34	67	102	0	23	26	15	10	4	153	160	43	206	127	30	34	149	63	11	9	20	19	101	85	168	14	36	115	149	175	118	127	77	0	182	90	263	73	38	80	114	150	68	79	22	19	52	204	255	105					
8	Число бюллетеней в стационарных ящиках для голосования	41032	1005	996	889	768	730	739	666	620	859	862	488	488	972	781	1051	1047	606	903	976	686	418	656	1056	646	398	610	1094	314	218	1097	450	427	756	963	265	270	625	521	215	665	924	173	207	887	442	1123	366	195	151	123	133	420	851	822	110	92	304	332	471	438	1157	38	314	69	268	360	401	16	314	209	368	166	362	585	45					
9	Число недействительных бюллетеней	1256	11	13	21	15	31	10	17	28	27	15	6	16	25	15	20	21	15	20	16	19	13	7	12	17	12	24	24	31	10	35	25	33	13	14	8	5	31	14	13	18	33	25	1	21	10	32	28	19	16	10	6	15	42	35	13	4	8	8	3	39	25	0	16	4	9	15	8	0	13	17	10	2	13	34	2					
10	Число действительных бюллетеней	44808	1004	997	882	791	710	764	670	611	856	883	491	543	987	804	1063	1042	611	904	1002	703	469	679	1072	674	440	620	1137	385	208	1085	451	409	753	953	410	425	637	713	329	677	925	297	269	877	441	1111	357	277	220	281	141	441	924	936	272	206	423	401	468	581	1222	301	371	103	339	459	543	84	380	214	377	216	553	806	148					
