Выборы Президента Российской Федерации																						
																						
Наименование Избирательной комиссии:    Спас-Деменская																						
																						
Итоги голосования 																						
																						
		Сумма	УИК  601	УИК  602	УИК  603	УИК  604	УИК  605	УИК  606	УИК  607	УИК  608	УИК  609	УИК  610	УИК  611	УИК  612	УИК  613	УИК  614	УИК  615					
1	"Число избирателей, внесенных в список"	7915	2252	2147	328	183	259	244	475	140	142	151	312	276	223	139	644					
2	Число полученных избирательных бюллетеней	7296	2050	2000	301	170	245	225	430	125	130	135	290	260	205	130	600					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	4270	1170	1090	194	118	171	154	273	114	91	63	160	45	122	100	405					
5	"Число избирательных бюллетеней, выданных вне помещения"	1052	106	38	85	25	71	65	120	6	39	60	83	170	69	11	104					
6	Число погашенных избирательных бюллетеней	1974	774	872	22	27	3	6	37	5	0	12	47	45	14	19	91					
7	Число избирательных бюллетеней в переносных ящиках	1052	106	38	85	25	71	65	120	6	39	60	83	170	69	11	104					
8	Число бюллетеней в стационарных ящиках для голосования	4270	1170	1090	194	118	171	154	273	114	91	63	160	45	122	100	405					
9	Число недействительных избирательных бюллетеней	32	7	9	0	0	0	1	3	3	0	0	4	0	0	1	4					
10	Число действительных избирательных бюллетеней	5290	1269	1119	279	143	242	218	390	117	130	123	239	215	191	110	505					
11	Число полученных открепительных  удостоверений	94	10	10	6	5	5	5	7	5	5	5	7	6	5	5	8					
12	Число выданных открепительных удостоверений	37	8	8	1	0	1	2	0	0	0	0	0	0	5	4	8					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	35	10	7	0	0	3	1	3	1	1	2	0	3	0	3	1					
14	Число неиспользованных открепительных удостоверений	57	2	2	5	5	4	3	7	5	5	5	7	6	0	1	0					
15	"Число открепительных удостоверений, выданных в ТИК"	6	1	2	0	0	0	0	0	0	0	0	0	0	0	0	3					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																						
18	. Глазьев Сергей Юрьевич	96	32	43	2	0	0	3	3	1	1	0	2	2	2	2	3					
		1.80%	2.51%	3.81%	0.72%	0.00%	0.00%	1.37%	0.76%	0.83%	0.77%	0.00%	0.82%	0.93%	1.05%	1.80%	0.59%					
19	. Малышкин Олег Александрович	61	18	19	1	1	1	2	4	2	0	0	1	2	3	1	6					
		1.15%	1.41%	1.68%	0.36%	0.70%	0.41%	0.91%	1.02%	1.67%	0.00%	0.00%	0.41%	0.93%	1.57%	0.90%	1.18%					
20	. Миронов Сергей Михайлович	23	6	5	1	0	1	1	2	2	0	0	1	0	0	2	2					
		0.43%	0.47%	0.44%	0.36%	0.00%	0.41%	0.46%	0.51%	1.67%	0.00%	0.00%	0.41%	0.00%	0.00%	1.80%	0.39%					
21	. Путин Владимир Владимирович	4148	948	767	225	122	214	170	307	101	113	106	222	177	163	83	430					
		77.94%	74.29%	68.00%	80.65%	85.31%	88.43%	77.63%	78.12%	84.17%	86.92%	86.18%	91.36%	82.33%	85.34%	74.77%	84.48%					
22	. Хакамада Ирина Муцуовна	92	35	17	5	3	0	2	7	2	1	1	1	4	1	5	8					
		1.73%	2.74%	1.51%	1.79%	2.10%	0.00%	0.91%	1.78%	1.67%	0.77%	0.81%	0.41%	1.86%	0.52%	4.50%	1.57%					
23	. Харитонов Николай Михайлович	795	206	239	41	16	24	38	64	9	15	16	12	25	22	16	52					
		14.94%	16.14%	21.19%	14.70%	11.19%	9.92%	17.35%	16.28%	7.50%	11.54%	13.01%	4.94%	11.63%	11.52%	14.41%	10.22%					
																						
24	Против всех	75	24	29	4	1	2	2	3	0	0	0	0	5	0	1	4					
		1.41%	1.88%	2.57%	1.43%	0.70%	0.83%	0.91%	0.76%	0.00%	0.00%	0.00%	0.00%	2.33%	0.00%	0.90%	0.79%					
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
