Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																							
Дата голосования: 02.12.2007																							
																							
Наименование Избирательной комиссии:    Останкинский район																							
																							
Сводная таблица результатов выборов																							
																							
		Сумма	УИК №685	УИК №686	УИК №687	УИК №688	УИК №689	УИК №690	УИК №691	УИК №692	УИК №693	УИК №694	УИК №695	УИК №696	УИК №697	УИК №698	УИК №699	УИК №700					
1	"Число избирателей, внесенных в списки избирателей"	37150	2405	1774	2210	2280	1915	1854	2201	2536	2525	2159	2555	2004	2504	2827	2677	2724					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	30100	1900	1500	1800	1800	1500	1800	1700	2000	2000	1800	2100	1600	2000	2300	2100	2200					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	19680	1157	938	1171	1230	1042	1068	1172	1362	1452	1133	1332	1029	1283	1441	1448	1422					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	650	38	29	37	49	39	25	37	40	60	40	48	45	61	31	40	31					
6	Число погашенных избирательных бюллетеней	9770	705	533	592	521	419	707	491	598	488	627	720	526	656	828	612	747					
7	Число избирательных бюллетеней в переносных ящиках для голосования	646	38	28	37	49	38	25	35	40	60	40	48	45	61	31	40	31					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	19559	1153	929	1169	1219	1036	1060	1171	1351	1442	1130	1331	1026	1280	1409	1439	1414					
9	Число недействительных избирательных бюллетеней	308	21	19	22	13	11	20	18	14	21	13	42	18	20	17	20	19					
10	Число действительных избирательных бюллетеней	19897	1170	938	1184	1255	1063	1065	1188	1377	1481	1157	1337	1053	1321	1423	1459	1426					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	740	50	30	50	35	30	30	40	50	60	50	50	50	50	50	65	50					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	601	35	25	28	34	27	27	36	41	60	43	45	30	28	43	60	39					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	914	64	26	57	78	93	36	122	58	85	18	23	39	59	60	62	34					
14	Число погашенных неиспользованных открепительных удостоверений	139	15	5	22	1	3	3	4	9	0	7	5	20	22	7	5	11					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	201	15	15	14	19	4	8	9	5	9	11	4	10	17	31	20	10					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																							
18	1.Политическая партия «Аграрная партия России»	584	22	28	36	20	22	26	46	37	38	53	52	31	42	42	44	45					
		2.89%	1.85%	2.93%	2.99%	1.58%	2.05%	2.40%	3.81%	2.66%	2.53%	4.53%	3.77%	2.89%	3.13%	2.92%	2.97%	3.11%					
19	2.Всероссийская политическая партия «Гражданская Сила»	640	45	29	34	26	41	35	28	52	51	47	37	33	42	50	48	42					
		3.17%	3.78%	3.03%	2.82%	2.05%	3.82%	3.23%	2.32%	3.74%	3.40%	4.02%	2.68%	3.08%	3.13%	3.47%	3.25%	2.91%					
20	3.Политическая партия «Демократическая партия России»	45	2	0	0	4	3	0	5	5	4	4	6	3	3	3	1	2					
