Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																			
Дата голосования: 18.09.2016																																																																			
																																																																			
"Наименование Избирательной комиссии:    Пермь, Орджоникидзевская"																																																																			
																																																																			
Сводная таблица итогов голосования по федеральному избирательному округу																																																																			
																																																																			
		Сумма	УИК №3301	УИК №3302	УИК №3303	УИК №3304	УИК №3305	УИК №3306	УИК №3307	УИК №3308	УИК №3309	УИК №3310	УИК №3311	УИК №3312	УИК №3313	УИК №3314	УИК №3315	УИК №3316	УИК №3317	УИК №3318	УИК №3319	УИК №3320	УИК №3321	УИК №3322	УИК №3323	УИК №3324	УИК №3325	УИК №3326	УИК №3327	УИК №3328	УИК №3329	УИК №3330	УИК №3331	УИК №3332	УИК №3333	УИК №3334	УИК №3335	УИК №3336	УИК №3337	УИК №3338	УИК №3339	УИК №3340	УИК №3341	УИК №3342	УИК №3343	УИК №3344	УИК №3345	УИК №3346	УИК №3347	УИК №3348	УИК №3349	УИК №3350	УИК №3351	УИК №3352	УИК №3353	УИК №3354	УИК №3355	УИК №3356									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	96000	1231	1600	1709	77	1805	1988	1713	1751	1851	1986	2332	2543	1650	1505	1787	2367	1826	1705	1467	1841	1931	2098	1273	163	2205	2487	2222	1078	1744	2024	1890	2508	2064	1403	1708	2161	2655	2113	1786	1819	1814	1675	1721	1677	1005	1473	1309	2111	1954	2106	2476	1925	1815	450	226	197									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	93730	1200	1600	1700	80	1800	2000	1700	1700	1800	1900	2300	2700	1600	1400	1800	2300	1800	1700	1400	1800	1900	2000	1200	150	2200	2400	2200	1000	1700	2000	1800	2400	1900	1300	1700	2100	2600	2000	1800	1800	1800	1700	1700	1600	900	1400	1300	2100	1900	1900	2400	1900	1800	450	250	200									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	32597	425	526	504	33	629	765	609	581	701	647	846	1380	472	505	550	809	544	550	389	662	722	822	461	57	757	912	690	339	561	608	569	563	458	453	595	753	828	584	699	700	523	689	748	579	250	447	365	644	687	673	838	606	578	377	183	152									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	658	11	5	14	38	14	11	5	3	4	17	18	9	11	3	9	9	4	11	7	14	3	3	1	4	10	21	14	9	13	5	12	12	1	9	6	4	8	3	15	6	6	9	9	19	14	14	23	16	19	23	14	23	18	1	37	37									
6	Число погашенных избирательных бюллетеней	60475	764	1069	1182	9	1157	1224	1086	1116	1095	1236	1436	1311	1117	892	1241	1482	1252	1139	1004	1124	1175	1175	738	89	1433	1467	1496	652	1126	1387	1219	1825	1441	838	1099	1343	1764	1413	1086	1094	1271	1002	943	1002	636	939	912	1440	1194	1204	1548	1271	1204	72	30	11									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	658	11	5	14	38	14	11	5	3	4	17	18	9	11	3	9	9	4	11	7	14	3	3	1	4	10	21	14	9	13	5	12	12	1	9	6	4	8	3	15	6	6	9	9	19	14	14	23	16	19	23	14	23	18	1	37	37									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	32501	425	526	502	33	627	756	608	581	701	646	846	1380	469	505	549	809	544	519	389	662	722	822	461	57	757	911	690	339	560	603	563	563	449	453	593	753	828	583	689	699	523	689	748	578	246	446	363	643	687	673	838	605	578	377	183	152									
9	Число недействительных избирательных бюллетеней	1672	17	33	26	9	31	46	26	19	27	30	34	64	39	26	30	26	24	19	19	24	27	22	19	10	39	33	25	25	27	13	48	30	13	40	27	44	40	30	28	45	35	24	37	30	20	19	19	34	53	34	36	38	36	41	51	11									
10	Число действительных избирательных бюллетеней	31487	419	498	490	62	610	721	587	565	678	633	830	1325	441	482	528	792	524	511	377	652	698	803	443	51	728	899	679	323	546	595	527	545	437	422	572	713	796	556	676	660	494	674	720	567	240	441	367	625	653	662	816	590	560	337	169	178									
