Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																											
Дата голосования: 07.12.2003 0:00:00																																											
																																											
Наименование Избирательной комиссии:    Шолоховская																																											
																																											
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																											
																																											
		Сумма	УИК  1285	УИК  1286	УИК  1287	УИК  1288	УИК  1289	УИК  1290	УИК  1291	УИК  1292	УИК  1293	УИК  1294	УИК  1295	УИК  1296	УИК  1297	УИК  1298	УИК  1299	УИК  1300	УИК  1301	УИК  1302	УИК  1303	УИК  1304	УИК  1305	УИК  1306	УИК  1307	УИК  1308	УИК  1309	УИК  1310	УИК  1311	УИК  1312	УИК  1313	УИК  1314	УИК  1315	УИК  1316	УИК  1317	УИК  1318	УИК  2521	УИК  2590					
1	"Число избирателей, внесенных в списки"	22151	1989	1474	508	178	156	2902	2532	2510	400	125	93	584	443	204	589	172	141	1096	280	98	873	143	367	112	1027	223	197	109	1078	133	363	170	557	157	98	70					
2	"Число бюллетеней, полученных участковыми комиссиями"	22008	2000	1475	503	178	152	2855	2540	2450	400	127	92	580	440	203	586	171	138	1100	280	92	862	141	364	108	1030	225	192	107	1075	131	360	168	570	155	92	66					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	10863	885	649	200	117	86	1145	1229	1084	162	62	69	326	227	104	399	71	105	663	143	66	470	68	167	68	617	123	126	67	478	82	215	124	290	79	53	44					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1807	125	80	76	14	29	190	116	64	20	5	14	62	44	32	34	35	9	53	42	15	81	40	71	22	126	49	46	16	103	17	19	25	81	22	22	8					
6	Число погашенных бюллетеней	9338	990	746	227	47	37	1520	1195	1302	218	60	9	192	169	67	153	65	24	384	95	11	311	33	126	18	287	53	20	24	494	32	126	19	199	54	17	14					
7	Число бюллетеней в переносных ящиках для голосования	1807	125	80	76	14	29	190	116	64	20	5	14	62	44	32	34	35	9	53	42	15	81	40	71	22	126	49	46	16	103	17	19	25	81	22	22	8					
8	Число бюллетеней в стационарных ящиках для голосования	10863	885	649	200	117	86	1145	1229	1084	162	62	69	326	227	104	399	71	105	663	143	66	470	68	167	68	617	123	126	67	478	82	215	124	290	79	53	44					
9	Число недействительных бюллетеней	135	16	3	1	0	0	7	14	10	5	6	2	0	5	5	4	1	0	4	0	0	15	0	6	3	2	1	1	0	6	3	7	2	4	1	1	0					
10	Число действительных бюллетеней	12535	994	726	275	131	115	1328	1331	1138	177	61	81	388	266	131	429	105	114	712	185	81	536	108	232	87	741	171	171	83	575	96	227	147	367	100	74	52					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	460	25	20	5	5	5	45	40	45	10	3	3	20	6	5	20	5	5	30	7	3	20	5	7	3	20	9	3	3	20	5	10	7	30	5	3	3					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	180	6	8	0	1	0	22	26	23	0	0	0	0	2	0	2	1	1	29	0	3	7	1	3	0	3	0	0	0	4	1	1	0	29	4	3	0					
