Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																				
Дата голосования: 07.12.2003 0:00:00																																																																				
																																																																				
Наименование Избирательной комиссии:    Янаульская городская																																																																				
																																																																				
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																				
																																																																				
		Сумма	УИК №1434	УИК №1435	УИК №1436	УИК №1437	УИК №1438	УИК №1439	УИК №1440	УИК №1441	УИК №1442	УИК №1443	УИК №1444	УИК №1445	УИК №1446	УИК №1447	УИК №1448	УИК №1449	УИК №1450	УИК №1451	УИК №1452	УИК №1453	УИК №1454	УИК №1455	УИК №1456	УИК №1457	УИК №1458	УИК №1459	УИК №1460	УИК №1461	УИК №1462	УИК №1463	УИК №1464	УИК №1465	УИК №1466	УИК №1467	УИК №1468	УИК №1469	УИК №1470	УИК №1471	УИК №1472	УИК №1473	УИК №1474	УИК №1475	УИК №1476	УИК №1477	УИК №1478	УИК №1479	УИК №1480	УИК №1481	УИК №1482	УИК №1483	УИК №1484	УИК №1485	УИК №1486	УИК №1487	УИК №1488	УИК №1489	УИК №1490	УИК №1491	УИК №1492	УИК №1493	УИК №1494					
1	"Число избирателей, внесенных в списки"	36651	1871	1801	989	1902	1830	1821	1932	1891	1915	1065	942	1007	930	193	312	184	203	99	142	149	363	375	277	442	168	371	219	123	444	200	264	683	413	1080	227	548	558	512	203	376	319	178	710	316	365	456	123	550	205	327	555	377	578	277	259	588	380	295	330	160	279					
2	"Число бюллетеней, полученных участковыми комиссиями"	35286	1721	1715	877	1737	1749	1775	1811	1745	1752	928	863	953	885	187	314	217	206	100	145	151	373	375	271	432	155	379	217	130	445	241	258	681	402	1071	221	565	559	511	203	378	309	168	705	315	360	452	125	558	205	329	550	375	581	281	251	597	378	289	327	158	275					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	28111	1349	1387	784	1494	1443	1332	1566	1373	1354	803	625	803	639	161	312	183	156	99	103	122	269	334	216	298	119	318	188	112	329	195	148	575	318	729	154	506	435	374	158	323	260	148	525	276	270	259	96	411	137	303	402	261	469	225	193	500	314	246	265	138	227					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1298	19	78	34	16	27	24	5	27	14	20	19	15	18	9	0	0	17	0	13	10	11	15	15	57	28	33	14	11	29	5	66	27	23	3	10	0	25	29	11	26	25	9	53	35	18	87	7	5	13	0	6	14	46	24	32	31	24	18	16	12	20					
6	Число погашенных бюллетеней	5877	353	250	59	227	279	419	240	345	384	105	219	135	228	17	2	34	33	1	29	19	93	26	40	77	8	28	15	7	87	41	44	79	61	339	57	59	99	108	34	29	24	11	127	4	72	106	22	142	55	26	142	100	66	32	26	66	40	25	46	8	28					
7	Число бюллетеней в переносных ящиках для голосования	1298	19	78	34	16	27	24	5	27	14	20	19	15	18	9	0	0	17	0	13	10	11	15	15	57	28	33	14	11	29	5	66	27	23	3	10	0	25	29	11	26	25	9	53	35	18	87	7	5	13	0	6	14	46	24	32	31	24	18	16	12	20					
8	Число бюллетеней в стационарных ящиках для голосования	28090	1349	1387	784	1494	1443	1332	1566	1373	1354	783	625	803	639	161	312	183	156	99	103	122	269	334	216	298	119	318	188	112	329	195	148	574	318	729	154	506	435	374	158	323	260	148	525	276	270	259	96	411	137	303	402	261	469	225	193	500	314	246	265	138	227					
9	Число недействительных бюллетеней	1428	38	14	26	29	24	29	43	30	42	33	33	58	37	35	14	21	21	1	2	19	44	11	31	18	9	4	15	28	24	15	26	5	20	57	33	4	28	33	10	16	18	7	39	24	10	5	6	23	29	39	64	18	6	33	11	22	15	18	24	11	26					
10	Число действительных бюллетеней	27960	1330	1451	792	1481	1446	1327	1528	1370	1326	770	611	760	620	135	298	162	152	98	114	113	236	338	200	337	138	347	187	95	334	185	188	596	321	675	131	502	432	370	159	333	267	150	539	287	278	341	97	393	121	264	344	257	509	216	214	509	323	246	257	139	221					
