Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																												
Дата голосования: 07.12.2003 0:00:00																												
																												
Наименование Избирательной комиссии:    Ковернинская																												
																												
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																												
																												
		Сумма	УИК №982	УИК №983	УИК №984	УИК №985	УИК №986	УИК №987	УИК №988	УИК №989	УИК №990	УИК №991	УИК №992	УИК №993	УИК №994	УИК №995	УИК №996	УИК №997	УИК №998	УИК №999	УИК №1000	УИК №1001	УИК №1002					
1	"Число избирателей, внесенных в списки"	16925	2567	2336	904	860	299	175	1154	396	498	411	1609	934	899	374	679	508	189	546	680	254	653					
2	"Число бюллетеней, полученных участковыми комиссиями"	15243	2312	2128	809	772	270	156	1028	364	445	395	1437	833	794	335	611	455	177	492	615	225	590					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	7319	1147	1106	381	273	60	45	587	148	186	210	872	344	339	153	227	232	71	213	354	125	246					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	2116	45	50	28	97	86	59	139	109	168	76	135	168	140	50	153	113	71	135	55	65	174					
6	Число погашенных бюллетеней	5808	1120	972	400	402	124	52	302	107	91	109	430	321	315	132	231	110	35	144	206	35	170					
7	Число бюллетеней в переносных ящиках для голосования	2115	44	50	28	97	86	59	139	109	168	76	135	168	140	50	153	113	71	135	55	65	174					
8	Число бюллетеней в стационарных ящиках для голосования	7319	1147	1106	381	273	60	45	587	148	186	210	872	344	339	153	227	232	71	213	354	125	246					
9	Число недействительных бюллетеней	196	29	14	9	3	2	1	21	2	0	13	19	13	12	6	9	5	4	0	16	7	11					
10	Число действительных бюллетеней	9238	1162	1142	400	367	144	103	705	255	354	273	988	499	467	197	371	340	138	348	393	183	409					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	400	50	50	20	20	11	8	30	10	12	11	40	20	20	10	15	12	8	13	16	9	15					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	26	10	3	0	1	0	0	1	0	4	1	3	0	0	0	2	0	1	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	19	2	1	1	2	0	1	1	1	0	0	2	2	1	1	1	0	1	1	0	1	0					
14	Число погашенных открепительных удостоверений	374	40	47	20	19	11	8	29	10	8	10	37	20	20	10	13	12	7	13	16	9	15					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																												
18	"1. ""ЕДИНЕНИЕ"""	177	20	16	10	7	3	4	10	1	12	7	20	6	8	7	8	1	3	4	12	6	12					
		1.87%	1.67%	1.38%	2.44%	1.89%	2.05%	3.84%	1.37%	0.38%	3.38%	2.44%	1.98%	1.17%	1.67%	3.44%	2.10%	0.28%	2.11%	1.14%	2.93%	3.15%	2.85%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	177	28	25	6	10	1	0	15	7	7	3	16	18	11	4	3	4	1	6	5	1	6					
		1.87%	2.35%	2.16%	1.46%	2.70%	0.68%	0.0%	2.06%	2.72%	1.97%	1.04%	1.58%	3.51%	2.29%	1.97%	0.78%	1.15%	0.70%	1.72%	1.22%	0.52%	1.42%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	250	32	27	11	9	4	4	12	21	5	12	19	11	11	10	14	11	4	1	5	6	21					
