Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																			
Дата голосования: 18.09.2016																																																			
																																																			
Наименование Избирательной комиссии:    Камышинская																																																			
																																																			
Сводная таблица итогов голосования по федеральному избирательному округу																																																			
																																																			
		Сумма	УИК №1901	УИК №1902	УИК №1903	УИК №1904	УИК №1905	УИК №1906	УИК №1907	УИК №1908	УИК №1909	УИК №1910	УИК №1911	УИК №1912	УИК №1913	УИК №1914	УИК №1915	УИК №1916	УИК №1917	УИК №1918	УИК №1919	УИК №1920	УИК №1921	УИК №1922	УИК №1923	УИК №1924	УИК №1925	УИК №1926	УИК №1927	УИК №1928	УИК №1929	УИК №1930	УИК №1931	УИК №1932	УИК №1933	УИК №1934	УИК №1935	УИК №1936	УИК №1937	УИК №1938	УИК №1939	УИК №1940									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	31354	1415	1074	1070	1214	809	1212	1384	1057	980	654	145	270	645	393	143	736	213	356	951	1076	108	652	245	790	330	1065	663	1171	331	1814	337	736	831	2267	390	1022	706	147	1144	808									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	25365	1120	850	870	950	650	1050	1080	840	780	530	120	220	520	320	120	600	170	300	770	860	95	550	200	640	270	850	530	1000	270	1430	280	600	690	1800	320	810	580	120	940	670									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	12742	650	491	475	458	296	395	571	478	444	285	53	110	302	196	82	438	116	127	349	640	52	376	111	329	96	429	198	217	99	625	122	279	287	836	161	414	332	60	421	342									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	2374	34	46	52	30	14	50	51	32	26	44	34	52	24	9	2	31	9	25	45	124	20	58	10	35	24	61	57	582	19	206	15	36	28	145	40	55	29	6	139	75									
6	Число погашенных избирательных бюллетеней	10249	436	313	343	462	340	605	458	330	310	201	33	58	194	115	36	131	45	148	376	96	23	116	79	276	150	360	275	201	152	599	143	285	375	819	119	341	219	54	380	253									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	2374	34	46	52	30	14	50	51	32	26	44	34	52	24	9	2	31	9	25	45	124	20	58	10	35	24	61	57	582	19	206	15	36	28	145	40	55	29	6	139	75									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	12740	650	491	475	458	296	395	571	478	444	285	53	110	302	196	82	438	116	127	347	640	52	376	111	329	96	429	198	217	99	625	122	279	287	836	161	414	332	60	421	342									
9	Число недействительных избирательных бюллетеней	345	30	27	22	8	4	14	26	10	10	5	1	2	15	2	2	0	6	2	6	2	0	9	3	3	1	12	2	7	3	0	3	12	7	34	8	13	12	1	14	7									
10	Число действительных избирательных бюллетеней	14769	654	510	505	480	306	431	596	500	460	324	86	160	311	203	82	469	119	150	386	762	72	425	118	361	119	478	253	792	115	831	134	303	308	947	193	456	349	65	546	410									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	309	12	7	7	7	7	7	7	7	7	7	5	6	7	6	5	7	6	6	7	7	9	17	6	7	6	7	7	7	6	15	6	7	7	21	6	7	7	5	12	7									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	143	5	3	1	3	1	3	1	1	1	3	2	0	1	1	0	2	1	2	3	0	9	14	1	7	6	1	6	5	1	8	1	1	3	21	2	3	3	1	9	7									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	138	0	4	5	2	6	4	0	4	0	1	2	2	4	2	2	0	1	2	3	6	2	9	3	5	2	4	2	19	3	1	2	6	2	7	2	8	2	3	2	4									
14	Число погашенных неиспользованных открепительных удостоверений	166	7	4	6	4	6	4	6	6	6	4	3	6	6	5	5	5	5	4	4	7	0	3	5	0	0	6	1	2	5	7	5	6	4	0	4	4	4	4	3	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	16	1	1	1	0	1	0	3	2	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																			
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	192	11	10	9	9	3	7	13	9	16	3	0	1	1	1	1	4	1	2	7	1	2	2	2	1	2	4	2	2	0	13	4	4	9	13	3	2	8	1	3	6									
		1.27%	1.61%	1.86%	1.71%	1.84%	0.97%	1.57%	2.09%	1.76%	3.40%	0.91%	0.00%	0.62%	0.31%	0.49%	1.19%	0.85%	0.80%	1.32%	1.79%	0.13%	2.78%	0.46%	1.65%	0.27%	1.67%	0.82%	0.78%	0.25%	0.00%	1.56%	2.92%	1.27%	2.86%	1.33%	1.49%	0.43%	2.22%	1.52%	0.54%	1.44%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	527	21	24	17	28	18	23	26	30	25	8	1	3	11	11	5	20	6	5	16	13	2	19	2	10	2	12	5	15	4	32	6	7	5	31	9	19	9	2	21	4									
		3.49%	3.07%	4.47%	3.23%	5.74%	5.81%	5.17%	4.18%	5.88%	5.32%	2.43%	1.15%	1.85%	3.37%	5.37%	5.95%	4.26%	4.80%	3.29%	4.08%	1.70%	2.78%	4.38%	1.65%	2.75%	1.67%	2.45%	1.96%	1.88%	3.39%	3.85%	4.38%	2.22%	1.59%	3.16%	4.48%	4.05%	2.49%	3.03%	3.75%	0.96%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	353	11	15	22	6	7	12	17	16	16	8	2	2	5	2	0	3	3	1	9	9	3	10	2	7	1	16	8	19	5	33	5	6	7	20	6	3	11	1	20	4									
		2.34%	1.61%	2.79%	4.17%	1.23%	2.26%	2.70%	2.73%	3.14%	3.40%	2.43%	2.30%	1.23%	1.53%	0.98%	0.00%	0.64%	2.40%	0.66%	2.30%	1.18%	4.17%	2.30%	1.65%	1.92%	0.83%	3.27%	3.14%	2.38%	4.24%	3.97%	3.65%	1.90%	2.22%	2.04%	2.99%	0.64%	3.05%	1.52%	3.57%	0.96%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	7581	269	191	211	174	149	194	234	192	169	158	57	96	142	114	57	277	73	78	215	560	41	231	80	191	65	211	146	435	66	415	78	175	179	508	110	273	184	42	293	248									
		50.16%	39.33%	35.57%	40.04%	35.66%	48.06%	43.60%	37.62%	37.65%	35.96%	48.02%	65.52%	59.26%	43.56%	55.61%	67.86%	59.06%	58.40%	51.32%	54.85%	73.30%	56.94%	53.23%	66.12%	52.47%	54.17%	43.06%	57.25%	54.44%	55.93%	49.94%	56.93%	55.56%	56.83%	51.78%	54.73%	58.21%	50.97%	63.64%	52.32%	59.47%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	71	4	1	1	4	3	1	2	2	3	1	1	0	0	0	1	0	0	0	1	4	1	3	0	2	0	3	0	9	0	7	1	1	1	3	0	5	2	1	1	2									
		0.47%	0.58%	0.19%	0.19%	0.82%	0.97%	0.22%	0.32%	0.39%	0.64%	0.30%	1.15%	0.00%	0.00%	0.00%	1.19%	0.00%	0.00%	0.00%	0.26%	0.52%	1.39%	0.69%	0.00%	0.55%	0.00%	0.61%	0.00%	1.13%	0.00%	0.84%	0.73%	0.32%	0.32%	0.31%	0.00%	1.07%	0.55%	1.52%	0.18%	0.48%									
24	"6. Политическая партия ""Гражданская Платформа"""	30	4	1	0	1	0	1	2	2	0	0	0	1	0	0	0	2	0	1	1	0	0	0	0	1	1	1	0	2	0	1	1	0	0	2	0	1	0	1	1	2									
		0.20%	0.58%	0.19%	0.00%	0.20%	0.00%	0.22%	0.32%	0.39%	0.00%	0.00%	0.00%	0.62%	0.00%	0.00%	0.00%	0.43%	0.00%	0.66%	0.26%	0.00%	0.00%	0.00%	0.00%	0.27%	0.83%	0.20%	0.00%	0.25%	0.00%	0.12%	0.73%	0.00%	0.00%	0.20%	0.00%	0.21%	0.00%	1.52%	0.18%	0.48%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	2841	123	129	105	137	67	104	165	136	100	79	17	28	58	42	10	58	16	35	66	79	8	71	19	84	31	80	39	147	22	159	21	56	52	190	19	52	57	6	119	55									
		18.80%	17.98%	24.02%	19.92%	28.07%	21.61%	23.37%	26.53%	26.67%	21.28%	24.01%	19.54%	17.28%	17.79%	20.49%	11.90%	12.37%	12.80%	23.03%	16.84%	10.34%	11.11%	16.36%	15.70%	23.08%	25.83%	16.33%	15.29%	18.40%	18.64%	19.13%	15.33%	17.78%	16.51%	19.37%	9.45%	11.09%	15.79%	9.09%	21.25%	13.19%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	54	2	3	2	10	1	2	1	4	0	0	0	0	1	0	0	0	0	1	1	0	2	0	1	1	0	4	1	3	0	2	0	0	2	3	0	2	0	0	5	0									
		0.36%	0.29%	0.56%	0.38%	2.05%	0.32%	0.45%	0.16%	0.78%	0.00%	0.00%	0.00%	0.00%	0.31%	0.00%	0.00%	0.00%	0.00%	0.66%	0.26%	0.00%	2.78%	0.00%	0.83%	0.27%	0.00%	0.82%	0.39%	0.38%	0.00%	0.24%	0.00%	0.00%	0.63%	0.31%	0.00%	0.43%	0.00%	0.00%	0.89%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	88	6	2	5	3	2	4	3	5	4	3	0	0	2	0	0	0	0	2	0	1	0	2	0	1	0	4	4	1	0	8	0	3	7	9	1	0	0	2	2	2									
		0.58%	0.88%	0.37%	0.95%	0.61%	0.65%	0.90%	0.48%	0.98%	0.85%	0.91%	0.00%	0.00%	0.61%	0.00%	0.00%	0.00%	0.00%	1.32%	0.00%	0.13%	0.00%	0.46%	0.00%	0.27%	0.00%	0.82%	1.57%	0.13%	0.00%	0.96%	0.00%	0.95%	2.22%	0.92%	0.50%	0.00%	0.00%	3.03%	0.36%	0.48%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	19	1	2	1	4	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	1	0	0	0	1	0	2	1	0	0	0	0	1	0	0	0	0									
		0.13%	0.15%	0.37%	0.19%	0.82%	0.00%	0.45%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.80%	0.00%	0.00%	0.00%	0.00%	0.46%	0.00%	0.27%	0.00%	0.00%	0.00%	0.13%	0.00%	0.24%	0.73%	0.00%	0.00%	0.00%	0.00%	0.21%	0.00%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	102	2	4	1	4	3	5	7	6	4	3	0	0	1	1	1	1	0	1	4	1	1	1	0	1	1	4	5	9	0	6	0	6	3	5	2	2	3	0	1	3									
		0.67%	0.29%	0.74%	0.19%	0.82%	0.97%	1.12%	1.13%	1.18%	0.85%	0.91%	0.00%	0.00%	0.31%	0.49%	1.19%	0.21%	0.00%	0.66%	1.02%	0.13%	1.39%	0.23%	0.00%	0.27%	0.83%	0.82%	1.96%	1.13%	0.00%	0.72%	0.00%	1.90%	0.95%	0.51%	0.99%	0.43%	0.83%	0.00%	0.18%	0.72%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	2194	148	90	92	80	42	58	93	77	92	47	5	13	65	24	5	93	9	23	46	75	5	66	8	51	15	104	27	128	15	107	13	24	35	118	38	85	56	5	54	63									
		14.52%	21.64%	16.76%	17.46%	16.39%	13.55%	13.03%	14.95%	15.10%	19.57%	14.29%	5.75%	8.02%	19.94%	11.71%	5.95%	19.83%	7.20%	15.13%	11.73%	9.82%	6.94%	15.21%	6.61%	14.01%	12.50%	21.22%	10.59%	16.02%	12.71%	12.88%	9.49%	7.62%	11.11%	12.03%	18.91%	18.12%	15.51%	7.58%	9.64%	15.11%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	69	4	2	2	2	1	3	2	2	5	1	0	0	0	0	0	2	1	0	1	6	1	2	0	3	0	4	1	4	0	9	0	1	0	4	1	0	1	1	1	2									
