Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																	
Дата голосования: 07.12.2003 0:00:00																																																	
																																																	
Наименование Избирательной комиссии:    Новгородская																																																	
																																																	
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																	
																																																	
		Сумма	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331	УИК №332	УИК №333	УИК №334	УИК №335	УИК №336	УИК №337	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346					
1	"Число избирателей, внесенных в списки"	43442	1437	2461	125	150	589	893	433	1827	165	374	1238	1359	538	569	408	1264	2168	1099	157	2371	331	731	360	322	142	571	1857	358	2122	194	343	307	194	1692	2437	1974	2584	1924	2127	1198	1225	824					
2	"Число бюллетеней, полученных участковыми комиссиями"	43628	1444	2487	148	126	581	890	434	1833	165	376	1252	1356	536	559	405	1255	2110	1100	159	2343	328	739	359	316	142	576	1865	355	2239	200	332	307	194	1711	2457	1970	2596	1938	2154	1209	1250	832					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	18974	619	1206	66	57	154	394	164	882	90	129	450	557	241	242	146	633	1124	453	40	1199	195	359	122	97	21	208	821	188	810	103	153	211	111	798	1044	775	1003	762	978	436	494	439					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	2285	128	81	18	37	131	42	113	15	0	102	154	30	93	125	66	21	75	38	59	71	41	58	95	55	40	102	11	15	25	10	11	29	53	42	13	6	26	96	72	28	42	16					
6	Число погашенных бюллетеней	22369	696	1200	64	32	296	454	157	936	75	145	648	769	203	192	193	601	911	609	60	1073	92	322	142	164	81	266	1033	152	1404	87	168	67	30	871	1400	1189	1567	1080	1104	745	714	377					
7	Число бюллетеней в переносных ящиках для голосования	2285	128	81	18	37	131	42	113	15	0	102	154	30	93	125	66	21	75	38	59	71	41	58	95	55	40	102	11	15	25	10	11	29	53	42	13	6	26	96	72	28	42	16					
8	Число бюллетеней в стационарных ящиках для голосования	18965	619	1206	66	57	154	394	164	882	90	129	450	557	241	242	146	633	1124	453	40	1199	195	359	122	97	21	208	821	188	810	103	153	211	111	794	1044	774	1002	760	978	436	494	438					
9	Число недействительных бюллетеней	289	10	19	0	2	1	8	5	15	8	4	14	2	4	3	3	5	19	6	0	14	3	3	1	1	0	0	7	1	9	0	7	0	1	13	12	10	16	6	23	7	13	14					
10	Число действительных бюллетеней	20961	737	1268	84	92	284	428	272	882	82	227	590	585	330	364	209	649	1180	485	99	1256	233	414	216	151	61	310	825	202	826	113	157	240	163	823	1045	770	1012	850	1027	457	523	440					
