Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																			
Дата голосования: 18.09.2016																																																			
																																																			
"Наименование Избирательной комиссии:    Владимир, Фрунзенская"																																																			
																																																			
Сводная таблица итогов голосования по федеральному избирательному округу																																																			
																																																			
		Сумма	УИК №454	УИК №455	УИК №456	УИК №457	УИК №458	УИК №459	УИК №460	УИК №461	УИК №462	УИК №463	УИК №464	УИК №465	УИК №466	УИК №467	УИК №468	УИК №469	УИК №470	УИК №471	УИК №472	УИК №473	УИК №474	УИК №475	УИК №476	УИК №477	УИК №478	УИК №479	УИК №480	УИК №481	УИК №482	УИК №483	УИК №484	УИК №485	УИК №486	УИК №487	УИК №488	УИК №489	УИК №490	УИК №491	УИК №492	УИК №493									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	90790	1874	2775	2425	2499	1907	2087	2075	2073	2275	2305	2395	2550	2483	2531	2036	2035	2220	2153	2466	2716	2437	2345	1919	1868	1912	1888	1915	2122	2263	2604	2368	2606	2590	2584	2433	2461	2688	2478	1748	1681									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	77100	1500	1700	2100	2100	1500	1700	1700	1700	2000	2000	2100	2200	2200	2200	1700	1700	1900	1800	2200	2300	2200	2000	1700	1600	1700	1700	1700	1800	1800	2300	2000	2200	2200	2200	2100	2100	2300	2200	1500	1500									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	32658	728	1218	865	884	589	725	669	759	838	862	845	979	957	923	762	847	824	826	808	973	691	780	707	697	697	648	684	726	899	973	790	1020	997	861	808	866	982	817	558	576									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1345	25	330	27	22	239	10	27	8	16	17	28	4	6	30	27	30	28	21	25	31	21	17	16	16	10	11	24	18	16	18	8	10	6	23	15	17	21	16	56	55									
6	Число погашенных избирательных бюллетеней	43097	747	152	1208	1194	672	965	1004	933	1146	1121	1227	1217	1237	1247	911	823	1048	953	1367	1296	1488	1203	977	887	993	1041	992	1056	885	1309	1202	1170	1197	1316	1277	1217	1297	1367	886	869									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1345	25	330	27	22	239	10	27	8	16	17	28	4	6	30	27	30	28	21	25	31	21	17	16	16	10	11	24	18	16	18	8	10	6	23	15	17	21	16	56	55									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	32640	728	1214	865	884	589	725	669	758	838	862	845	979	957	923	761	845	824	826	808	973	691	778	707	694	697	648	683	726	899	972	790	1020	997	861	808	865	981	817	557	576									
9	Число недействительных избирательных бюллетеней	728	20	35	18	22	18	12	11	15	20	10	14	11	19	45	19	16	24	20	17	26	13	25	15	16	11	14	15	18	19	20	11	21	21	16	11	14	27	20	16	13									
10	Число действительных избирательных бюллетеней	33257	733	1509	874	884	810	723	685	751	834	869	859	972	944	908	769	859	828	827	816	978	699	770	708	694	696	645	692	726	896	970	787	1009	982	868	812	868	975	813	597	618									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	2380	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	40	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	529	13	13	17	10	5	14	13	16	10	8	18	16	24	27	5	7	12	12	22	16	15	18	7	10	10	13	10	13	16	20	12	17	21	18	9	15	15	5	4	3									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	570	52	57	12	11	48	12	14	11	9	5	9	9	12	16	17	10	12	11	8	6	7	14	12	10	11	12	20	15	37	10	10	10	14	10	9	6	8	3	8	3									
14	Число погашенных неиспользованных открепительных удостоверений	1851	47	47	43	50	55	46	47	44	50	52	42	44	36	33	55	53	28	48	38	44	45	42	53	50	50	47	50	47	44	40	48	43	39	42	51	45	45	55	56	57									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	50	0	2	1	0	0	0	0	1	1	2	1	5	0	0	0	5	1	2	1	3	0	1	3	1	2	2	1	0	3	1	1	0	3	2	2	0	1	1	0	1									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
