Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																		
Дата голосования: 07.12.2003 0:00:00																																		
																																		
Наименование Избирательной комиссии:    Зырянская																																		
																																		
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																		
																																		
		Сумма	УИК №389	УИК №390	УИК №391	УИК №392	УИК №393	УИК №394	УИК №395	УИК №396	УИК №397	УИК №398	УИК №399	УИК №400	УИК №401	УИК №402	УИК №403	УИК №404	УИК №405	УИК №406	УИК №407	УИК №408	УИК №409	УИК №410	УИК №411	УИК №412	УИК №413	УИК №414	УИК №415					
1	"Число избирателей, внесенных в списки"	12049	837	819	740	895	736	910	491	590	674	75	510	246	350	389	253	514	413	517	181	219	246	75	359	210	445	303	52					
2	"Число бюллетеней, полученных участковыми комиссиями"	11948	830	830	730	890	730	900	450	590	670	77	500	248	360	400	254	500	400	520	182	218	250	77	350	208	430	300	54					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	6975	467	420	348	521	436	461	285	300	366	45	266	138	174	278	143	314	257	363	127	116	171	57	195	171	329	186	41					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	601	37	31	41	26	26	45	35	38	38	0	41	19	23	13	9	27	20	33	0	17	23	4	16	4	7	28	0					
6	Число погашенных бюллетеней	4372	326	379	341	343	268	394	130	252	266	32	193	91	163	109	102	159	123	124	55	85	56	16	139	33	94	86	13					
7	Число бюллетеней в переносных ящиках для голосования	601	37	31	41	26	26	45	35	38	38	0	41	19	23	13	9	27	20	33	0	17	23	4	16	4	7	28	0					
8	Число бюллетеней в стационарных ящиках для голосования	6975	467	420	348	521	436	461	285	300	366	45	266	138	174	278	143	314	257	363	127	116	171	57	195	171	329	186	41					
9	Число недействительных бюллетеней	125	3	5	1	6	7	7	4	4	16	2	9	8	7	4	2	5	9	4	3	0	9	0	2	0	2	6	0					
10	Число действительных бюллетеней	7451	501	446	388	541	455	499	316	334	388	43	298	149	190	287	150	336	268	392	124	133	185	61	209	175	334	208	41					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	295	10	10	10	10	10	10	10	15	10	10	15	10	10	20	10	15	10	15	10	10	15	10	10	5	10	10	5					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	78	7	7	1	5	6	7	1	5	2	1	1	0	0	14	0	2	2	2	0	1	2	0	5	0	0	7	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	42	4	1	1	6	3	0	2	1	1	1	2	1	1	1	2	2	1	3	1	1	1	1	1	0	2	2	0					
14	Число погашенных открепительных удостоверений	217	3	3	9	5	4	3	9	10	8	9	14	10	10	6	10	13	8	13	10	9	13	10	5	5	10	3	5					
15	Число открепительных удостоверений выданных ТИК	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																		
18	"1. ""ЕДИНЕНИЕ"""	148	11	7	5	9	6	15	4	5	10	1	7	2	5	6	1	11	3	4	1	0	4	1	8	0	13	7	2					
		1.95%	2.18%	1.55%	1.28%	1.64%	1.29%	2.96%	1.25%	1.47%	2.47%	2.22%	2.28%	1.27%	2.53%	2.06%	0.65%	3.22%	1.08%	1.01%	0.78%	0.0%	2.06%	1.63%	3.79%	0.0%	3.86%	3.27%	4.87%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	80	5	3	6	7	5	4	10	3	6	1	4	0	1	1	0	8	2	4	1	4	1	0	0	0	1	2	1					
		1.05%	0.99%	0.66%	1.54%	1.27%	1.08%	0.79%	3.12%	0.88%	1.48%	2.22%	1.30%	0.0%	0.50%	0.34%	0.0%	2.34%	0.72%	1.01%	0.78%	3.00%	0.51%	0.0%	0.0%	0.0%	0.29%	0.93%	2.43%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	184	10	13	14	8	13	6	9	9	19	4	14	5	7	3	4	18	2	5	1	3	3	0	1	1	10	2	0					
		2.42%	1.98%	2.88%	3.59%	1.46%	2.81%	1.18%	2.81%	2.66%	4.70%	8.88%	4.56%	3.18%	3.55%	1.03%	2.63%	5.27%	0.72%	1.26%	0.78%	2.25%	1.54%	0.0%	0.47%	0.57%	2.97%	0.93%	0.0%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	80	5	6	8	11	3	2	8	3	8	2	1	1	0	1	0	4	4	2	0	3	1	1	0	3	0	2	1					
		1.05%	0.99%	1.33%	2.05%	2.01%	0.64%	0.39%	2.5%	0.88%	1.98%	4.44%	0.32%	0.63%	0.0%	0.34%	0.0%	1.17%	1.44%	0.50%	0.0%	2.25%	0.51%	1.63%	0.0%	1.71%	0.0%	0.93%	2.43%					
22	"5. ""За Русь Святую"""	21	1	2	3	2	0	0	2	2	2	1	0	1	0	0	0	2	1	0	0	0	0	0	1	0	0	1	0					
		0.27%	0.19%	0.44%	0.77%	0.36%	0.0%	0.0%	0.62%	0.59%	0.49%	2.22%	0.0%	0.63%	0.0%	0.0%	0.0%	0.58%	0.36%	0.0%	0.0%	0.0%	0.0%	0.0%	0.47%	0.0%	0.0%	0.46%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	17	2	2	1	0	0	0	0	1	0	0	0	0	0	1	0	1	2	0	0	2	2	0	0	1	1	1	0					
		0.22%	0.39%	0.44%	0.25%	0.0%	0.0%	0.0%	0.0%	0.29%	0.0%	0.0%	0.0%	0.0%	0.0%	0.34%	0.0%	0.29%	0.72%	0.0%	0.0%	1.50%	1.03%	0.0%	0.0%	0.57%	0.29%	0.46%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	32	3	1	4	1	2	2	1	6	2	0	0	0	0	2	0	2	1	2	0	0	0	0	2	0	1	0	0					
		0.42%	0.59%	0.22%	1.02%	0.18%	0.43%	0.39%	0.31%	1.77%	0.49%	0.0%	0.0%	0.0%	0.0%	0.68%	0.0%	0.58%	0.36%	0.50%	0.0%	0.0%	0.0%	0.0%	0.94%	0.0%	0.29%	0.0%	0.0%					
25	"8. ""Народно-республиканская партия России"""	15	1	0	1	1	1	0	0	0	3	1	0	0	0	1	0	0	1	0	0	0	1	0	1	1	1	1	0					
		0.19%	0.19%	0.0%	0.25%	0.18%	0.21%	0.0%	0.0%	0.0%	0.74%	2.22%	0.0%	0.0%	0.0%	0.34%	0.0%	0.0%	0.36%	0.0%	0.0%	0.0%	0.51%	0.0%	0.47%	0.57%	0.29%	0.46%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	7	0	0	0	1	0	1	1	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0					
		0.09%	0.0%	0.0%	0.0%	0.18%	0.0%	0.19%	0.31%	0.29%	0.0%	0.0%	0.32%	0.0%	0.0%	0.0%	0.0%	0.29%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.29%	0.0%	0.0%					
27	"10. ""Аграрная партия России"""	337	14	13	10	15	9	14	12	9	14	3	14	6	10	23	5	67	12	13	20	7	9	5	3	6	12	7	5					
		4.44%	2.77%	2.88%	2.57%	2.74%	1.94%	2.76%	3.75%	2.66%	3.46%	6.66%	4.56%	3.82%	5.07%	7.90%	3.28%	19.64%	4.33%	3.28%	15.74%	5.26%	4.63%	8.19%	1.42%	3.42%	3.57%	3.27%	12.19%					
28	"11. ""Истинные патриоты России"""	10	0	0	1	0	0	0	0	0	1	0	0	4	1	0	0	0	0	1	2	0	0	0	0	0	0	0	0					
		0.13%	0.0%	0.0%	0.25%	0.0%	0.0%	0.0%	0.0%	0.0%	0.24%	0.0%	0.0%	2.54%	0.50%	0.0%	0.0%	0.0%	0.0%	0.25%	1.57%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	72	2	3	1	2	4	1	3	3	9	0	4	1	4	3	0	1	5	3	0	2	3	6	5	2	4	0	1					
		0.95%	0.39%	0.66%	0.25%	0.36%	0.86%	0.19%	0.93%	0.88%	2.22%	0.0%	1.30%	0.63%	2.03%	1.03%	0.0%	0.29%	1.80%	0.75%	0.0%	1.50%	1.54%	9.83%	2.36%	1.14%	1.19%	0.0%	2.43%					
30	"13. ""Демократическая партия России"""	30	4	0	0	2	2	4	0	2	1	0	0	3	0	1	0	1	4	0	2	1	1	0	0	1	0	0	1					
		0.39%	0.79%	0.0%	0.0%	0.36%	0.43%	0.79%	0.0%	0.59%	0.24%	0.0%	0.0%	1.91%	0.0%	0.34%	0.0%	0.29%	1.44%	0.0%	1.57%	0.75%	0.51%	0.0%	0.0%	0.57%	0.0%	0.0%	2.43%					
31	"14. ""Великая Россия - Евразийский Союз"""	18	0	2	2	1	1	0	0	1	1	0	0	0	0	0	0	0	0	2	2	0	0	0	1	0	4	0	1					
		0.23%	0.0%	0.44%	0.51%	0.18%	0.21%	0.0%	0.0%	0.29%	0.24%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.50%	1.57%	0.0%	0.0%	0.0%	0.47%	0.0%	1.19%	0.0%	2.43%					
32	"15. ""Партия СЛОН"""	11	1	0	1	1	0	1	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	1	1	0	0					
		0.14%	0.19%	0.0%	0.25%	0.18%	0.0%	0.19%	0.0%	0.29%	0.0%	0.0%	0.65%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.94%	0.57%	0.29%	0.0%	0.0%					
