Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																						
Дата голосования: 02.12.2007																																						
																																						
Наименование Избирательной комиссии:    Мухоршибирская																																						
																																						
Сводная таблица результатов выборов																																						
																																						
		Сумма	УИК №428	УИК №429	УИК №430	УИК №431	УИК №432	УИК №433	УИК №434	УИК №435	УИК №436	УИК №437	УИК №438	УИК №439	УИК №440	УИК №441	УИК №442	УИК №443	УИК №444	УИК №445	УИК №446	УИК №447	УИК №448	УИК №449	УИК №450	УИК №451	УИК №452	УИК №453	УИК №454	УИК №455	УИК №456	УИК №457	УИК №458					
1	"Число избирателей, внесенных в списки избирателей"	18465	339	329	337	280	621	105	1299	1327	1342	269	77	1007	408	1060	775	187	1349	1324	129	648	47	726	1170	92	359	456	68	590	269	1180	296					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	17450	300	300	350	300	600	100	1200	1200	1200	250	75	1050	400	1050	750	180	1200	1200	130	650	50	650	1100	100	400	400	65	550	250	1100	300					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	10535	233	264	220	229	425	85	723	593	690	182	53	600	238	574	442	117	673	757	81	361	32	490	559	49	253	303	58	370	183	513	185					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	993	29	24	38	21	29	4	27	50	40	13	14	87	44	63	47	15	27	14	5	27	8	69	76	12	17	12	1	22	4	135	19					
6	Число погашенных избирательных бюллетеней	5922	38	12	92	50	146	11	450	557	470	55	8	363	118	413	261	48	500	429	44	262	10	91	465	39	130	85	6	158	63	452	96					
7	Число избирательных бюллетеней в переносных ящиках для голосования	993	29	24	38	21	29	4	27	50	40	13	14	87	44	63	47	15	27	14	5	27	8	69	76	12	17	12	1	22	4	135	19					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	10530	233	264	220	229	425	85	723	593	690	182	53	600	238	574	442	117	668	757	81	361	32	490	559	49	253	303	58	370	183	513	185					
9	Число недействительных избирательных бюллетеней	230	2	5	5	3	2	0	19	19	2	4	4	16	6	29	4	3	5	4	5	11	0	13	15	0	0	19	0	17	1	16	1					
10	Число действительных избирательных бюллетеней	11293	260	283	253	247	452	89	731	624	728	191	63	671	276	608	485	129	690	767	81	377	40	546	620	61	270	296	59	375	186	632	203					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	650	10	10	20	20	20	10	40	40	40	10	5	30	20	30	30	20	40	40	10	20	5	30	30	5	20	20	5	20	10	30	10					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	185	0	1	3	1	8	0	29	8	19	9	0	4	3	4	0	2	4	9	3	5	0	19	7	0	18	4	0	5	7	8	5					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	123	2	1	7	1	5	2	7	8	4	3	2	1	4	5	6	1	16	3	1	6	2	9	4	1	1	4	1	5	7	3	1					
14	Число погашенных неиспользованных открепительных удостоверений	465	10	9	17	19	12	10	11	32	21	1	5	26	17	26	30	18	36	31	7	15	5	11	23	5	2	16	5	15	3	22	5					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																						
18	1.Политическая партия «Аграрная партия России»	187	7	1	8	5	6	0	9	20	15	4	1	5	3	15	14	1	7	9	1	5	0	17	14	2	2	0	0	3	4	7	2					
		1.62%	2.67%	0.35%	3.10%	2.00%	1.32%	0.00%	1.20%	3.11%	2.05%	2.05%	1.49%	0.73%	1.06%	2.35%	2.86%	0.76%	1.01%	1.17%	1.16%	1.29%	0.00%	3.04%	2.20%	3.28%	0.74%	0.00%	0.00%	0.77%	2.14%	1.08%	0.98%					
19	2.Всероссийская политическая партия «Гражданская Сила»	26	0	0	2	3	1	1	4	0	1	0	0	2	0	0	0	0	1	2	0	1	0	1	0	0	0	3	0	2	1	1	0					
