Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																												
Дата голосования: 07.12.2003 0:00:00																												
																												
Наименование Избирательной комиссии:    Малоархангельская																												
																												
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																												
																												
		Сумма	УИК №451	УИК №452	УИК №453	УИК №454	УИК №455	УИК №456	УИК №457	УИК №458	УИК №459	УИК №460	УИК №461	УИК №462	УИК №463	УИК №464	УИК №465	УИК №466	УИК №467	УИК №468	УИК №469	УИК №470	УИК №471					
1	"Число избирателей, внесенных в списки"	10171	847	578	370	381	379	342	275	312	322	287	329	345	180	280	332	211	611	809	1295	866	820					
2	"Число бюллетеней, полученных участковыми комиссиями"	10261	863	588	384	391	417	365	281	309	322	288	335	347	183	283	336	213	612	813	1288	850	793					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	7286	774	519	274	324	289	206	147	173	133	165	250	261	146	239	118	88	381	518	1051	613	617					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	2396	51	57	83	55	85	134	128	124	186	118	78	79	34	39	211	123	226	243	113	123	106					
6	Число погашенных бюллетеней	579	38	12	27	12	43	25	6	12	3	5	7	7	3	5	7	2	5	52	124	114	70					
7	Число бюллетеней в переносных ящиках для голосования	2396	51	57	83	55	85	134	128	124	186	118	78	79	34	39	211	123	226	243	113	123	106					
8	Число бюллетеней в стационарных ящиках для голосования	7285	774	519	274	324	289	206	147	173	133	165	250	261	146	239	118	88	381	517	1051	613	617					
9	Число недействительных бюллетеней	142	0	16	0	7	3	0	0	0	1	2	0	3	0	0	1	0	67	1	18	23	0					
10	Число действительных бюллетеней	9539	825	560	357	372	371	340	275	297	318	281	328	337	180	278	328	211	540	759	1146	713	723					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	150	10	6	4	4	17	10	4	4	4	3	6	4	4	5	5	4	9	5	12	15	15					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	72	1	1	1	1	15	9	2	2	0	1	2	0	0	2	0	0	5	1	12	11	6					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	32	2	0	2	2	2	1	3	2	1	0	1	0	0	0	0	1	2	2	5	4	2					
14	Число погашенных открепительных удостоверений	78	9	5	3	3	2	1	2	2	4	2	4	4	4	3	5	4	4	4	0	4	9					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																												
18	"1. ""ЕДИНЕНИЕ"""	61	5	0	2	0	6	3	0	3	2	2	6	6	0	0	2	0	0	5	4	8	7					
		0.63%	0.60%	0.0%	0.56%	0.0%	1.60%	0.88%	0.0%	1.01%	0.62%	0.70%	1.82%	1.76%	0.0%	0.0%	0.60%	0.0%	0.0%	0.65%	0.34%	1.08%	0.96%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	64	4	0	2	0	2	1	1	1	5	0	0	1	0	2	0	0	0	4	25	9	7					
		0.66%	0.48%	0.0%	0.56%	0.0%	0.53%	0.29%	0.36%	0.33%	1.56%	0.0%	0.0%	0.29%	0.0%	0.71%	0.0%	0.0%	0.0%	0.52%	2.14%	1.22%	0.96%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	76	10	0	2	2	5	2	0	1	7	1	3	1	1	2	3	1	0	6	8	6	15					
		0.78%	1.21%	0.0%	0.56%	0.52%	1.33%	0.58%	0.0%	0.33%	2.19%	0.35%	0.91%	0.29%	0.55%	0.71%	0.91%	0.47%	0.0%	0.78%	0.68%	0.81%	2.07%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	52	2	6	0	0	2	2	0	3	3	0	0	3	1	4	0	0	0	4	7	3	12					
		0.53%	0.24%	1.04%	0.0%	0.0%	0.53%	0.58%	0.0%	1.01%	0.94%	0.0%	0.0%	0.88%	0.55%	1.43%	0.0%	0.0%	0.0%	0.52%	0.60%	0.40%	1.65%					
22	"5. ""За Русь Святую"""	31	3	0	0	0	1	1	1	0	0	2	1	0	0	1	0	3	0	2	2	10	4					
		0.32%	0.36%	0.0%	0.0%	0.0%	0.26%	0.29%	0.36%	0.0%	0.0%	0.70%	0.30%	0.0%	0.0%	0.35%	0.0%	1.42%	0.0%	0.26%	0.17%	1.35%	0.55%					
23	"6. ""Объединенная Российская партия ""Русь"""	15	2	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	5	4	2	0					
		0.15%	0.24%	0.0%	0.0%	0.0%	0.26%	0.0%	0.0%	0.0%	0.31%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.65%	0.34%	0.27%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	58	1	0	2	2	2	0	2	6	1	1	2	1	0	5	2	0	0	2	8	13	8					
		0.59%	0.12%	0.0%	0.56%	0.52%	0.53%	0.0%	0.72%	2.02%	0.31%	0.35%	0.60%	0.29%	0.0%	1.79%	0.60%	0.0%	0.0%	0.26%	0.68%	1.76%	1.10%					
25	"8. ""Народно-республиканская партия России"""	5	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	1	1	0					
		0.05%	0.0%	0.0%	0.0%	0.0%	0.26%	0.0%	0.0%	0.0%	0.31%	0.0%	0.0%	0.0%	0.0%	0.0%	0.30%	0.0%	0.0%	0.0%	0.08%	0.13%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2					
		0.03%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.13%	0.0%	0.0%	0.27%					
27	"10. ""Аграрная партия России"""	251	20	8	13	28	9	6	13	15	5	0	11	6	4	15	20	5	16	23	16	8	10					
		2.59%	2.42%	1.38%	3.64%	7.38%	2.40%	1.76%	4.72%	5.05%	1.56%	0.0%	3.35%	1.76%	2.22%	5.39%	6.07%	2.36%	2.63%	3.02%	1.37%	1.08%	1.38%					
28	"11. ""Истинные патриоты России"""	3	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1					
		0.03%	0.0%	0.0%	0.0%	0.0%	0.26%	0.0%	0.0%	0.33%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.13%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	75	5	0	1	0	3	2	2	1	3	2	5	2	0	1	0	1	21	3	6	13	4					
