Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																											
Дата голосования: 18.09.2016																											
																											
Наименование Избирательной комиссии:    Кохомская городская																											
																											
Сводная таблица итогов голосования по федеральному избирательному округу																											
																											
		Сумма	УИК №290	УИК №291	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	22873	1422	665	2084	1107	1544	2444	1453	898	987	1354	849	1869	2057	2074	1134	932									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	18700	1150	550	1700	900	1250	2000	1200	800	800	1100	700	1500	1650	1700	950	750									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	6330	296	226	481	348	378	718	428	273	466	460	293	316	505	620	323	199									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	787	50	52	86	100	67	117	31	4	28	26	41	72	20	68	5	20									
6	Число погашенных избирательных бюллетеней	11583	804	272	1133	452	805	1165	741	523	306	614	366	1112	1125	1012	622	531									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	787	50	52	86	100	67	117	31	4	28	26	41	72	20	68	5	20									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	6325	296	224	481	348	378	718	428	272	466	460	293	314	505	620	323	199									
9	Число недействительных избирательных бюллетеней	112	5	2	5	9	11	8	14	1	4	7	3	11	8	14	7	3									
10	Число действительных избирательных бюллетеней	7000	341	274	562	439	434	827	445	275	490	479	331	375	517	674	321	216									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	330	15	20	35	25	20	25	20	25	20	20	15	20	20	20	15	15									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	244	11	20	30	25	7	25	9	9	9	13	15	17	20	20	7	7									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	105	1	11	8	8	2	8	4	0	5	6	38	2	2	6	2	2									
14	Число погашенных неиспользованных открепительных удостоверений	86	4	0	5	0	13	0	11	16	11	7	0	3	0	0	8	8									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	34	5	0	3	2	4	4	1	1	2	3	0	1	3	2	2	1									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																											
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	107	0	10	5	1	7	12	1	2	2	8	6	13	16	14	5	5									
		1.50%	0.00%	3.62%	0.88%	0.22%	1.57%	1.44%	0.22%	0.72%	0.40%	1.65%	1.80%	3.37%	3.05%	2.03%	1.52%	2.28%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	167	8	7	15	5	15	22	13	5	8	10	10	8	15	15	5	6									
		2.35%	2.31%	2.54%	2.65%	1.12%	3.37%	2.63%	2.83%	1.81%	1.62%	2.06%	2.99%	2.07%	2.86%	2.18%	1.52%	2.74%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	172	8	6	9	6	11	25	9	10	5	13	9	11	5	20	13	12									
		2.42%	2.31%	2.17%	1.59%	1.34%	2.47%	2.99%	1.96%	3.62%	1.01%	2.67%	2.69%	2.85%	0.95%	2.91%	3.96%	5.48%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	2868	138	144	246	258	203	344	147	94	263	169	164	149	162	218	89	80									
		40.33%	39.88%	52.17%	43.39%	57.59%	45.62%	41.20%	32.03%	34.06%	53.24%	34.77%	49.10%	38.60%	30.86%	31.69%	27.13%	36.53%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	77	8	0	5	3	4	13	7	4	5	3	8	5	3	3	3	3									
		1.08%	2.31%	0.00%	0.88%	0.67%	0.90%	1.56%	1.53%	1.45%	1.01%	0.62%	2.40%	1.30%	0.57%	0.44%	0.91%	1.37%									
24	"6. Политическая партия ""Гражданская Платформа"""	18	0	0	4	1	2	4	0	0	0	1	1	0	1	3	1	0									
		0.25%	0.00%	0.00%	0.71%	0.22%	0.45%	0.48%	0.00%	0.00%	0.00%	0.21%	0.30%	0.00%	0.19%	0.44%	0.30%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	1255	68	37	115	71	67	144	89	54	60	102	57	65	112	114	54	46									
		17.65%	19.65%	13.41%	20.28%	15.85%	15.06%	17.25%	19.39%	19.57%	12.15%	20.99%	17.07%	16.84%	21.33%	16.57%	16.46%	21.00%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	53	1	0	5	6	4	3	4	0	2	4	7	2	3	5	6	1									
		0.75%	0.29%	0.00%	0.88%	1.34%	0.90%	0.36%	0.87%	0.00%	0.40%	0.82%	2.10%	0.52%	0.57%	0.73%	1.83%	0.46%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	65	3	1	4	4	5	10	4	3	4	4	5	9	2	3	4	0									
		0.91%	0.87%	0.36%	0.71%	0.89%	1.12%	1.20%	0.87%	1.09%	0.81%	0.82%	1.50%	2.33%	0.38%	0.44%	1.22%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0									
		0.03%	0.00%	0.00%	0.00%	0.00%	0.00%	0.24%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	111	6	2	8	12	6	15	10	3	5	7	6	8	13	9	0	1									
		1.56%	1.73%	0.72%	1.41%	2.68%	1.35%	1.80%	2.18%	1.09%	1.01%	1.44%	1.80%	2.07%	2.48%	1.31%	0.00%	0.46%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	1307	74	43	99	43	68	154	80	65	79	99	45	68	111	167	77	35									
		18.38%	21.39%	15.58%	17.46%	9.60%	15.28%	18.44%	17.43%	23.55%	15.99%	20.37%	13.47%	17.62%	21.14%	24.27%	23.48%	15.98%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	42	2	3	3	3	3	5	5	1	1	3	2	5	2	1	1	2									
		0.59%	0.58%	1.09%	0.53%	0.67%	0.67%	0.60%	1.09%	0.36%	0.20%	0.62%	0.60%	1.30%	0.38%	0.15%	0.30%	0.91%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	756	25	21	44	26	39	74	76	34	56	56	11	32	72	102	63	25									
		10.63%	7.23%	7.61%	7.76%	5.80%	8.76%	8.86%	16.56%	12.32%	11.34%	11.52%	3.29%	8.29%	13.71%	14.83%	19.21%	11.42%									
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
