Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																						
Дата голосования: 07.12.2003 0:00:00																																																						
																																																						
Наименование Избирательной комиссии:    Кореновская																																																						
																																																						
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																						
																																																						
		Сумма	УИК  1801	УИК  1802	УИК  1803	УИК  1804	УИК  1805	УИК  1806	УИК  1807	УИК  1808	УИК  1809	УИК  1810	УИК  1811	УИК  1812	УИК  1813	УИК  1814	УИК  1815	УИК  1816	УИК  1817	УИК  1818	УИК  1819	УИК  1820	УИК  1821	УИК  1822	УИК  1823	УИК  1824	УИК  1825	УИК  1826	УИК  1827	УИК  1828	УИК  1829	УИК  1830	УИК  1831	УИК  1832	УИК  1833	УИК  1834	УИК  1835	УИК  1836	УИК  1837	УИК  1838	УИК  1839	УИК  1840	УИК  1841	УИК  1842	УИК  1843	УИК  1844	УИК  1845	УИК  1846	УИК  1847					
1	"Число избирателей, внесенных в списки"	65313	1881	2759	2585	1628	1735	1825	1734	2160	2081	1654	1886	1872	1756	1485	1275	1837	363	403	584	1470	2452	433	864	2835	1842	2138	1389	1012	125	491	2267	823	1261	1247	961	304	909	828	319	610	2060	629	1479	1065	1996	464	1537					
2	"Число бюллетеней, полученных участковыми комиссиями"	63962	1883	2673	2547	1660	1796	1881	1779	2204	1963	1508	1672	1756	1726	1469	1273	1787	348	414	546	1425	2362	406	886	2683	1739	2205	1342	1011	130	460	2223	795	1240	1191	932	302	829	884	350	602	2013	632	1444	1116	1939	454	1482					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	32936	954	1234	1347	765	896	840	833	990	985	710	1042	886	928	764	557	918	181	237	310	737	1119	211	374	1204	917	1051	671	383	89	248	1271	506	753	748	562	144	544	516	215	365	1140	273	866	584	1151	248	669					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	2488	97	49	22	36	34	75	47	87	70	229	44	36	42	31	96	62	21	42	15	121	140	30	48	66	34	50	35	129	9	33	67	19	9	21	51	54	26	16	10	39	30	112	25	0	77	46	56					
6	Число погашенных бюллетеней	28538	832	1390	1178	859	866	966	899	1127	908	569	586	834	756	674	620	807	146	135	221	567	1103	165	464	1413	788	1104	636	499	32	179	885	270	478	422	319	104	259	352	125	198	843	247	553	532	711	160	757					
7	Число бюллетеней в переносных ящиках для голосования	2488	97	49	22	36	34	75	47	87	70	229	44	36	42	31	96	62	21	42	15	121	140	30	48	66	34	50	35	129	9	33	67	19	9	21	51	54	26	16	10	39	30	112	25	0	77	46	56					
8	Число бюллетеней в стационарных ящиках для голосования	32928	954	1234	1347	765	896	840	833	990	985	710	1042	886	926	764	555	918	181	237	310	737	1119	211	374	1203	917	1051	671	383	89	248	1271	505	753	748	562	144	544	516	215	365	1138	273	866	584	1151	248	669					
9	Число недействительных бюллетеней	520	17	16	13	22	25	9	9	11	7	13	11	16	16	15	8	1	5	9	12	14	39	17	1	18	24	13	34	9	0	1	22	2	3	5	11	0	0	0	0	9	11	2	13	9	12	3	13					
10	Число действительных бюллетеней	34896	1034	1267	1356	779	905	906	871	1066	1048	926	1075	906	952	780	643	979	197	270	313	844	1220	224	421	1251	927	1088	672	503	98	280	1316	522	759	764	602	198	570	532	225	395	1157	383	878	575	1216	291	712					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	698	15	15	15	15	15	15	15	15	15	15	15	15	14	15	15	15	15	15	14	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	14	14	14	14	14	15	15					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	77	2	6	3	1	1	4	5	2	0	1	1	1	2	1	0	3	0	0	0	0	14	4	0	6	0	0	0	0	0	1	1	1	0	1	2	0	0	0	0	2	3	0	4	1	3	1	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	112	3	5	6	2	3	2	6	3	1	4	3	3	2	2	0	2	0	1	2	2	3	5	2	3	3	3	3	1	3	1	5	0	2	6	5	1	1	0	0	1	4	2	1	1	4	0	0					
14	Число погашенных открепительных удостоверений	621	13	9	12	14	14	11	10	13	15	14	14	14	12	14	15	12	15	15	14	15	1	11	15	9	15	15	15	15	15	14	14	14	15	14	13	15	15	15	15	13	11	14	10	13	11	14	15					
15	Число открепительных удостоверений выданных ТИК	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																						
18	"1. ""ЕДИНЕНИЕ"""	359	6	12	14	7	5	6	7	4	4	7	8	8	4	11	7	16	6	2	8	13	11	7	8	9	10	7	11	2	1	7	14	6	13	6	9	2	9	8	1	10	7	7	14	2	13	3	7					
		1.01%	0.57%	0.93%	1.02%	0.87%	0.53%	0.65%	0.79%	0.37%	0.37%	0.74%	0.73%	0.86%	0.41%	1.38%	1.07%	1.63%	2.97%	0.71%	2.46%	1.51%	0.87%	2.90%	1.89%	0.70%	1.05%	0.63%	1.55%	0.39%	1.02%	2.49%	1.04%	1.14%	1.70%	0.78%	1.46%	1.01%	1.57%	1.50%	0.44%	2.47%	0.59%	1.81%	1.57%	0.34%	1.05%	1.02%	0.96%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	353	18	15	10	10	13	11	6	24	8	13	12	12	15	8	7	10	0	1	5	9	11	3	1	20	11	10	14	2	1	5	7	5	4	7	4	0	5	4	2	0	6	6	6	2	5	0	5					
		0.99%	1.71%	1.16%	0.73%	1.24%	1.39%	1.20%	0.68%	2.22%	0.75%	1.38%	1.10%	1.30%	1.54%	1.00%	1.07%	1.02%	0.0%	0.35%	1.53%	1.04%	0.87%	1.24%	0.23%	1.57%	1.15%	0.90%	1.98%	0.39%	1.02%	1.77%	0.52%	0.95%	0.52%	0.91%	0.65%	0.0%	0.87%	0.75%	0.88%	0.0%	0.51%	1.55%	0.67%	0.34%	0.40%	0.0%	0.68%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	695	28	36	22	22	7	15	19	25	16	20	19	21	23	29	15	18	0	0	6	12	21	6	7	32	8	30	15	9	2	10	31	12	15	16	11	4	6	6	1	4	25	14	13	4	15	8	17					
