Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																				
Дата голосования: 07.12.2003 0:00:00																																				
																																				
Наименование Избирательной комиссии:    Курортная №13																																				
																																				
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																				
																																				
		Сумма	УИК  973	УИК  974	УИК  975	УИК  976	УИК  977	УИК  978	УИК  979	УИК  980	УИК  981	УИК  982	УИК  983	УИК  984	УИК  985	УИК  986	УИК  987	УИК  988	УИК  989	УИК  990	УИК  991	УИК  992	УИК  993	УИК  994	УИК  995	УИК  996	УИК  997	УИК №998	УИК №999	УИК №1000	УИК №1001					
1	"Число избирателей, внесенных в списки"	44687	1452	3203	2678	2492	2499	2484	1914	2907	1873	2259	2301	762	266	2933	2498	1021	376	2728	1359	2384	376	1482	201	1197	416	217	71	133	205					
2	"Число бюллетеней, полученных участковыми комиссиями"	42000	1300	2800	2500	2500	2300	2100	1800	2700	1700	2300	2100	700	250	2600	2500	900	340	2500	1300	2100	370	1500	200	1100	400	400	140	300	300					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	20427	550	1358	1327	1161	1183	849	932	1331	945	1244	1070	311	113	1140	1128	451	171	1427	622	1034	185	691	54	502	254	62	34	121	177					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1082	26	47	13	19	18	176	25	33	34	13	40	25	3	73	99	28	35	26	24	48	8	3	40	19	20	155	32	0	0					
6	Число погашенных бюллетеней	20491	724	1395	1160	1320	1099	1075	843	1336	721	1043	990	364	134	1387	1273	421	134	1047	654	1018	177	806	106	579	126	183	74	179	123					
7	Число бюллетеней в переносных ящиках для голосования	1082	26	47	13	19	18	176	25	33	34	13	40	25	3	73	99	28	35	26	24	48	8	3	40	19	20	155	32	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	20405	550	1348	1327	1160	1183	848	932	1331	945	1241	1070	311	113	1134	1128	450	171	1427	622	1034	185	691	54	502	254	62	34	121	177					
9	Число недействительных бюллетеней	206	2	10	8	7	9	6	15	11	8	14	5	3	0	10	18	3	1	20	2	19	3	3	1	11	11	2	0	0	4					
10	Число действительных бюллетеней	21281	574	1385	1332	1172	1192	1018	942	1353	971	1240	1105	333	116	1197	1209	475	205	1433	644	1063	190	691	93	510	263	215	66	121	173					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	989	50	50	50	40	40	40	40	50	29	50	50	30	20	50	50	30	30	50	40	50	20	50	20	30	30	0	0	0	0					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	284	12	7	48	12	8	12	8	12	12	10	11	1	1	14	14	2	1	13	10	17	2	18	0	9	30	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	866	15	81	25	6	12	124	14	14	15	10	30	15	13	12	19	104	31	53	85	48	5	6	5	11	79	4	2	28	0					
14	Число погашенных открепительных удостоверений	705	38	43	2	28	32	28	32	38	17	40	39	29	19	36	36	28	29	37	30	33	18	32	20	21	0	0	0	0	0					
15	Число открепительных удостоверений выданных ТИК	11	1	1	3	0	1	0	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																				
18	"1. ""ЕДИНЕНИЕ"""	231	8	11	16	11	15	13	7	8	6	17	7	3	0	8	20	4	1	13	10	10	6	5	1	13	8	2	2	1	5					
		1.07%	1.38%	0.78%	1.19%	0.93%	1.24%	1.26%	0.73%	0.58%	0.61%	1.35%	0.63%	0.89%	0.0%	0.66%	1.62%	0.83%	0.48%	0.89%	1.54%	0.92%	3.10%	0.72%	1.06%	2.49%	2.91%	0.92%	3.03%	0.82%	2.82%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	1383	35	97	116	70	83	88	63	93	54	73	68	14	11	99	79	29	21	97	29	59	9	20	8	24	11	10	7	8	8					
		6.43%	6.07%	6.95%	8.65%	5.93%	6.91%	8.59%	6.58%	6.81%	5.51%	5.82%	6.12%	4.16%	9.48%	8.20%	6.43%	6.06%	10.19%	6.67%	4.48%	5.45%	4.66%	2.88%	8.51%	4.60%	4.01%	4.60%	10.60%	6.61%	4.51%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	610	8	31	25	31	38	32	29	44	18	44	28	15	0	26	36	22	2	49	19	29	7	17	1	20	15	9	0	5	10					
		2.83%	1.38%	2.22%	1.86%	2.62%	3.16%	3.12%	3.03%	3.22%	1.83%	3.50%	2.52%	4.46%	0.0%	2.15%	2.93%	4.60%	0.97%	3.37%	2.94%	2.68%	3.62%	2.44%	1.06%	3.83%	5.47%	4.14%	0.0%	4.13%	5.64%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	1220	31	85	94	59	48	77	68	84	68	70	56	15	5	72	62	48	13	74	33	46	8	30	8	18	9	10	8	11	10					
		5.67%	5.38%	6.09%	7.01%	5.00%	3.99%	7.51%	7.10%	6.15%	6.94%	5.58%	5.04%	4.46%	4.31%	5.96%	5.05%	10.04%	6.31%	5.09%	5.10%	4.25%	4.14%	4.32%	8.51%	3.45%	3.28%	4.60%	12.12%	9.09%	5.64%					
22	"5. ""За Русь Святую"""	106	2	7	5	5	4	3	3	6	5	5	5	14	1	8	6	1	1	4	1	2	1	2	0	5	7	0	0	0	3					
		0.49%	0.34%	0.50%	0.37%	0.42%	0.33%	0.29%	0.31%	0.43%	0.51%	0.39%	0.45%	4.16%	0.86%	0.66%	0.48%	0.20%	0.48%	0.27%	0.15%	0.18%	0.51%	0.28%	0.0%	0.95%	2.55%	0.0%	0.0%	0.0%	1.69%					
23	"6. ""Объединенная Российская партия ""Русь"""	46	1	3	0	2	5	4	0	2	2	1	3	0	3	3	1	1	0	4	2	2	0	2	0	1	4	0	0	0	0					
		0.21%	0.17%	0.21%	0.0%	0.16%	0.41%	0.39%	0.0%	0.14%	0.20%	0.07%	0.27%	0.0%	2.58%	0.24%	0.08%	0.20%	0.0%	0.27%	0.30%	0.18%	0.0%	0.28%	0.0%	0.19%	1.45%	0.0%	0.0%	0.0%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	186	7	14	14	8	9	11	4	5	5	8	8	7	2	8	15	1	1	10	11	6	1	18	0	8	2	1	0	1	1					
		0.86%	1.21%	1.00%	1.04%	0.67%	0.74%	1.07%	0.41%	0.36%	0.51%	0.63%	0.72%	2.08%	1.72%	0.66%	1.22%	0.20%	0.48%	0.68%	1.70%	0.55%	0.51%	2.59%	0.0%	1.53%	0.72%	0.46%	0.0%	0.82%	0.56%					
25	"8. ""Народно-республиканская партия России"""	34	1	1	4	1	1	2	4	0	0	1	1	3	0	1	3	1	0	3	2	0	0	2	0	1	0	2	0	0	0					
		0.15%	0.17%	0.07%	0.29%	0.08%	0.08%	0.19%	0.41%	0.0%	0.0%	0.07%	0.09%	0.89%	0.0%	0.08%	0.24%	0.20%	0.0%	0.20%	0.30%	0.0%	0.0%	0.28%	0.0%	0.19%	0.0%	0.92%	0.0%	0.0%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	130	2	6	4	10	4	5	15	8	7	12	4	3	0	4	6	5	1	11	3	5	0	7	1	1	4	0	0	1	1					
		0.60%	0.34%	0.43%	0.29%	0.84%	0.33%	0.48%	1.56%	0.58%	0.71%	0.95%	0.36%	0.89%	0.0%	0.33%	0.48%	1.04%	0.48%	0.75%	0.46%	0.46%	0.0%	1.00%	1.06%	0.19%	1.45%	0.0%	0.0%	0.82%	0.56%					
27	"10. ""Аграрная партия России"""	343	7	18	23	22	19	7	9	25	24	21	16	15	1	16	15	4	1	19	8	20	5	10	1	15	4	3	5	5	5					
		1.59%	1.21%	1.29%	1.71%	1.86%	1.58%	0.68%	0.94%	1.83%	2.45%	1.67%	1.44%	4.46%	0.86%	1.32%	1.22%	0.83%	0.48%	1.30%	1.23%	1.84%	2.59%	1.44%	1.06%	2.87%	1.45%	1.38%	7.57%	4.13%	2.82%					
28	"11. ""Истинные патриоты России"""	23	1	1	0	0	0	4	2	2	1	2	0	0	0	1	1	1	1	1	0	0	0	3	0	0	2	0	0	0	0					
