Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																										
Дата голосования: 04.12.2011																																																										
																																																										
"Наименование Избирательной комиссии:    Владимир, Октябрьская"																																																										
																																																										
Сводная таблица результатов выборов																																																										
																																																										
		Сумма	УИК №402	УИК №403	УИК №404	УИК №405	УИК №406	УИК №407	УИК №408	УИК №409	УИК №410	УИК №411	УИК №413	УИК №414	УИК №415	УИК №416	УИК №417	УИК №418	УИК №419	УИК №420	УИК №421	УИК №422	УИК №423	УИК №424	УИК №425	УИК №426	УИК №427	УИК №428	УИК №429	УИК №430	УИК №431	УИК №432	УИК №433	УИК №434	УИК №435	УИК №436	УИК №437	УИК №438	УИК №439	УИК №440	УИК №441	УИК №442	УИК №443	УИК №444	УИК №445	УИК №446	УИК №447	УИК №448	УИК №449	УИК №450	УИК №451	УИК №452	УИК №453					
1	"Число избирателей, внесенных в список избирателей"	106656	2713	2799	2081	2504	2683	2800	2712	2467	2764	2542	2716	2482	2203	2703	2185	2646	2319	2348	2664	2451	2384	2513	2551	1983	1399	2298	2343	2170	2709	2695	2067	2506	1954	2351	1655	1081	1803	2256	2418	2114	1423	203	133	244	26	313	689	2463	1321	2888	2921					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	95460	2300	2400	1800	2200	2300	2400	2400	2100	2400	2200	2400	2100	1900	2400	1900	2300	1900	2200	2300	2100	2000	2100	2200	1600	1399	2000	2000	1900	2400	2300	1700	2200	1967	2000	1655	800	1910	1700	2100	1800	1100	200	119	235	1500	308	685	2450	1321	2888	2923					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	56413	1219	1386	1016	1098	1225	1309	1111	1166	1110	1097	1316	1033	1076	1093	954	1079	1300	938	1213	1160	1124	1148	1185	798	1399	1054	1164	1155	1338	1179	978	1104	1954	841	1655	317	1803	898	979	1080	560	93	92	116	26	69	56	2326	1214	2888	2921					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	2864	60	103	59	50	68	44	70	46	77	62	43	24	46	19	39	78	104	0	92	43	42	140	48	94	0	77	98	117	174	128	139	46	0	57	0	34	0	223	97	100	94	0	16	13	0	0	0	0	0	0	0					
6	Число погашенных избирательных бюллетеней	36168	1021	899	725	1052	1007	1047	1219	888	1213	1041	1041	1043	778	1288	907	1143	495	1262	995	897	834	812	967	708	0	869	738	628	888	993	583	1050	13	1102	0	449	107	579	1024	620	446	107	11	106	1474	239	629	124	107	0	0					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2864	60	103	59	50	68	44	70	46	77	62	43	24	46	19	39	78	104	0	92	43	42	140	48	94	0	77	98	117	174	128	139	46	0	57	0	34	0	223	97	100	94	0	16	13	0	0	0	0	0	0	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	55923	1218	1378	1015	1097	1224	1305	1110	1166	1109	1094	1268	1033	1074	1093	954	1076	1300	935	1212	1160	1122	1147	1184	798	1399	1052	1163	1154	1338	1179	978	1104	1949	839	1655	317	1801	895	979	1080	560	93	92	116	26	69	56	2326	1214	2888	2529					
9	Число недействительных избирательных бюллетеней	780	26	21	10	16	20	20	23	19	18	19	14	10	13	29	9	5	12	13	29	17	18	22	15	12	9	12	18	42	22	18	111	15	7	14	2	4	0	15	27	17	11	0	2	5	0	0	1	8	0	3	7					
10	Число действительных избирательных бюллетеней	58007	1252	1460	1064	1131	1272	1329	1157	1193	1168	1137	1297	1047	1107	1083	984	1149	1392	922	1275	1186	1146	1265	1217	880	1390	1117	1243	1229	1490	1289	1006	1135	1942	882	1653	347	1801	1103	1049	1163	643	93	106	124	26	69	55	2318	1214	2885	2522					
