Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																													
Дата голосования: 18.09.2016																																													
																																													
Наименование Избирательной комиссии:    Асекеевская																																													
																																													
Сводная таблица итогов голосования по федеральному избирательному округу																																													
																																													
		Сумма	УИК №156	УИК №157	УИК №158	УИК №159	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	16969	230	215	2363	2108	375	441	436	200	1470	229	501	640	337	149	158	280	152	268	160	545	308	107	621	704	148	124	446	86	497	1566	426	97	421	161									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	17375	237	222	2367	2121	395	465	447	205	1510	233	525	660	352	156	162	283	163	272	165	564	314	107	624	733	150	135	463	94	506	1600	432	103	437	173									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	9008	195	144	1008	878	190	302	378	167	724	100	248	291	217	82	103	187	80	152	84	403	216	89	275	297	80	86	392	71	227	583	253	80	303	123									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1799	22	32	110	264	27	31	29	7	167	48	67	70	14	9	9	41	16	63	17	57	46	10	71	104	25	15	10	0	116	179	58	7	44	14									
6	Число погашенных избирательных бюллетеней	6568	20	46	1249	979	178	132	40	31	619	85	210	299	121	65	50	55	67	57	64	104	52	8	278	332	45	34	61	23	163	838	121	16	90	36									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1799	22	32	110	264	27	31	29	7	167	48	67	70	14	9	9	41	16	63	17	57	46	10	71	104	25	15	10	0	116	179	58	7	44	14									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	9008	195	144	1008	878	190	302	378	167	724	100	248	291	217	82	103	187	80	152	84	403	216	89	275	297	80	86	392	71	227	583	253	80	303	123									
9	Число недействительных избирательных бюллетеней	96	0	3	28	16	0	2	6	3	0	1	6	0	4	3	3	0	1	0	0	0	2	0	1	6	1	0	1	0	1	4	4	0	0	0									
10	Число действительных избирательных бюллетеней	10711	217	173	1090	1126	217	331	401	171	891	147	309	361	227	88	109	228	95	215	101	460	260	99	345	395	104	101	401	71	342	758	307	87	347	137									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	240	4	5	20	20	5	5	5	5	25	5	5	7	5	5	5	5	5	5	5	7	7	3	5	10	5	2	8	5	7	15	5	5	5	5									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	123	0	2	18	19	5	5	0	0	25	0	5	0	3	0	0	0	0	1	0	3	2	0	2	3	0	0	7	5	1	7	0	0	5	5									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	61	2	1	10	11	2	2	1	0	1	1	1	2	0	1	1	3	1	1	0	2	1	1	3	1	1	0	1	0	2	2	1	1	3	1									
14	Число погашенных неиспользованных открепительных удостоверений	117	4	3	2	1	0	0	5	5	0	5	0	7	2	5	5	5	5	4	5	4	5	3	3	7	5	2	1	0	6	8	5	5	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	10	0	0	5	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0									
