Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																					
Дата голосования: 02.12.2007																					
																					
Наименование Избирательной комиссии:    Сусанинская																					
																					
Сводная таблица результатов выборов																					
																					
		Сумма	УИК №608	УИК №609	УИК №610	УИК №611	УИК №612	УИК №613	УИК №614	УИК №615	УИК №616	УИК №617	УИК №618	УИК №619	УИК №620	УИК №621					
1	"Число избирателей, внесенных в списки избирателей"	6998	473	242	234	188	210	330	120	252	390	261	401	1724	1665	508					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	5779	400	200	200	150	175	275	115	225	325	225	325	1443	1321	400					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	3947	225	150	166	115	144	199	106	143	236	182	210	1043	794	234					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	657	115	35	29	14	17	61	4	28	34	35	59	43	68	115					
6	Число погашенных избирательных бюллетеней	1175	60	15	5	21	14	15	5	54	55	8	56	357	459	51					
7	Число избирательных бюллетеней в переносных ящиках для голосования	657	115	35	29	14	17	61	4	28	34	35	59	43	68	115					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	3947	225	150	166	115	144	199	106	143	236	182	210	1043	794	234					
9	Число недействительных избирательных бюллетеней	31	0	0	3	0	2	1	2	0	0	2	4	11	4	2					
10	Число действительных избирательных бюллетеней	4573	340	185	192	129	159	259	108	171	270	215	265	1075	858	347					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	81	8	3	2	2	2	4	2	3	5	4	6	18	17	5					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	64	5	1	2	2	2	4	2	1	5	4	6	11	14	5					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	40	2	0	3	1	3	3	1	1	3	2	1	12	5	3					
14	Число погашенных неиспользованных открепительных удостоверений	17	3	2	0	0	0	0	0	2	0	0	0	7	3	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																					
18	1.Политическая партия «Аграрная партия России»	296	24	21	21	9	3	27	7	14	4	24	23	66	38	15					
		6.43%	7.06%	11.35%	10.77%	6.98%	1.86%	10.38%	6.36%	8.19%	1.48%	11.06%	8.55%	6.08%	4.41%	4.30%					
19	2.Всероссийская политическая партия «Гражданская Сила»	8	0	0	0	0	0	0	0	0	0	2	1	4	1	0					
		0.17%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.92%	0.37%	0.37%	0.12%	0.00%					
20	3.Политическая партия «Демократическая партия России»	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.02%	0.29%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	545	24	33	30	4	9	25	8	14	12	17	18	188	133	30					
		11.84%	7.06%	17.84%	15.38%	3.10%	5.59%	9.62%	7.27%	8.19%	4.44%	7.83%	6.69%	17.31%	15.43%	8.60%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	44	0	0	0	2	0	4	0	3	5	1	12	4	4	9					
		0.96%	0.00%	0.00%	0.00%	1.55%	0.00%	1.54%	0.00%	1.75%	1.85%	0.46%	4.46%	0.37%	0.46%	2.58%					
23	6.Политическая партия «Партия социальной справедливости»	13	0	0	0	1	0	0	0	0	1	1	2	3	3	2					
		0.28%	0.00%	0.00%	0.00%	0.78%	0.00%	0.00%	0.00%	0.00%	0.37%	0.46%	0.74%	0.28%	0.35%	0.57%					
24	7.Политическая партия «Либерально-демократическая партия России»	454	16	12	12	10	12	19	15	21	17	32	18	121	109	40					
		9.86%	4.71%	6.49%	6.15%	7.75%	7.45%	7.31%	13.64%	12.28%	6.30%	14.75%	6.69%	11.14%	12.65%	11.46%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	571	67	11	11	26	9	22	31	24	24	15	35	172	104	20					
		12.40%	19.71%	5.95%	5.64%	20.16%	5.59%	8.46%	28.18%	14.04%	8.89%	6.91%	13.01%	15.84%	12.06%	5.73%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	32	2	1	1	2	0	0	2	1	3	1	1	9	6	3					
		0.70%	0.59%	0.54%	0.51%	1.55%	0.00%	0.00%	1.82%	0.58%	1.11%	0.46%	0.37%	0.83%	0.70%	0.86%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	2597	206	107	117	75	126	160	44	94	203	121	154	504	458	228					
		56.41%	60.59%	57.84%	60.00%	58.14%	78.26%	61.54%	40.00%	54.97%	75.19%	55.76%	57.25%	46.41%	53.13%	65.33%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	12	0	0	0	0	0	2	1	0	1	1	1	4	2	0					
		0.26%	0.00%	0.00%	0.00%	0.00%	0.00%	0.77%	0.91%	0.00%	0.37%	0.46%	0.37%	0.37%	0.23%	0.00%					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
