Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																									
Дата голосования: 18.09.2016																																									
																																									
Наименование Избирательной комиссии:    Нижнегорская																																									
																																									
Сводная таблица итогов голосования по федеральному избирательному округу																																									
																																									
		Сумма	УИК №951	УИК №952	УИК №953	УИК №954	УИК №955	УИК №956	УИК №957	УИК №958	УИК №959	УИК №960	УИК №961	УИК №962	УИК №963	УИК №964	УИК №965	УИК №966	УИК №967	УИК №968	УИК №969	УИК №970	УИК №971	УИК №972	УИК №973	УИК №974	УИК №975	УИК №976	УИК №977	УИК №978	УИК №979	УИК №980									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	38356	1646	2481	2391	1547	1368	1108	1284	2120	479	1453	1250	1648	780	1250	902	1606	1009	1958	684	1162	670	1125	1179	818	312	1296	1237	1970	1257	366									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	33900	1300	2350	2250	1400	1200	950	1100	2000	400	1300	1150	1550	600	1100	700	1500	800	1800	500	1000	500	1000	1000	700	250	1100	1100	1850	1100	350									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	20526	662	1257	1104	635	603	737	668	1459	316	709	716	959	480	797	552	803	372	967	331	767	426	633	681	519	191	508	472	1273	681	248									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	2060	67	46	178	48	79	40	53	106	29	64	52	146	55	89	81	106	52	95	74	65	44	63	47	66	46	47	37	97	63	25									
6	Число погашенных избирательных бюллетеней	11313	571	1047	968	717	518	173	379	435	54	527	382	445	65	214	67	591	376	738	95	168	30	304	272	115	13	545	591	480	356	77									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	2060	67	46	178	48	79	40	53	106	29	64	52	146	55	89	81	106	52	95	74	65	44	63	47	66	46	47	37	97	63	25									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	20526	662	1257	1104	635	603	737	668	1459	316	709	716	959	480	797	552	803	372	967	331	767	426	633	681	519	191	508	472	1273	681	248									
9	Число недействительных избирательных бюллетеней	463	40	20	19	32	6	13	9	44	10	11	2	85	10	7	8	12	12	9	6	8	2	7	11	2	0	7	11	24	30	6									
10	Число действительных избирательных бюллетеней	22123	689	1283	1263	651	676	764	712	1521	335	762	766	1020	525	879	625	897	412	1053	399	824	468	689	717	583	237	548	498	1346	714	267									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	410	15	25	30	15	15	10	15	20	10	15	10	15	10	10	10	15	10	20	10	10	10	10	10	10	10	10	10	20	20	10									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	259	4	23	26	10	12	10	1	20	3	6	0	15	10	8	8	8	5	7	1	5	3	3	6	3	10	4	8	10	20	10									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	157	2	8	25	2	8	4	2	6	7	4	3	3	2	5	3	2	35	3	2	3	1	5	1	4	4	2	2	5	4	0									
14	Число погашенных неиспользованных открепительных удостоверений	151	11	2	4	5	3	0	14	0	7	9	10	0	0	2	2	7	5	13	9	5	7	7	4	7	0	6	2	10	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	19	0	0	2	1	0	0	0	1	0	1	0	1	1	1	1	2	0	1	1	0	1	1	0	0	0	1	0	3	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																									
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	648	16	17	24	9	13	38	39	23	15	8	13	64	16	47	12	8	8	10	3	37	9	18	14	24	4	3	8	107	22	19									
		2.87%	2.19%	1.30%	1.87%	1.32%	1.91%	4.89%	5.41%	1.47%	4.35%	1.03%	1.69%	5.79%	2.99%	5.30%	1.90%	0.88%	1.89%	0.94%	0.74%	4.45%	1.91%	2.59%	1.92%	4.10%	1.69%	0.54%	1.57%	7.81%	2.96%	6.96%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	320	11	20	20	18	12	17	7	14	6	5	6	13	6	11	11	9	7	15	1	7	8	26	13	6	5	8	10	12	15	1									
		1.42%	1.51%	1.53%	1.56%	2.64%	1.76%	2.19%	0.97%	0.89%	1.74%	0.65%	0.78%	1.18%	1.12%	1.24%	1.74%	0.99%	1.65%	1.41%	0.25%	0.84%	1.70%	3.74%	1.79%	1.03%	2.11%	1.44%	1.96%	0.88%	2.02%	0.37%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	216	9	12	23	7	9	7	8	14	4	7	2	10	3	3	9	11	8	16	1	3	5	5	2	1	2	2	4	20	9	0									
		0.96%	1.23%	0.92%	1.79%	1.02%	1.32%	0.90%	1.11%	0.89%	1.16%	0.91%	0.26%	0.90%	0.56%	0.34%	1.42%	1.21%	1.89%	1.51%	0.25%	0.36%	1.06%	0.72%	0.27%	0.17%	0.84%	0.36%	0.79%	1.46%	1.21%	0.00%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	16599	512	917	905	446	505	532	532	1217	232	645	654	640	391	674	461	737	268	844	333	622	390	510	550	459	174	438	406	922	493	190									
		73.49%	70.23%	70.38%	70.59%	65.30%	74.05%	68.47%	73.79%	77.76%	67.25%	83.44%	85.16%	57.92%	73.08%	76.07%	72.83%	81.08%	63.21%	79.47%	82.22%	74.76%	82.98%	73.28%	75.55%	78.46%	73.42%	78.92%	79.76%	67.30%	66.26%	69.60%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	161	6	9	6	13	1	7	5	23	7	5	3	4	3	1	2	6	6	4	1	0	5	6	13	2	0	5	1	12	5	0									
		0.71%	0.82%	0.69%	0.47%	1.90%	0.15%	0.90%	0.69%	1.47%	2.03%	0.65%	0.39%	0.36%	0.56%	0.11%	0.32%	0.66%	1.42%	0.38%	0.25%	0.00%	1.06%	0.86%	1.79%	0.34%	0.00%	0.90%	0.20%	0.88%	0.67%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	126	4	2	2	2	2	2	61	12	4	3	3	0	1	3	0	0	3	1	2	0	3	2	3	0	0	1	4	2	3	1									
		0.56%	0.55%	0.15%	0.16%	0.29%	0.29%	0.26%	8.46%	0.77%	1.16%	0.39%	0.39%	0.00%	0.19%	0.34%	0.00%	0.00%	0.71%	0.09%	0.49%	0.00%	0.64%	0.29%	0.41%	0.00%	0.00%	0.18%	0.79%	0.15%	0.40%	0.37%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	2368	69	181	148	83	83	122	13	137	50	58	36	138	65	77	93	93	54	100	45	51	16	79	66	64	33	57	37	186	104	30									
		10.48%	9.47%	13.89%	11.54%	12.15%	12.17%	15.70%	1.80%	8.75%	14.49%	7.50%	4.69%	12.49%	12.15%	8.69%	14.69%	10.23%	12.74%	9.42%	11.11%	6.13%	3.40%	11.35%	9.07%	10.94%	13.92%	10.27%	7.27%	13.58%	13.98%	10.99%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	79	5	5	7	7	3	3	0	4	0	1	3	7	1	1	1	0	1	3	1	3	1	0	1	3	2	5	1	3	6	1									
		0.35%	0.69%	0.38%	0.55%	1.02%	0.44%	0.39%	0.00%	0.26%	0.00%	0.13%	0.39%	0.63%	0.19%	0.11%	0.16%	0.00%	0.24%	0.28%	0.25%	0.36%	0.21%	0.00%	0.14%	0.51%	0.84%	0.90%	0.20%	0.22%	0.81%	0.37%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	34	1	2	5	1	2	1	0	0	0	1	0	2	0	0	4	2	0	0	0	0	0	1	4	0	0	1	3	2	0	2									
		0.15%	0.14%	0.15%	0.39%	0.15%	0.29%	0.13%	0.00%	0.00%	0.00%	0.13%	0.00%	0.18%	0.00%	0.00%	0.63%	0.22%	0.00%	0.00%	0.00%	0.00%	0.00%	0.14%	0.55%	0.00%	0.00%	0.18%	0.59%	0.15%	0.00%	0.73%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	14	1	1	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	1	1	2	0									
		0.06%	0.14%	0.08%	0.16%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.26%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.28%	0.25%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.20%	0.07%	0.27%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	150	5	8	12	16	8	3	4	10	2	2	4	6	1	1	2	3	4	1	1	3	6	2	6	6	0	3	5	17	7	2									
		0.66%	0.69%	0.61%	0.94%	2.34%	1.17%	0.39%	0.55%	0.64%	0.58%	0.26%	0.52%	0.54%	0.19%	0.11%	0.32%	0.33%	0.94%	0.09%	0.25%	0.36%	1.28%	0.29%	0.82%	1.03%	0.00%	0.54%	0.98%	1.24%	0.94%	0.73%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	1053	36	72	93	40	27	25	37	57	11	20	31	67	25	58	28	23	41	52	6	80	23	28	18	16	14	20	9	44	34	18									
		4.66%	4.94%	5.53%	7.25%	5.86%	3.96%	3.22%	5.13%	3.64%	3.19%	2.59%	4.04%	6.06%	4.67%	6.55%	4.42%	2.53%	9.67%	4.90%	1.48%	9.62%	4.89%	4.02%	2.47%	2.74%	5.91%	3.60%	1.77%	3.21%	4.57%	6.59%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	54	2	2	3	2	2	1	1	2	2	0	1	2	1	1	0	1	2	0	1	2	1	2	3	1	0	1	2	8	5	3									
		0.24%	0.27%	0.15%	0.23%	0.29%	0.29%	0.13%	0.14%	0.13%	0.58%	0.00%	0.13%	0.18%	0.19%	0.11%	0.00%	0.11%	0.47%	0.00%	0.25%	0.24%	0.21%	0.29%	0.41%	0.17%	0.00%	0.18%	0.39%	0.58%	0.67%	1.10%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	301	12	35	13	7	9	6	5	8	2	7	8	67	12	2	2	4	10	4	3	16	1	10	24	1	3	4	7	10	9	0									
		1.33%	1.65%	2.69%	1.01%	1.02%	1.32%	0.77%	0.69%	0.51%	0.58%	0.91%	1.04%	6.06%	2.24%	0.23%	0.32%	0.44%	2.36%	0.38%	0.74%	1.92%	0.21%	1.44%	3.30%	0.17%	1.27%	0.72%	1.38%	0.73%	1.21%	0.00%									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
