Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																														
Дата голосования: 07.12.2003 0:00:00																														
																														
Наименование Избирательной комиссии:    Кусинская																														
																														
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																														
																														
		Сумма	УИК №1097	УИК №1098	УИК №1099	УИК №1100	УИК №1101	УИК №1102	УИК №1103	УИК №1104	УИК №1105	УИК №1106	УИК №1107	УИК №1108	УИК №1109	УИК №1110	УИК №1111	УИК №1112	УИК №1113	УИК №1114	УИК №1115	УИК №1116	УИК №1117	УИК №1118	УИК №1119					
1	"Число избирателей, внесенных в списки"	24710	1718	1542	1649	1575	1035	635	1767	1535	1123	970	2215	1096	989	1090	1081	219	176	1384	288	933	183	161	1346					
2	"Число бюллетеней, полученных участковыми комиссиями"	23570	1600	1400	1550	1500	1000	600	1600	1400	1000	900	2100	1200	1000	1000	1100	220	220	1400	270	900	190	170	1250					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	11712	890	638	812	703	581	285	865	739	503	354	965	477	474	545	588	91	105	691	154	490	111	90	561					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	738	44	31	19	37	11	62	33	26	23	64	27	27	30	22	43	21	22	35	25	52	20	17	47					
6	Число погашенных бюллетеней	11120	666	731	719	760	408	253	702	635	474	482	1108	696	496	433	469	108	93	674	91	358	59	63	642					
7	Число бюллетеней в переносных ящиках для голосования	738	44	31	19	37	11	62	33	26	23	64	27	27	30	22	43	21	22	35	25	52	20	17	47					
8	Число бюллетеней в стационарных ящиках для голосования	11703	890	637	811	703	581	285	865	736	501	354	965	477	474	543	588	91	105	691	154	490	111	90	561					
9	Число недействительных бюллетеней	205	6	8	9	10	4	10	5	6	11	4	12	4	7	17	6	4	1	15	14	33	5	4	10					
10	Число действительных бюллетеней	12236	928	660	821	730	588	337	893	756	513	414	980	500	497	548	625	108	126	711	165	509	126	103	598					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	378	20	20	20	20	20	20	20	20	15	20	20	20	20	20	20	5	5	20	5	20	5	5	18					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	63	6	3	7	5	3	2	5	4	0	1	1	4	5	5	1	0	0	3	1	3	0	2	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	35	3	0	2	2	1	3	5	3	1	1	3	0	2	0	3	0	0	0	3	2	1	0	0					
14	Число погашенных открепительных удостоверений	315	14	17	13	15	17	18	15	16	15	19	19	16	15	15	19	5	5	17	4	17	5	3	16					
15	Число открепительных удостоверений выданных ТИК	18	3	1	1	0	0	0	2	0	0	0	5	2	1	0	1	0	0	1	0	0	0	0	1					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																														
18	"1. ""ЕДИНЕНИЕ"""	185	11	4	16	6	9	13	9	12	7	7	7	9	4	17	4	2	1	21	3	7	6	4	6					
		1.48%	1.17%	0.59%	1.92%	0.81%	1.52%	3.74%	1.00%	1.57%	1.33%	1.67%	0.70%	1.78%	0.79%	3.00%	0.63%	1.78%	0.78%	2.89%	1.67%	1.29%	4.58%	3.73%	0.98%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	286	16	18	33	7	11	5	30	19	11	10	17	6	9	19	25	4	4	18	1	4	5	2	12					
		2.29%	1.71%	2.69%	3.97%	0.94%	1.85%	1.44%	3.34%	2.49%	2.09%	2.39%	1.71%	1.19%	1.78%	3.36%	3.96%	3.57%	3.14%	2.47%	0.55%	0.73%	3.81%	1.86%	1.97%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	1190	58	54	55	35	31	45	86	78	38	35	86	74	76	97	90	17	19	38	9	107	19	14	29					
		9.56%	6.20%	8.08%	6.62%	4.72%	5.23%	12.96%	9.57%	10.23%	7.25%	8.37%	8.66%	14.68%	15.07%	17.16%	14.26%	15.17%	14.96%	5.23%	5.02%	19.74%	14.50%	13.08%	4.76%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	447	31	24	49	28	32	5	48	33	20	12	33	19	19	29	25	3	2	16	0	4	0	5	10					
		3.59%	3.31%	3.59%	5.90%	3.78%	5.40%	1.44%	5.34%	4.33%	3.81%	2.87%	3.32%	3.76%	3.76%	5.13%	3.96%	2.67%	1.57%	2.20%	0.0%	0.73%	0.0%	4.67%	1.64%					
22	"5. ""За Русь Святую"""	74	7	4	4	6	2	3	2	3	9	3	9	3	7	0	2	1	1	2	0	2	0	1	3					
		0.59%	0.74%	0.59%	0.48%	0.81%	0.33%	0.86%	0.22%	0.39%	1.71%	0.71%	0.90%	0.59%	1.38%	0.0%	0.31%	0.89%	0.78%	0.27%	0.0%	0.36%	0.0%	0.93%	0.49%					
23	"6. ""Объединенная Российская партия ""Русь"""	22	0	2	2	0	0	1	1	2	0	0	4	1	1	0	2	2	0	2	0	1	1	0	0					
		0.17%	0.0%	0.29%	0.24%	0.0%	0.0%	0.28%	0.11%	0.26%	0.0%	0.0%	0.40%	0.19%	0.19%	0.0%	0.31%	1.78%	0.0%	0.27%	0.0%	0.18%	0.76%	0.0%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	79	10	5	4	6	5	2	9	3	6	2	8	4	2	1	2	2	1	2	3	1	0	0	1					
		0.63%	1.07%	0.74%	0.48%	0.81%	0.84%	0.57%	1.00%	0.39%	1.14%	0.47%	0.80%	0.79%	0.39%	0.17%	0.31%	1.78%	0.78%	0.27%	1.67%	0.18%	0.0%	0.0%	0.16%					
25	"8. ""Народно-республиканская партия России"""	14	0	0	1	0	1	1	0	0	0	1	2	0	0	1	2	0	1	0	1	2	0	0	1					
		0.11%	0.0%	0.0%	0.12%	0.0%	0.16%	0.28%	0.0%	0.0%	0.0%	0.23%	0.20%	0.0%	0.0%	0.17%	0.31%	0.0%	0.78%	0.0%	0.55%	0.36%	0.0%	0.0%	0.16%					
26	"9. ""Российская экологическая партия ""Зеленые"""	48	6	4	3	7	2	2	3	3	1	1	5	1	4	1	0	0	0	0	0	2	1	2	0					
		0.38%	0.64%	0.59%	0.36%	0.94%	0.33%	0.57%	0.33%	0.39%	0.19%	0.23%	0.50%	0.19%	0.79%	0.17%	0.0%	0.0%	0.0%	0.0%	0.0%	0.36%	0.76%	1.86%	0.0%					
27	"10. ""Аграрная партия России"""	387	16	10	19	30	19	8	32	15	21	10	29	16	11	14	29	0	3	41	12	21	13	5	13					
		3.11%	1.71%	1.49%	2.28%	4.05%	3.20%	2.30%	3.56%	1.96%	4.00%	2.39%	2.92%	3.17%	2.18%	2.47%	4.59%	0.0%	2.36%	5.64%	6.70%	3.87%	9.92%	4.67%	2.13%					
