Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																									
Дата голосования: 04.12.2011																																																																									
																																																																									
Наименование Избирательной комиссии:    Территориальная избирательная комиссия №21																																																																									
																																																																									
Сводная таблица результатов выборов																																																																									
																																																																									
		Сумма	УИК №622	УИК №623	УИК №624	УИК №625	УИК №626	УИК №627	УИК №628	УИК №629	УИК №630	УИК №631	УИК №632	УИК №633	УИК №634	УИК №635	УИК №636	УИК №637	УИК №638	УИК №639	УИК №640	УИК №641	УИК №642	УИК №643	УИК №644	УИК №645	УИК №646	УИК №647	УИК №648	УИК №649	УИК №650	УИК №651	УИК №652	УИК №653	УИК №654	УИК №655	УИК №656	УИК №657	УИК №658	УИК №659	УИК №660	УИК №661	УИК №662	УИК №663	УИК №664	УИК №665	УИК №666	УИК №667	УИК №668	УИК №669	УИК №670	УИК №671	УИК №672	УИК №673	УИК №674	УИК №675	УИК №676	УИК №677	УИК №678	УИК №679	УИК №680	УИК №681	УИК №682	УИК №683	УИК №684	УИК №685	УИК №686	УИК №687					
1	"Число избирателей, внесенных в список избирателей"	143070	1261	2176	1450	2204	2404	2317	1871	2210	2187	2584	2354	2554	2282	2371	2340	2115	2440	2052	2320	2390	2574	2187	2196	2448	2294	2298	2284	2294	2318	2367	2089	2433	2249	2336	2525	2289	2027	2168	2166	2437	2206	2224	2206	2109	2194	2063	2284	2144	2485	2205	383	1166	1938	2034	1474	1546	986	1989	2654	2910	2573	2072	3048	2398	2751	1167					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	117500	1000	1500	1500	2000	2000	2000	1500	2000	1600	2000	2000	2000	2000	2000	2000	1500	2000	1500	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	1500	2000	2000	2000	2000	2000	1500	2000	2000	2000	2000	1500	1500	1500	2000	1500	2000	1500	2000	2000	400	1000	1500	1500	1500	1500	1000	1500	2000	2000	2000	1500	2500	2000	2000	1000					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	73098	703	1325	1432	985	1558	891	801	1074	1476	1164	1781	1183	1504	1513	1171	1459	1069	898	1115	1198	1185	995	890	1026	1513	1063	1031	985	1044	1107	962	1086	1055	1068	1007	1513	1022	894	1001	1157	951	1048	929	1014	998	863	891	917	1076	1281	0	661	1109	1331	1011	666	664	1290	1359	1537	1088	1053	1750	1513	1762	432					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	2124	136	62	18	18	97	21	10	16	4	7	200	25	14	8	43	22	29	30	32	24	25	21	29	20	12	11	17	18	24	14	23	21	21	18	27	14	12	29	15	16	16	20	27	13	16	18	21	23	14	15	336	19	37	18	9	37	19	35	23	22	21	46	15	12	65	24					
6	Число погашенных избирательных бюллетеней	42278	161	113	50	997	345	1088	689	910	120	829	19	792	482	479	786	19	902	572	853	778	790	984	1081	954	475	926	952	997	932	879	515	893	924	914	966	473	466	1077	984	827	1033	432	544	473	986	619	1088	560	910	704	64	320	354	151	480	797	317	175	618	441	891	401	735	475	173	544					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2115	136	62	18	18	97	21	10	16	4	7	200	25	14	8	43	22	29	30	32	24	25	21	29	20	12	11	17	18	24	14	23	21	21	18	27	12	12	29	15	16	16	20	27	13	16	18	21	23	14	15	335	19	37	18	9	37	19	29	23	22	21	46	15	12	65	24					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	70848	700	1276	1432	985	1558	888	798	1074	1181	1163	1297	1183	1392	1330	1169	1327	1067	897	1114	1196	1185	991	890	1026	1513	1061	1031	985	1043	1105	960	1082	1052	1068	1005	1513	1021	890	1001	1151	949	1047	920	1013	998	863	888	917	1076	1281	0	661	1082	1313	870	666	663	1148	1359	1358	1082	1053	1608	1513	1488	432					
9	Число недействительных избирательных бюллетеней	1383	19	113	23	18	18	18	16	10	174	12	19	6	65	24	21	48	13	19	23	15	8	9	9	12	18	22	18	18	13	11	16	17	11	15	19	18	15	9	11	14	18	17	7	20	19	14	18	10	13	14	5	18	14	38	28	18	20	0	23	19	17	14	25	18	15	4					
10	Число действительных избирательных бюллетеней	71580	817	1225	1427	985	1637	891	792	1080	1011	1158	1478	1202	1341	1314	1191	1301	1083	908	1123	1205	1202	1003	910	1034	1507	1050	1030	985	1054	1108	967	1086	1062	1071	1013	1507	1018	910	1005	1153	947	1050	940	1006	995	867	891	930	1077	1282	330	662	1105	1293	851	685	662	1177	1359	1361	1086	1085	1598	1507	1538	452					
