Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																															
Дата голосования: 18.09.2016																															
																															
Наименование Избирательной комиссии:    Весьегонская																															
																															
Сводная таблица итогов голосования по федеральному избирательному округу																															
																															
		Сумма	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	10519	1741	2356	2260	107	346	165	495	237	195	168	603	223	173	177	128	296	100	169	425	155									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	9110	1500	2000	2000	85	300	150	450	200	150	150	500	200	150	150	100	250	75	150	400	150									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	3136	516	793	701	47	57	40	116	68	44	72	160	92	24	57	38	61	53	53	115	29									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	969	26	35	20	29	106	33	90	49	54	24	74	26	53	39	35	125	17	40	55	39									
6	Число погашенных избирательных бюллетеней	5005	958	1172	1279	9	137	77	244	83	52	54	266	82	73	54	27	64	5	57	230	82									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	969	26	35	20	29	106	33	90	49	54	24	74	26	53	39	35	125	17	40	55	39									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	3136	516	793	701	47	57	40	116	68	44	72	160	92	24	57	38	61	53	53	115	29									
9	Число недействительных избирательных бюллетеней	75	9	23	19	0	3	1	2	3	1	1	3	2	0	0	0	3	0	0	4	1									
10	Число действительных избирательных бюллетеней	4030	533	805	702	76	160	72	204	114	97	95	231	116	77	96	73	183	70	93	166	67									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	134	16	22	27	3	5	3	2	2	4	3	10	3	3	4	10	4	2	3	5	3									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	69	12	19	21	0	2	1	0	1	1	0	3	0	0	1	8	0	0	0	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	79	8	21	7	7	1	1	1	10	2	2	2	1	1	3	0	7	1	1	1	2									
14	Число погашенных неиспользованных открепительных удостоверений	65	4	3	6	3	3	2	2	1	3	3	7	3	3	3	2	4	2	3	5	3									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	34	4	7	1	0	4	1	2	3	0	0	3	0	0	6	0	0	0	1	0	2									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																															
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	77	11	12	21	1	4	0	3	7	2	0	2	1	0	0	1	5	4	1	1	1									
		1.88%	2.03%	1.45%	2.91%	1.32%	2.45%	0.00%	1.46%	5.98%	2.04%	0.00%	0.85%	0.85%	0.00%	0.00%	1.37%	2.69%	5.71%	1.08%	0.59%	1.47%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	94	13	15	18	0	6	0	1	1	3	9	5	5	0	0	4	5	0	3	5	1									
		2.29%	2.40%	1.81%	2.50%	0.00%	3.68%	0.00%	0.49%	0.85%	3.06%	9.38%	2.14%	4.24%	0.00%	0.00%	5.48%	2.69%	0.00%	3.23%	2.94%	1.47%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	93	9	29	14	2	4	1	4	0	3	3	6	2	0	3	4	4	2	0	2	1									
		2.27%	1.66%	3.50%	1.94%	2.63%	2.45%	1.37%	1.94%	0.00%	3.06%	3.13%	2.56%	1.69%	0.00%	3.13%	5.48%	2.15%	2.86%	0.00%	1.18%	1.47%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	1848	225	305	251	43	68	47	118	64	51	51	101	54	53	55	29	120	40	47	81	45									
		45.02%	41.51%	36.84%	34.81%	56.58%	41.72%	64.38%	57.28%	54.70%	52.04%	53.13%	43.16%	45.76%	68.83%	57.29%	39.73%	64.52%	57.14%	50.54%	47.65%	66.18%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	20	3	2	3	0	0	1	1	0	0	1	2	2	1	0	0	1	0	0	2	1									
		0.49%	0.55%	0.24%	0.42%	0.00%	0.00%	1.37%	0.49%	0.00%	0.00%	1.04%	0.85%	1.69%	1.30%	0.00%	0.00%	0.54%	0.00%	0.00%	1.18%	1.47%									
24	"6. Политическая партия ""Гражданская Платформа"""	2	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0									
		0.05%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.43%	0.00%	0.00%	1.04%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	756	106	169	153	8	33	11	33	17	14	29	49	25	6	18	1	20	9	12	32	11									
