Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																											
Дата голосования: 07.12.2003 0:00:00																											
																											
Наименование Избирательной комиссии:    Шумерлинская городская																											
																											
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																											
																											
		Сумма	УИК №662	УИК №663	УИК №664	УИК №665	УИК №666	УИК №667	УИК №668	УИК №669	УИК №670	УИК №671	УИК №672	УИК №673	УИК №674	УИК №675	УИК №676	УИК №677	УИК №678	УИК №679	УИК №680	УИК №681					
1	"Число избирателей, внесенных в списки"	29614	708	963	2113	2084	1736	1390	1521	2822	2302	807	1575	1459	1073	1167	1655	886	1798	1816	991	748					
2	"Число бюллетеней, полученных участковыми комиссиями"	26390	618	855	1867	1859	1571	1231	1350	2543	2053	718	1423	1297	973	1039	1476	788	1579	1610	877	663					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	14287	285	442	1063	992	947	669	753	1344	1127	452	811	697	571	618	773	429	692	906	404	312					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	555	11	12	31	43	25	52	20	43	30	20	38	20	12	11	24	20	56	21	29	37					
6	Число погашенных бюллетеней	11548	322	401	773	824	599	510	577	1156	896	246	574	580	390	410	679	339	831	683	444	314					
7	Число бюллетеней в переносных ящиках для голосования	555	11	12	31	43	25	52	20	43	30	20	38	20	12	11	24	20	56	21	29	37					
8	Число бюллетеней в стационарных ящиках для голосования	14283	285	442	1062	992	946	669	753	1344	1127	452	810	697	570	618	773	429	692	906	404	312					
9	Число недействительных бюллетеней	269	10	14	12	30	20	6	6	16	18	8	16	14	19	3	15	10	13	10	6	23					
10	Число действительных бюллетеней	14569	286	440	1081	1005	951	715	767	1371	1139	464	832	703	563	626	782	439	735	917	427	326					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	797	27	30	45	45	40	40	40	85	45	30	40	40	40	40	40	30	40	40	30	30					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	208	2	4	20	25	14	7	5	19	14	8	10	8	11	11	13	0	17	13	4	3					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	62	3	2	14	1	2	0	0	2	7	4	3	5	2	0	4	4	3	3	2	1					
14	Число погашенных открепительных удостоверений	589	25	26	25	20	26	33	35	66	31	22	30	32	29	29	27	30	23	27	26	27					
15	Число открепительных удостоверений выданных ТИК	16	0	0	1	1	0	0	0	0	0	0	0	0	1	0	13	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																											
18	"1. ""ЕДИНЕНИЕ"""	140	3	11	5	13	10	4	7	17	4	4	9	5	8	1	7	3	13	7	8	1					
		0.94%	1.01%	2.42%	0.45%	1.25%	1.02%	0.55%	0.90%	1.22%	0.34%	0.84%	1.06%	0.69%	1.37%	0.15%	0.87%	0.66%	1.73%	0.75%	1.84%	0.28%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	252	3	5	23	17	20	18	9	23	15	12	17	11	13	13	10	1	18	14	7	3					
		1.69%	1.01%	1.10%	2.10%	1.64%	2.05%	2.49%	1.16%	1.65%	1.29%	2.54%	2.00%	1.53%	2.23%	2.06%	1.25%	0.22%	2.40%	1.51%	1.61%	0.85%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	291	8	10	16	15	27	13	15	25	26	9	9	18	17	15	16	11	15	13	7	6					
