Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																		
Дата голосования: 02.12.2007																																																																		
																																																																		
Наименование Избирательной комиссии:    Конаковская																																																																		
																																																																		
Сводная таблица результатов выборов																																																																		
																																																																		
		Сумма	УИК №495	УИК №496	УИК №497	УИК №498	УИК №499	УИК №500	УИК №501	УИК №502	УИК №503	УИК №504	УИК №505	УИК №506	УИК №507	УИК №508	УИК №509	УИК №510	УИК №511	УИК №512	УИК №513	УИК №514	УИК №515	УИК №516	УИК №517	УИК №518	УИК №519	УИК №520	УИК №521	УИК №522	УИК №523	УИК №524	УИК №525	УИК №526	УИК №527	УИК №528	УИК №529	УИК №530	УИК №531	УИК №532	УИК №533	УИК №534	УИК №535	УИК №536	УИК №537	УИК №538	УИК №539	УИК №540	УИК №541	УИК №542	УИК №543	УИК №544	УИК №545	УИК №546	УИК №547	УИК №548	УИК №549	УИК №550	УИК №551	УИК №552	УИК №553					
1	"Число избирателей, внесенных в списки избирателей"	76858	2148	1939	1932	2051	1474	1593	769	1637	1601	1769	1853	1699	1915	1979	1797	1639	1736	1847	2226	1779	1744	290	468	80	2016	2092	1322	516	1990	2040	1399	277	1482	1947	1219	1164	1319	1155	1436	193	1846	1602	1363	755	1616	1165	726	1048	238	1325	185	135	2030	1006	1184	403	313	331	55					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	72610	2000	1900	1800	1900	1400	1500	700	1600	1500	1700	1800	1600	1800	1900	1700	1600	1700	1800	2100	1700	1700	250	400	80	1900	2000	1200	500	1900	2000	1300	250	1400	1900	1100	1100	1200	1100	1300	150	1700	1500	1300	800	1500	1100	650	1000	200	1200	150	100	1900	950	1100	380	300	300	50					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	37420	821	933	794	858	571	639	269	836	850	966	932	931	1030	1050	1053	850	706	929	1125	964	871	126	217	80	926	1012	604	210	927	910	755	149	800	817	610	543	540	596	756	109	1216	914	541	381	644	447	337	442	115	584	78	42	1207	564	604	278	189	125	47					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	2560	76	53	32	46	46	31	19	23	20	25	37	28	21	23	34	14	11	15	6	48	15	0	26	0	14	17	27	12	18	39	54	23	0	21	43	33	57	15	50	16	32	89	230	99	174	125	118	103	23	78	34	57	72	50	57	49	29	50	3					
6	Число погашенных избирательных бюллетеней	32630	1103	914	974	996	783	830	412	741	630	709	831	641	749	827	613	736	983	856	969	688	814	124	157	0	960	971	569	278	955	1051	491	78	600	1062	447	524	603	489	494	25	452	497	529	320	682	528	195	455	62	538	38	1	621	336	439	53	82	125	0					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2560	76	53	32	46	46	31	19	23	20	25	37	28	21	23	34	14	11	15	6	48	15	0	26	0	14	17	27	12	18	39	54	23	0	21	43	33	57	15	50	16	32	89	230	99	174	125	118	103	23	78	34	57	72	50	57	49	29	50	3					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	37401	821	933	794	852	571	638	267	836	849	966	932	931	1030	1049	1052	850	704	929	1125	961	871	126	217	80	926	1012	604	210	927	910	755	149	800	817	610	542	540	596	756	109	1216	914	540	381	644	447	337	442	115	584	78	42	1207	564	604	278	189	125	47					
9	Число недействительных избирательных бюллетеней	354	5	5	5	7	2	6	1	8	6	10	11	12	5	11	9	10	7	6	17	13	12	3	1	0	8	3	7	1	12	8	6	2	18	12	6	4	6	7	7	1	7	8	5	7	8	3	2	4	1	3	1	0	18	4	1	2	0	0	0					
10	Число действительных избирательных бюллетеней	39607	892	981	821	891	615	663	285	851	863	981	958	947	1046	1061	1077	854	708	938	1114	996	874	123	242	80	932	1026	624	221	933	941	803	170	782	826	647	571	591	604	799	124	1241	995	765	473	810	569	453	541	137	659	111	99	1261	610	660	325	218	175	50					
