Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																																		
Дата голосования: 18.09.2016																																																																																		
																																																																																		
Наименование Избирательной комиссии:    Керченская																																																																																		
																																																																																		
Сводная таблица итогов голосования по федеральному избирательному округу																																																																																		
																																																																																		
		Сумма	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184	УИК №185	УИК №186	УИК №187	УИК №188									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	107576	633	1149	1420	1045	2357	1539	970	1816	1393	2324	1281	1936	1629	2172	2271	2323	2266	1937	1726	2121	930	1231	1933	2043	2099	1553	1784	1696	784	2045	2112	1179	1503	1198	1467	1719	2271	1018	1904	1630	1170	1072	1753	1786	1735	2242	967	2392	2000	1868	1728	141	1964	1881	1059	2012	973	1893	759	1389	1688	1240	1840	2014	1418	1450	322	157	123	129	4									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	89825	500	700	1150	850	1900	1250	800	1500	1150	1900	1000	1600	1350	1750	1850	1850	1850	1500	1400	1700	750	1000	1550	1650	1700	1250	1450	1400	800	1600	1700	950	1250	1000	1050	1400	1800	850	1600	1350	950	650	1730	1450	1450	1800	1850	1950	1920	1550	1400	150	1600	1550	850	1650	800	1550	1450	1150	1350	1000	1500	1650	1150	1050	300	200	200	300	25									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	45869	197	523	455	426	867	642	364	663	490	1039	516	897	652	1006	1075	998	973	858	713	766	341	351	657	880	877	699	613	738	337	838	799	450	567	503	635	620	888	372	711	764	517	573	754	860	773	975	956	1022	819	887	626	120	873	803	448	975	395	835	727	683	670	559	855	969	501	620	125	116	28	41	4									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	2352	54	33	17	40	48	46	34	22	47	35	33	50	40	12	26	31	32	31	33	65	21	29	37	67	81	38	29	26	31	14	28	18	45	24	49	27	40	20	46	27	13	11	26	24	61	11	11	17	66	7	47	19	22	37	21	32	17	44	32	46	32	16	46	25	30	30	12	14	87	70	0									
6	Число погашенных избирательных бюллетеней	41604	249	144	678	384	985	562	402	815	613	826	451	653	658	732	749	821	845	611	654	869	388	620	856	703	742	513	808	636	432	748	873	482	638	473	366	753	872	458	843	559	420	66	950	566	616	814	883	911	1035	656	727	11	705	710	381	643	388	671	691	421	648	425	599	656	619	400	163	70	85	189	21									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	2350	54	33	17	40	48	46	34	22	47	35	33	50	40	12	26	31	32	31	33	65	21	29	37	67	81	38	29	26	31	14	28	18	45	24	49	27	40	20	46	27	13	11	26	24	61	11	11	17	66	7	47	19	22	37	21	32	17	44	32	46	32	16	46	25	30	30	12	14	87	68	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	45866	197	523	455	426	867	642	364	663	490	1039	516	897	652	1006	1075	998	973	858	713	766	341	351	657	880	877	699	613	738	337	838	799	450	567	503	635	618	888	371	711	764	517	573	754	860	773	975	956	1022	819	887	626	120	873	803	448	975	395	835	727	683	670	559	855	969	501	620	125	116	28	41	4									
9	Число недействительных избирательных бюллетеней	718	4	15	10	2	21	6	1	7	9	9	6	18	6	5	21	14	15	16	16	13	11	6	9	13	7	8	4	3	6	7	19	11	44	12	6	17	19	4	7	6	5	18	6	0	11	9	21	6	15	6	10	1	19	18	4	15	6	35	10	4	5	6	7	18	8	15	3	0	2	2	0									
10	Число действительных избирательных бюллетеней	47498	247	541	462	464	894	682	397	678	528	1065	543	929	686	1013	1080	1015	990	873	730	818	351	374	685	934	951	729	638	761	362	845	808	457	568	515	678	628	909	387	750	785	525	566	774	884	823	977	946	1033	870	888	663	138	876	822	465	992	406	844	749	725	697	569	894	976	523	635	134	130	113	107	4									
