Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																						
Дата голосования: 18.09.2016																																						
																																						
Наименование Избирательной комиссии:    район Нагатино-Садовники																																						
																																						
Сводная таблица итогов голосования по федеральному избирательному округу																																						
																																						
		Сумма	УИК №1840	УИК №1841	УИК №1842	УИК №1843	УИК №1844	УИК №1845	УИК №1846	УИК №1847	УИК №1848	УИК №1849	УИК №1850	УИК №1851	УИК №1852	УИК №1853	УИК №1854	УИК №1855	УИК №1856	УИК №1857	УИК №1858	УИК №1859	УИК №1860	УИК №1861	УИК №1862	УИК №3728	УИК №3729	УИК №3730	УИК №3731									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	47264	2786	2452	1726	2275	1834	1980	1935	1779	2686	2710	2348	229	2087	1815	1385	1248	2065	1677	2250	2112	1614	2627	2589	73	397	228	357									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	34393	1960	1730	1220	1590	1280	1400	1350	1260	1880	1920	1640	233	1470	1270	980	820	1390	1180	1570	1480	1120	1840	1810	150	900	450	500									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	18941	1164	881	777	932	639	637	726	631	1077	878	745	229	718	1122	419	785	846	718	916	698	555	803	1162	73	305	158	347									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	789	17	15	27	16	34	18	33	25	17	46	56	0	35	29	30	17	32	22	52	51	19	25	25	0	92	56	0									
6	Число погашенных избирательных бюллетеней	14663	779	834	416	642	607	745	591	604	786	996	839	4	717	119	531	18	512	440	602	731	546	1012	623	77	503	236	153									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	789	17	15	27	16	34	18	33	25	17	46	56	0	35	29	30	17	32	22	52	51	19	25	25	0	92	56	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	18823	1164	871	776	911	639	634	726	631	1066	878	730	229	716	1122	419	766	844	709	914	678	553	803	1162	72	305	158	347									
9	Число недействительных избирательных бюллетеней	377	8	25	13	9	7	8	17	13	14	12	15	3	15	9	4	19	25	9	23	11	11	12	49	2	13	3	28									
10	Число действительных избирательных бюллетеней	19235	1173	861	790	918	666	644	742	643	1069	912	771	226	736	1142	445	764	851	722	943	718	561	816	1138	70	384	211	319									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	388	20	30	20	20	18	20	20	20	20	20	10	10	10	20	10	10	20	10	20	20	10	20	10	0	0	0	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	260	14	26	12	12	12	14	18	11	10	12	10	0	9	12	4	8	13	7	16	12	6	12	10	0	0	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	644	46	18	12	31	33	9	39	7	29	57	15	35	8	23	8	82	23	7	29	16	24	19	15	3	36	8	12									
14	Число погашенных неиспользованных открепительных удостоверений	128	6	4	8	8	6	6	2	9	10	8	0	10	1	8	6	2	7	3	4	8	4	8	0	0	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	45	2	1	3	2	0	1	1	1	2	6	0	0	3	1	5	2	3	0	4	2	0	2	4	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																						
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	560	25	34	19	27	23	20	19	38	27	24	22	0	27	25	20	26	28	18	37	18	23	16	17	3	10	7	7									
		2.86%	2.12%	3.84%	2.37%	2.91%	3.42%	3.07%	2.50%	5.79%	2.49%	2.60%	2.80%	0.00%	3.60%	2.17%	4.45%	3.32%	3.20%	2.46%	3.83%	2.47%	4.02%	1.93%	1.43%	4.17%	2.52%	3.27%	2.02%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	318	12	17	10	25	11	12	13	11	12	13	21	1	9	22	8	8	10	9	14	12	9	19	17	3	9	3	8									
		1.62%	1.02%	1.92%	1.25%	2.70%	1.63%	1.84%	1.71%	1.68%	1.11%	1.41%	2.67%	0.44%	1.20%	1.91%	1.78%	1.02%	1.14%	1.23%	1.45%	1.65%	1.57%	2.29%	1.43%	4.17%	2.27%	1.40%	2.31%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	530	13	24	15	26	9	25	26	29	20	31	33	1	17	25	19	21	23	16	35	15	17	30	22	3	15	9	11									
		2.70%	1.10%	2.71%	1.87%	2.80%	1.34%	3.83%	3.43%	4.42%	1.85%	3.35%	4.20%	0.44%	2.26%	2.17%	4.23%	2.68%	2.63%	2.19%	3.62%	2.06%	2.97%	3.62%	1.85%	4.17%	3.78%	4.21%	3.17%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	9110	665	371	449	414	324	268	294	229	496	345	311	192	284	716	173	471	421	313	400	301	184	350	703	30	170	87	149									
		46.45%	56.31%	41.87%	55.92%	44.66%	48.14%	41.10%	38.74%	34.91%	45.80%	37.34%	39.57%	83.84%	37.82%	62.21%	38.53%	60.15%	48.06%	42.82%	41.41%	41.29%	32.17%	42.27%	59.22%	41.67%	42.82%	40.65%	42.94%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	331	13	12	10	7	14	14	15	16	24	16	14	1	16	9	10	8	22	9	20	21	13	14	18	1	3	4	7									
		1.69%	1.10%	1.35%	1.25%	0.76%	2.08%	2.15%	1.98%	2.44%	2.22%	1.73%	1.78%	0.44%	2.13%	0.78%	2.23%	1.02%	2.51%	1.23%	2.07%	2.88%	2.27%	1.69%	1.52%	1.39%	0.76%	1.87%	2.02%									
24	"6. Политическая партия ""Гражданская Платформа"""	55	4	0	0	0	1	2	1	1	4	1	6	3	3	2	2	0	2	2	3	3	2	5	3	0	1	0	4									
		0.28%	0.34%	0.00%	0.00%	0.00%	0.15%	0.31%	0.13%	0.15%	0.37%	0.11%	0.76%	1.31%	0.40%	0.17%	0.45%	0.00%	0.23%	0.27%	0.31%	0.41%	0.35%	0.60%	0.25%	0.00%	0.25%	0.00%	1.15%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	2203	110	111	62	129	68	82	109	69	144	132	100	21	71	81	54	59	85	79	87	90	71	131	97	13	72	38	38									
		11.23%	9.31%	12.53%	7.72%	13.92%	10.10%	12.58%	14.36%	10.52%	13.30%	14.29%	12.72%	9.17%	9.45%	7.04%	12.03%	7.54%	9.70%	10.81%	9.01%	12.35%	12.41%	15.82%	8.17%	18.06%	18.14%	17.76%	10.95%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	482	27	24	26	17	14	19	15	23	22	33	19	0	21	22	15	10	26	14	37	20	10	20	28	2	8	2	8									
