Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																													
Дата голосования: 07.12.2003 0:00:00																																													
																																													
Наименование Избирательной комиссии:    Ленинск-Кузнецкая																																													
																																													
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																													
																																													
		Сумма	УИК  1279	УИК  1280	УИК  1281	УИК  1282	УИК  1283	УИК  1284	УИК  1285	УИК  1286	УИК  1287	УИК  1288	УИК  1289	УИК  1290	УИК  1291	УИК  1292	УИК  1293	УИК  1294	УИК  1295	УИК  1296	УИК  1297	УИК  1298	УИК  1299	УИК  1300	УИК  1301	УИК  1302	УИК  1303	УИК  1304	УИК  1305	УИК  1306	УИК  1307	УИК  1308	УИК  1309	УИК  1310	УИК  1311	УИК  1312	УИК  1313	УИК  1314	УИК  1315	УИК  1316					
1	"Число избирателей, внесенных в списки"	18832	792	198	655	295	254	1002	401	259	350	826	325	149	981	310	295	575	508	150	1087	1109	504	202	634	116	611	1080	933	188	240	524	121	94	560	395	875	102	943	189					
2	"Число бюллетеней, полученных участковыми комиссиями"	19050	800	195	690	300	270	1000	400	260	350	850	330	150	1000	300	300	600	500	150	1100	1200	500	200	680	120	600	1000	950	190	250	500	130	95	590	400	900	115	900	185					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	13951	447	123	526	211	197	730	311	217	253	566	166	106	800	261	234	482	468	150	720	765	372	172	601	102	476	655	684	162	180	433	117	93	367	227	666	98	642	171					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1382	169	56	27	32	20	17	23	17	21	72	64	22	0	6	10	47	32	0	69	73	42	10	8	10	0	88	76	0	9	5	0	0	81	70	86	0	114	6					
6	Число погашенных бюллетеней	3717	184	16	137	57	53	253	66	26	76	212	100	22	200	33	56	71	0	0	311	362	86	18	71	8	124	257	190	28	61	62	13	2	142	103	148	17	144	8					
7	Число бюллетеней в переносных ящиках для голосования	1382	169	56	27	32	20	17	23	17	21	72	64	22	0	6	10	47	32	0	69	73	42	10	8	10	0	88	76	0	9	5	0	0	81	70	86	0	114	6					
8	Число бюллетеней в стационарных ящиках для голосования	13950	447	123	526	211	197	730	311	217	253	566	166	106	800	261	234	482	468	150	719	765	372	172	601	102	476	655	684	162	180	433	117	93	367	227	666	98	642	171					
9	Число недействительных бюллетеней	100	2	0	3	0	2	5	0	0	0	8	1	0	5	0	5	6	6	1	2	2	5	4	2	0	3	2	2	0	4	6	0	3	3	7	5	2	3	1					
10	Число действительных бюллетеней	15232	614	179	550	243	215	742	334	234	274	630	229	128	795	267	239	523	494	149	786	836	409	178	607	112	473	741	758	162	185	432	117	90	445	290	747	96	753	176					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	200	8	2	5	5	5	3	5	5	5	6	5	5	6	5	5	6	5	5	5	5	5	5	5	5	5	6	6	5	5	5	5	5	9	4	6	5	7	6					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	64	8	2	2	5	0	1	0	0	1	2	0	0	2	1	0	0	0	0	4	5	2	0	0	0	3	0	6	0	4	0	0	0	9	4	3	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	42	5	2	3	3	0	1	0	0	0	0	0	0	3	0	0	0	0	0	4	0	0	0	3	2	2	1	2	0	0	0	0	1	3	3	3	0	0	1					
14	Число погашенных открепительных удостоверений	136	0	0	3	0	5	2	5	5	4	4	5	5	4	4	5	6	5	5	1	0	3	5	5	5	2	6	0	5	1	5	5	5	0	0	3	5	7	6					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																													
18	"1. ""ЕДИНЕНИЕ"""	195	22	3	15	1	2	2	0	1	1	11	1	1	11	0	4	3	4	0	8	7	6	4	3	1	13	11	13	0	4	9	0	0	8	3	8	3	9	3					
		1.27%	3.57%	1.67%	2.71%	0.41%	0.92%	0.26%	0.0%	0.42%	0.36%	1.72%	0.43%	0.78%	1.37%	0.0%	1.63%	0.56%	0.8%	0.0%	1.01%	0.83%	1.44%	2.19%	0.49%	0.89%	2.73%	1.48%	1.71%	0.0%	2.11%	2.05%	0.0%	0.0%	1.78%	1.01%	1.06%	3.06%	1.19%	1.69%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	109	4	0	1	3	1	6	0	1	7	7	5	0	2	0	1	3	5	0	9	3	3	0	0	0	2	2	17	0	0	7	0	0	3	2	5	0	10	0					
		0.71%	0.64%	0.0%	0.18%	1.23%	0.46%	0.80%	0.0%	0.42%	2.55%	1.09%	2.17%	0.0%	0.25%	0.0%	0.40%	0.56%	1.0%	0.0%	1.14%	0.35%	0.72%	0.0%	0.0%	0.0%	0.42%	0.26%	2.23%	0.0%	0.0%	1.59%	0.0%	0.0%	0.66%	0.67%	0.66%	0.0%	1.32%	0.0%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	163	11	3	0	2	1	2	2	4	3	6	4	5	11	4	1	9	2	0	14	9	10	2	10	0	2	12	4	1	0	6	0	2	6	8	0	0	7	0					
		1.06%	1.78%	1.67%	0.0%	0.82%	0.46%	0.26%	0.59%	1.70%	1.09%	0.94%	1.73%	3.90%	1.37%	1.49%	0.40%	1.70%	0.4%	0.0%	1.77%	1.07%	2.41%	1.09%	1.64%	0.0%	0.42%	1.61%	0.52%	0.61%	0.0%	1.36%	0.0%	2.15%	1.33%	2.69%	0.0%	0.0%	0.92%	0.0%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	188	9	2	7	1	1	10	4	1	5	16	6	3	8	0	1	7	0	1	8	11	5	1	6	1	5	21	10	0	0	4	0	0	11	6	8	0	9	0					
		1.22%	1.46%	1.11%	1.26%	0.41%	0.46%	1.33%	1.19%	0.42%	1.82%	2.50%	2.60%	2.34%	1.0%	0.0%	0.40%	1.32%	0.0%	0.66%	1.01%	1.31%	1.20%	0.54%	0.98%	0.89%	1.05%	2.82%	1.31%	0.0%	0.0%	0.91%	0.0%	0.0%	2.45%	2.02%	1.06%	0.0%	1.19%	0.0%					
