Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																
Дата голосования: 07.12.2003 0:00:00																																
																																
Наименование Избирательной комиссии:    Сенгилеевская																																
																																
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																
																																
		Сумма	УИК  507	УИК  508	УИК  509	УИК  510	УИК  511	УИК  512	УИК  513	УИК  514	УИК  515	УИК  516	УИК  517	УИК  518	УИК  519	УИК  520	УИК  521	УИК  522	УИК  523	УИК  524	УИК  525	УИК  526	УИК  527	УИК  528	УИК  529	УИК  530	УИК  531					
1	"Число избирателей, внесенных в списки"	21018	503	798	1410	1191	1412	1105	109	1539	1610	2593	1160	537	268	883	514	915	467	82	719	214	573	276	928	496	716					
2	"Число бюллетеней, полученных участковыми комиссиями"	21780	491	789	1391	2119	1390	1082	106	1532	1617	2581	1153	530	269	877	513	910	460	82	716	214	565	271	918	492	712					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	12244	282	457	792	629	733	697	69	818	948	1459	724	355	201	517	308	518	298	62	454	142	357	176	521	268	459					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	719	13	33	43	30	26	19	0	28	15	43	60	43	26	21	64	22	36	9	15	13	51	12	38	35	24					
6	Число погашенных бюллетеней	8817	196	299	556	1460	631	366	37	686	654	1079	369	132	42	339	141	370	126	11	247	59	157	83	359	189	229					
7	Число бюллетеней в переносных ящиках для голосования	719	13	33	43	30	26	19	0	28	15	43	60	43	26	21	64	22	36	9	15	13	51	12	38	35	24					
8	Число бюллетеней в стационарных ящиках для голосования	12241	282	456	792	629	732	697	69	818	948	1459	724	355	201	517	308	518	298	62	454	142	357	176	520	268	459					
9	Число недействительных бюллетеней	466	7	4	26	23	26	20	3	37	22	80	31	5	7	8	19	37	6	4	9	10	15	12	8	16	31					
10	Число действительных бюллетеней	12494	288	485	809	636	732	696	66	809	941	1422	753	393	220	530	353	503	328	67	460	145	393	176	550	287	452					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	290	10	10	20	10	10	10	5	20	20	20	20	10	10	10	10	10	10	5	10	10	10	10	10	10	10					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	92	1	2	11	4	5	5	0	13	12	7	8	0	2	5	1	1	1	0	0	3	3	0	4	1	3					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	89	2	1	7	5	8	5	0	4	2	8	4	2	1	7	2	2	5	0	1	3	2	0	10	2	6					
14	Число погашенных открепительных удостоверений	198	9	8	9	6	5	5	5	7	8	13	12	10	8	5	9	9	9	5	10	7	7	10	6	9	7					
15	Число открепительных удостоверений выданных ТИК	6	0	1	0	0	2	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																
18	"1. ""ЕДИНЕНИЕ"""	159	4	3	6	4	6	8	0	7	19	21	8	7	1	5	3	13	1	1	7	4	7	3	10	5	6					
		1.22%	1.35%	0.61%	0.71%	0.60%	0.79%	1.11%	0.0%	0.82%	1.97%	1.39%	1.02%	1.75%	0.44%	0.92%	0.80%	2.40%	0.29%	1.40%	1.49%	2.58%	1.71%	1.59%	1.79%	1.65%	1.24%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	85	9	1	3	5	4	7	0	8	6	6	0	0	2	1	3	4	0	0	1	1	3	3	9	6	3					
		0.65%	3.05%	0.20%	0.35%	0.75%	0.52%	0.97%	0.0%	0.94%	0.62%	0.39%	0.0%	0.0%	0.88%	0.18%	0.80%	0.74%	0.0%	0.0%	0.21%	0.64%	0.73%	1.59%	1.61%	1.98%	0.62%					
