Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																			
Дата голосования: 04.12.2011																																																																			
																																																																			
"Наименование Избирательной комиссии:    Махачкала, Советская"																																																																			
																																																																			
Сводная таблица результатов выборов																																																																			
																																																																			
		Сумма	УИК №1089	УИК №1090	УИК №1091	УИК №1092	УИК №1093	УИК №1094	УИК №1095	УИК №1096	УИК №1097	УИК №1098	УИК №1099	УИК №1100	УИК №1101	УИК №1102	УИК №1103	УИК №1104	УИК №1105	УИК №1106	УИК №1107	УИК №1108	УИК №1109	УИК №1110	УИК №1111	УИК №1112	УИК №1113	УИК №1114	УИК №1115	УИК №1116	УИК №1117	УИК №1118	УИК №1119	УИК №1120	УИК №1121	УИК №1122	УИК №1123	УИК №1124	УИК №1125	УИК №1126	УИК №1127	УИК №1128	УИК №1129	УИК №1130	УИК №1131	УИК №1132	УИК №1133	УИК №1134	УИК №1135	УИК №1136	УИК №1137	УИК №1138	УИК №1139	УИК №1140	УИК №1141	УИК №1142	УИК №1143	УИК №1144	УИК №1145	УИК №1146	УИК №1147	УИК №1148					
1	"Число избирателей, внесенных в список избирателей"	95735	2074	971	1325	1702	2174	1639	1728	1062	2225	1505	1850	1658	531	1816	2366	1772	1806	1774	1619	1903	1837	2258	1348	1828	1022	1312	1537	2010	1228	1376	1010	2591	1510	1751	3082	1124	1109	896	1129	1573	1197	1086	1156	1097	1184	1318	1773	1032	1275	2042	2210	2489	1688	2032	1674	1150	2328	1154	1195	1624					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	89550	1930	1058	1220	1600	2010	1540	1600	1049	2070	1592	1740	1550	490	1690	2230	1650	1680	1650	1510	1770	1710	2100	1250	1700	940	1220	1430	1890	1130	1280	930	2410	1400	1630	2860	1040	1030	830	1050	1460	1120	1010	1080	1026	1100	1220	1640	960	1180	1900	2050	2330	1560	1880	1550	1070	2160	1070	1120	1605					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	87777	1920	971	1215	1590	1995	1530	1595	960	1270	1502	1730	1540	490	1679	2210	1643	1665	1639	1498	1757	1698	2088	1241	1693	932	1212	1420	1878	1125	1267	921	2398	1388	1617	2845	1031	1019	824	1038	1447	1106	999	1067	1018	1088	1207	1631	949	1166	1885	2039	2314	1547	1865	1538	1057	2143	1061	1106	1510					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1362	8	0	5	6	15	10	5	0	800	3	6	10	0	11	17	7	13	9	10	13	11	11	9	7	8	8	9	8	5	11	9	11	12	12	14	9	11	6	11	13	11	9	13	5	12	13	9	9	14	14	10	13	13	15	12	10	16	9	12	0					
6	Число погашенных избирательных бюллетеней	411	2	87	0	4	0	0	0	89	0	87	4	0	0	0	3	0	2	2	2	0	1	1	0	0	0	0	1	4	0	2	0	1	0	1	1	0	0	0	1	0	3	2	0	3	0	0	0	2	0	1	1	3	0	0	0	3	1	0	2	95					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1362	8	0	5	6	15	10	5	0	800	3	6	10	0	11	17	7	13	9	10	13	11	11	9	7	8	8	9	8	5	11	9	11	12	12	14	9	11	6	11	13	11	9	13	5	12	13	9	9	14	14	10	13	13	15	12	10	16	9	12	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	87777	1920	971	1215	1590	1995	1530	1595	960	1270	1502	1730	1540	490	1679	2210	1643	1665	1639	1498	1757	1698	2088	1241	1693	932	1212	1420	1878	1125	1267	921	2398	1388	1617	2845	1031	1019	824	1038	1447	1106	999	1067	1018	1088	1207	1631	949	1166	1885	2039	2314	1547	1865	1538	1057	2143	1061	1106	1510					
9	Число недействительных избирательных бюллетеней	91	0	3	0	0	0	0	0	17	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52					
10	Число действительных избирательных бюллетеней	89048	1928	968	1220	1596	2010	1540	1600	943	2070	1486	1736	1550	490	1690	2227	1650	1678	1648	1508	1770	1709	2099	1250	1700	940	1220	1429	1886	1130	1278	930	2409	1400	1629	2859	1040	1030	830	1049	1460	1117	1008	1080	1023	1100	1220	1640	958	1180	1899	2049	2327	1560	1880	1550	1067	2159	1070	1118	1458					
