Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																											
Дата голосования: 18.09.2016																											
																											
Наименование Избирательной комиссии:    Мурашинская																											
																											
Сводная таблица итогов голосования по федеральному избирательному округу																											
																											
		Сумма	УИК №680	УИК №681	УИК №682	УИК №683	УИК №684	УИК №685	УИК №686	УИК №687	УИК №688	УИК №689	УИК №690	УИК №691	УИК №692	УИК №693	УИК №694	УИК №695									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	10579	998	1046	1198	1138	1477	752	555	1043	1083	281	219	51	294	161	52	231									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	10920	1010	1045	1215	1145	1495	775	570	1090	1130	285	240	70	330	200	60	260									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	4061	441	448	395	411	532	298	194	322	387	117	86	30	127	99	33	141									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	479	20	41	24	24	33	59	17	51	106	10	40	2	29	12	0	11									
6	Число погашенных избирательных бюллетеней	6380	549	556	796	710	930	418	359	717	637	158	114	38	174	89	27	108									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	479	20	41	24	24	33	59	17	51	106	10	40	2	29	12	0	11									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	4060	441	448	395	410	532	298	194	322	387	117	86	30	127	99	33	141									
9	Число недействительных избирательных бюллетеней	133	5	26	16	16	16	3	2	15	17	4	3	2	2	1	3	2									
10	Число действительных избирательных бюллетеней	4406	456	463	403	418	549	354	209	358	476	123	123	30	154	110	30	150									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	282	10	20	10	20	10	15	15	25	25	15	12	15	25	30	20	15									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	205	5	5	10	11	10	15	2	25	25	1	12	8	25	30	6	15									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	67	5	8	3	10	8	4	1	3	2	5	1	3	4	3	4	3									
14	Число погашенных неиспользованных открепительных удостоверений	77	5	15	0	9	0	0	13	0	0	14	0	7	0	0	14	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	18	1	6	3	1	1	1	0	1	0	0	0	0	1	2	0	1									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																											
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	47	5	6	8	2	7	3	5	1	7	2	0	0	0	0	0	1									
		1.04%	1.08%	1.23%	1.91%	0.46%	1.24%	0.84%	2.37%	0.27%	1.42%	1.57%	0.00%	0.00%	0.00%	0.00%	0.00%	0.66%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	136	9	17	6	15	17	12	14	9	19	3	4	0	4	2	1	4									
		2.99%	1.95%	3.48%	1.43%	3.46%	3.01%	3.36%	6.64%	2.41%	3.85%	2.36%	3.17%	0.00%	2.56%	1.80%	3.03%	2.63%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	128	16	12	15	10	15	5	0	19	20	3	5	0	3	1	1	3									
		2.82%	3.47%	2.45%	3.58%	2.30%	2.65%	1.40%	0.00%	5.09%	4.06%	2.36%	3.97%	0.00%	1.92%	0.90%	3.03%	1.97%									
