Выборы Президента Российской Федерации																																																				
																																																				
Наименование Избирательной комиссии:    Арзамасская городская																																																				
																																																				
Итоги голосования 																																																				
																																																				
		Сумма	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152					
1	"Число избирателей, внесенных в список"	84167	2095	1812	2563	1808	2723	1908	2600	844	2664	1903	1766	1981	2173	1578	1630	2155	2070	2311	1884	1950	2539	1926	2113	2123	2052	1548	1556	1141	739	2489	2375	946	1678	1212	724	2319	841	1358	2334	1611	2830	903	2700	2770	922					
2	Число полученных избирательных бюллетеней	74000	1800	1600	2300	1600	2400	1700	2300	700	2400	1800	1600	1700	1900	1400	1400	2000	1800	2000	1700	1700	2200	1700	1900	1800	1800	1400	1300	1000	600	2200	2000	800	1500	1000	600	2000	800	1200	2000	1400	2500	800	2400	2500	800					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	44148	849	822	1332	927	1416	965	1367	371	1391	926	954	1064	1161	772	641	1090	1249	1290	1120	1134	1465	1096	1077	1216	1160	740	819	679	355	1357	1308	662	878	509	304	1265	435	579	1072	884	1544	429	1408	1522	544					
5	"Число избирательных бюллетеней, выданных вне помещения"	1928	73	150	28	48	25	91	70	54	32	11	28	17	28	17	51	30	63	42	71	30	26	56	31	40	30	19	9	79	19	50	38	17	38	22	17	74	50	64	98	53	72	13	19	20	15					
6	Число погашенных избирательных бюллетеней	27924	878	628	940	625	959	644	863	275	977	863	618	619	711	611	708	880	488	668	509	536	709	548	792	544	610	641	472	242	226	793	654	121	584	469	279	661	315	557	830	463	884	358	973	958	241					
7	Число избирательных бюллетеней в переносных ящиках	1928	73	150	28	48	25	91	70	54	32	11	28	17	28	17	51	30	63	42	71	30	26	56	31	40	30	19	9	79	19	50	38	17	38	22	17	74	50	64	98	53	72	13	19	20	15					
8	Число бюллетеней в стационарных ящиках для голосования	44124	848	822	1332	918	1416	965	1367	371	1391	926	954	1063	1161	770	641	1090	1246	1289	1120	1134	1464	1096	1075	1216	1159	740	819	679	355	1355	1308	662	878	509	304	1265	435	579	1072	884	1543	429	1408	1522	544					
9	Число недействительных избирательных бюллетеней	284	13	9	3	5	16	6	11	1	7	11	8	3	14	7	6	7	5	7	7	3	10	5	10	9	7	3	4	1	1	12	12	2	4	9	2	8	4	8	3	1	5	4	3	8	0					
10	Число действительных избирательных бюллетеней	45768	908	963	1357	961	1425	1050	1426	424	1416	926	974	1077	1175	780	686	1113	1304	1324	1184	1161	1480	1147	1096	1247	1182	756	824	757	373	1393	1334	677	912	522	319	1331	481	635	1167	936	1610	438	1424	1534	559					
