Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																									
Дата голосования: 04.12.2011																									
																									
Наименование Избирательной комиссии:    Куженерская районная																									
																									
Сводная таблица результатов выборов																									
																									
		Сумма	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323					
1	"Число избирателей, внесенных в список избирателей"	11317	1175	1145	1131	984	641	675	324	440	650	435	456	169	593	648	396	569	384	502					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	11930	1200	1130	1200	1030	670	700	350	470	730	470	500	200	630	700	420	600	400	530					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	6951	665	651	766	659	290	418	173	238	439	239	294	115	307	436	254	411	255	341					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1349	109	98	52	73	170	71	41	82	110	56	56	23	74	101	73	64	35	61					
6	Число погашенных избирательных бюллетеней	3630	426	381	382	298	210	211	136	150	181	175	150	62	249	163	93	125	110	128					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1348	109	98	52	73	169	71	41	82	110	56	56	23	74	101	73	64	35	61					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	6951	665	651	766	659	290	418	173	238	439	239	294	115	307	436	254	411	255	341					
9	Число недействительных избирательных бюллетеней	109	12	11	13	6	3	11	2	1	26	3	7	0	4	3	0	3	2	2					
10	Число действительных избирательных бюллетеней	8190	762	738	805	726	456	478	212	319	523	292	343	138	377	534	327	472	288	400					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1186	85	50	110	100	81	80	45	75	80	45	60	40	55	70	55	50	55	50					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	1178	85	50	110	100	81	80	45	75	75	45	60	40	55	70	52	50	55	50					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	277	25	44	40	25	10	12	6	10	7	11	13	8	9	14	6	12	12	13					
14	Число погашенных неиспользованных открепительных удостоверений	8	0	0	0	0	0	0	0	0	5	0	0	0	0	0	3	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	30	5	2	8	6	2	1	0	1	1	1	0	0	0	2	0	1	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																									
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	567	83	66	90	49	32	7	12	18	17	25	28	9	26	26	20	24	10	25					
		6.83%	10.72%	8.81%	11.00%	6.69%	6.97%	1.43%	5.61%	5.63%	3.10%	8.47%	8.00%	6.52%	6.82%	4.84%	6.12%	5.05%	3.45%	6.22%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	831	93	71	117	92	51	12	19	39	54	31	36	12	27	73	29	36	11	28					
		10.01%	12.02%	9.48%	14.30%	12.57%	11.11%	2.45%	8.88%	12.19%	9.84%	10.51%	10.29%	8.70%	7.09%	13.59%	8.87%	7.58%	3.79%	6.97%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	56	9	5	6	7	2	1	0	4	2	3	5	0	6	1	0	0	1	4					
		0.67%	1.16%	0.67%	0.73%	0.96%	0.44%	0.20%	0.00%	1.25%	0.36%	1.02%	1.43%	0.00%	1.57%	0.19%	0.00%	0.00%	0.34%	0.99%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	1943	155	212	191	218	77	129	37	75	69	73	97	40	84	135	88	147	34	82					
		23.41%	20.03%	28.30%	23.35%	29.78%	16.78%	26.38%	17.29%	23.44%	12.57%	24.75%	27.71%	28.99%	22.05%	25.14%	26.91%	30.95%	11.72%	20.40%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	67	9	15	7	5	3	2	0	2	6	1	4	1	0	4	2	2	1	3					
		0.81%	1.16%	2.00%	0.86%	0.68%	0.65%	0.41%	0.00%	0.63%	1.09%	0.34%	1.14%	0.72%	0.00%	0.74%	0.61%	0.42%	0.34%	0.75%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	4702	409	366	393	353	291	327	143	179	373	159	172	76	234	293	188	261	230	255					
		56.66%	52.84%	48.87%	48.04%	48.22%	63.40%	66.87%	66.82%	55.94%	67.94%	53.90%	49.14%	55.07%	61.42%	54.56%	57.49%	54.95%	79.31%	63.43%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	24	4	3	1	2	0	0	1	2	2	0	1	0	0	2	0	2	1	3					
		0.29%	0.52%	0.40%	0.12%	0.27%	0.00%	0.00%	0.47%	0.63%	0.36%	0.00%	0.29%	0.00%	0.00%	0.37%	0.00%	0.42%	0.34%	0.75%					
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
