Выборы Президента Российской Федерации																																									
																																									
Наименование Избирательной комиссии:    Зубцовская																																									
																																									
Итоги голосования 																																									
																																									
		Сумма	УИК  283	УИК  284	УИК  285	УИК  286	УИК  287	УИК  288	УИК  289	УИК  290	УИК  291	УИК  292	УИК  293	УИК  294	УИК  295	УИК  296	УИК  297	УИК  298	УИК  299	УИК  300	УИК  301	УИК  302	УИК  303	УИК  304	УИК  305	УИК  306	УИК  307	УИК  308	УИК  309	УИК  310	УИК  311	УИК  312	УИК  313	УИК  314	УИК  315	УИК  316					
1	"Число избирателей, внесенных в список"	14850	393	1074	2022	1398	589	935	119	199	376	276	88	413	465	179	158	977	335	433	150	129	196	139	285	1174	443	136	254	175	168	134	120	192	359	367					
2	Число полученных избирательных бюллетеней	14974	389	1086	2044	1416	595	947	120	201	377	280	85	416	459	181	156	980	336	446	157	132	197	137	288	1195	442	135	264	179	166	132	118	193	356	369					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	7101	226	500	1028	762	296	425	55	62	156	156	51	187	131	91	72	438	137	234	78	43	64	77	171	655	147	54	104	70	88	76	59	91	161	156					
5	"Число избирательных бюллетеней, выданных вне помещения"	2463	76	48	58	38	30	59	36	110	81	48	13	122	189	49	40	149	118	138	59	48	90	32	62	97	120	25	66	62	44	39	41	78	94	104					
6	Число погашенных избирательных бюллетеней	5410	87	538	958	616	269	463	29	29	140	76	21	107	139	41	44	393	81	74	20	41	43	28	55	443	175	56	94	47	34	17	18	24	101	109					
7	Число избирательных бюллетеней в переносных ящиках	2463	76	48	58	38	30	59	36	110	81	48	13	122	189	49	40	149	118	138	59	48	90	32	62	97	120	25	66	62	44	39	41	78	94	104					
8	Число бюллетеней в стационарных ящиках для голосования	7099	226	500	1026	762	296	425	55	62	156	156	51	187	131	91	72	438	137	234	78	43	64	77	171	655	147	54	104	70	88	76	59	91	161	156					
9	Число недействительных избирательных бюллетеней	54	2	6	6	3	5	0	0	0	0	1	0	0	1	0	2	9	1	0	0	0	0	0	0	12	0	0	1	0	1	0	0	2	1	1					
10	Число действительных избирательных бюллетеней	9508	300	542	1078	797	321	484	91	172	237	203	64	309	319	140	110	578	254	372	137	91	154	109	233	740	267	79	169	132	131	115	100	167	254	259					
11	Число полученных открепительных  удостоверений	264	5	20	20	20	5	15	5	5	5	5	5	10	5	10	5	15	5	5	5	8	5	5	8	10	10	5	8	5	5	5	5	5	5	5					
12	Число выданных открепительных удостоверений	105	3	4	12	8	0	11	0	0	0	4	1	4	2	6	2	3	1	5	5	5	1	1	6	5	2	0	6	4	1	1	0	1	1	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	80	9	2	8	6	0	2	0	1	4	0	2	0	1	4	3	6	1	1	0	4	0	3	4	4	3	1	0	1	4	2	3	0	1	0					
14	Число неиспользованных открепительных удостоверений	159	2	16	8	12	5	4	5	5	5	1	4	6	3	4	3	12	4	0	0	3	4	4	2	5	8	5	2	1	4	4	5	4	4	5					
15	"Число открепительных удостоверений, выданных в ТИК"	14	0	2	4	1	0	0	1	0	0	0	1	0	0	0	0	3	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																									
18	. Глазьев Сергей Юрьевич	324	27	14	73	35	7	18	4	6	11	7	0	7	3	7	0	18	4	9	7	2	1	1	3	23	4	0	0	1	3	2	4	8	6	9					
		3.39%	8.94%	2.55%	6.73%	4.38%	2.15%	3.72%	4.40%	3.49%	4.64%	3.43%	0.00%	2.27%	0.94%	5.00%	0.00%	3.07%	1.57%	2.42%	5.11%	2.20%	0.65%	0.92%	1.29%	3.06%	1.50%	0.00%	0.00%	0.76%	2.27%	1.74%	4.00%	4.73%	2.35%	3.46%					
19	. Малышкин Олег Александрович	222	4	24	34	22	8	6	3	2	8	4	0	9	7	2	4	9	7	8	1	1	3	1	6	9	3	4	1	0	7	5	1	8	6	5					
		2.32%	1.32%	4.38%	3.14%	2.75%	2.45%	1.24%	3.30%	1.16%	3.38%	1.96%	0.00%	2.91%	2.19%	1.43%	3.57%	1.53%	2.75%	2.15%	0.73%	1.10%	1.95%	0.92%	2.58%	1.20%	1.12%	5.06%	0.59%	0.00%	5.30%	4.35%	1.00%	4.73%	2.35%	1.92%					
20	. Миронов Сергей Михайлович	73	1	4	5	8	2	5	0	1	3	6	0	0	1	1	0	5	1	3	0	0	7	0	4	8	3	1	0	0	0	0	0	3	0	1					
		0.76%	0.33%	0.73%	0.46%	1.00%	0.61%	1.03%	0.00%	0.58%	1.27%	2.94%	0.00%	0.00%	0.31%	0.71%	0.00%	0.85%	0.39%	0.81%	0.00%	0.00%	4.55%	0.00%	1.72%	1.06%	1.12%	1.27%	0.00%	0.00%	0.00%	0.00%	0.00%	1.78%	0.00%	0.38%					
21	. Путин Владимир Владимирович	6733	232	400	732	500	218	348	54	118	143	136	55	254	244	105	73	439	207	293	117	50	121	92	134	543	207	59	115	65	97	69	71	87	183	172					
		70.41%	76.82%	72.99%	67.53%	62.50%	66.87%	71.90%	59.34%	68.60%	60.34%	66.67%	85.94%	82.20%	76.25%	75.00%	65.18%	74.79%	81.18%	78.76%	85.40%	54.95%	78.57%	84.40%	57.51%	72.21%	77.53%	74.68%	67.65%	49.24%	73.48%	60.00%	71.00%	51.48%	71.76%	66.15%					
22	. Хакамада Ирина Муцуовна	161	3	5	15	18	12	11	4	5	6	2	0	5	2	3	5	6	6	5	0	0	2	3	10	10	6	0	1	2	1	3	1	1	2	6					
		1.68%	0.99%	0.91%	1.38%	2.25%	3.68%	2.27%	4.40%	2.91%	2.53%	0.98%	0.00%	1.62%	0.62%	2.14%	4.46%	1.02%	2.35%	1.34%	0.00%	0.00%	1.30%	2.75%	4.29%	1.33%	2.25%	0.00%	0.59%	1.52%	0.76%	2.61%	1.00%	0.59%	0.78%	2.31%					
23	. Харитонов Николай Михайлович	1709	20	79	178	159	68	69	26	38	61	42	9	30	49	20	28	92	23	41	11	38	17	12	69	124	42	14	43	59	17	34	21	59	53	64					
		17.87%	6.62%	14.42%	16.42%	19.88%	20.86%	14.26%	28.57%	22.09%	25.74%	20.59%	14.06%	9.71%	15.31%	14.29%	25.00%	15.67%	9.02%	11.02%	8.03%	41.76%	11.04%	11.01%	29.61%	16.49%	15.73%	17.72%	25.29%	44.70%	12.88%	29.57%	21.00%	34.91%	20.78%	24.62%					
																																									
24	Против всех	286	13	16	41	55	6	27	0	2	5	6	0	4	13	2	0	9	6	13	1	0	3	0	7	23	2	1	9	5	6	2	2	1	4	2					
		2.99%	4.30%	2.92%	3.78%	6.88%	1.84%	5.58%	0.00%	1.16%	2.11%	2.94%	0.00%	1.29%	4.06%	1.43%	0.00%	1.53%	2.35%	3.49%	0.73%	0.00%	1.95%	0.00%	3.00%	3.06%	0.75%	1.27%	5.29%	3.79%	4.55%	1.74%	2.00%	0.59%	1.57%	0.77%					
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
