Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																		
Дата голосования: 18.09.2016																																																		
																																																		
Наименование Избирательной комиссии:    Камско-Устьинская																																																		
																																																		
Сводная таблица итогов голосования по федеральному избирательному округу																																																		
																																																		
		Сумма	УИК №1624	УИК №1625	УИК №1626	УИК №1627	УИК №1628	УИК №1629	УИК №1630	УИК №1631	УИК №1632	УИК №1633	УИК №1634	УИК №1635	УИК №1636	УИК №1637	УИК №1638	УИК №1639	УИК №1640	УИК №1641	УИК №1642	УИК №1643	УИК №1644	УИК №1645	УИК №1646	УИК №1647	УИК №1648	УИК №1649	УИК №1650	УИК №1651	УИК №1652	УИК №1653	УИК №1654	УИК №1655	УИК №1656	УИК №1657	УИК №1658	УИК №1659	УИК №1660	УИК №1661	УИК №1662									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	13213	138	332	189	135	279	150	130	136	120	114	649	679	163	347	157	94	154	125	123	142	153	72	59	1024	839	801	1108	638	632	785	686	390	55	517	189	347	127	312	123									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	13481	144	345	195	140	290	155	135	145	125	118	660	685	166	360	155	96	160	129	126	146	154	77	62	1000	860	820	1050	660	660	820	730	400	56	540	195	350	130	320	122									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	11956	129	329	143	129	279	150	129	131	112	112	434	520	148	307	90	94	154	125	121	133	149	54	54	977	781	715	1029	611	577	723	663	354	55	467	182	290	117	279	110									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	869	9	0	42	6	0	0	0	0	6	0	181	138	10	28	61	0	0	0	0	6	2	16	4	20	24	46	21	16	32	35	4	12	0	42	7	54	10	26	11									
6	Число погашенных избирательных бюллетеней	656	6	16	10	5	11	5	6	14	7	6	45	27	8	25	4	2	6	4	5	7	3	7	4	3	55	59	0	33	51	62	63	34	1	31	6	6	3	15	1									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	869	9	0	42	6	0	0	0	0	6	0	181	138	10	28	61	0	0	0	0	6	2	16	4	20	24	46	21	16	32	35	4	12	0	42	7	54	10	26	11									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	11956	129	329	143	129	279	150	129	131	112	112	434	520	148	307	90	94	154	125	121	133	149	54	54	977	781	715	1029	611	577	723	663	354	55	467	182	290	117	279	110									
9	Число недействительных избирательных бюллетеней	24	0	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	3	9	0	0	0	1	0	0	0	0	0	0	0									
10	Число действительных избирательных бюллетеней	12801	138	325	185	135	279	150	129	130	118	112	615	658	158	335	151	94	154	125	121	139	151	70	58	995	803	759	1047	618	609	758	667	365	55	509	189	344	127	305	121									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	286	3	9	3	1	5	1	3	6	1	1	10	10	2	4	1	1	2	5	1	3	1	5	1	30	30	30	30	15	15	15	15	8	1	8	2	3	1	3	1									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	154	3	8	3	1	4	0	1	6	1	0	4	8	0	3	0	0	1	1	1	2	0	4	0	20	7	9	28	12	4	8	5	0	0	6	1	0	0	3	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	82	1	3	1	0	1	1	1	1	1	1	6	12	0	0	4	0	0	0	1	1	1	2	0	1	6	10	6	1	2	2	3	0	1	1	1	2	3	1	4									
14	Число погашенных неиспользованных открепительных удостоверений	132	0	1	0	0	1	1	2	0	0	1	6	2	2	1	1	1	1	4	0	1	1	1	1	10	23	21	2	3	11	7	10	8	1	2	1	3	1	0	1									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	13	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	2	0	0	1	3	0	1	0	2	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																		
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	30	0	0	0	0	0	0	0	0	0	0	4	0	0	3	0	0	0	0	0	0	2	2	0	2	3	2	2	3	0	3	0	3	0	0	0	1	0	0	0									
