Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																		
Дата голосования: 07.12.2003 0:00:00																		
																		
Наименование Избирательной комиссии:    Балаганская																		
																		
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																		
																		
		Сумма	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115	УИК №116	УИК №117					
1	"Число избирателей, внесенных в списки"	6783	2993	542	177	468	415	125	167	598	87	423	788					
2	"Число бюллетеней, полученных участковыми комиссиями"	6732	2945	539	172	466	415	127	168	597	97	423	783					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	3017	990	214	107	228	251	103	104	325	71	206	418					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	116	50	21	5	16	10	0	0	8	6	0	0					
6	Число погашенных бюллетеней	3599	1905	304	60	222	154	24	64	264	20	217	365					
7	Число бюллетеней в переносных ящиках для голосования	116	50	21	5	16	10	0	0	8	6	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	3017	990	214	107	228	251	103	104	325	71	206	418					
9	Число недействительных бюллетеней	34	9	5	4	0	2	2	2	3	0	2	5					
10	Число действительных бюллетеней	3099	1031	230	108	244	259	101	102	330	77	204	413					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	92	20	8	5	8	8	5	5	10	5	8	10					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	4	4	0	0	0	0	0	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	4	2	0	0	2	0	0	0	0	0	0	0					
14	Число погашенных открепительных удостоверений	88	16	8	5	8	8	5	5	10	5	8	10					
15	Число открепительных удостоверений выданных ТИК	1	1	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0					
																		
18	"1. ""ЕДИНЕНИЕ"""	54	11	2	2	3	8	0	1	4	3	11	9					
		1.72%	1.05%	0.85%	1.78%	1.22%	3.06%	0.0%	0.96%	1.20%	3.89%	5.33%	2.15%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	19	13	1	0	1	0	0	0	2	0	1	1					
		0.60%	1.25%	0.42%	0.0%	0.40%	0.0%	0.0%	0.0%	0.60%	0.0%	0.48%	0.23%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	73	28	6	1	11	6	1	0	4	1	4	11					
		2.33%	2.69%	2.55%	0.89%	4.50%	2.29%	0.97%	0.0%	1.20%	1.29%	1.94%	2.63%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	65	41	4	1	0	4	3	0	5	0	1	6					
		2.07%	3.94%	1.70%	0.89%	0.0%	1.53%	2.91%	0.0%	1.50%	0.0%	0.48%	1.43%					
22	"5. ""За Русь Святую"""	7	5	0	0	1	0	0	0	0	0	1	0					
		0.22%	0.48%	0.0%	0.0%	0.40%	0.0%	0.0%	0.0%	0.0%	0.0%	0.48%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	16	3	1	2	4	1	1	0	1	0	1	2					
		0.51%	0.28%	0.42%	1.78%	1.63%	0.38%	0.97%	0.0%	0.30%	0.0%	0.48%	0.47%					
24	"7. ""Новый курс - Автомобильная Россия"""	22	7	0	2	0	3	0	0	3	2	0	5					
		0.70%	0.67%	0.0%	1.78%	0.0%	1.14%	0.0%	0.0%	0.90%	2.59%	0.0%	1.19%					
25	"8. ""Народно-республиканская партия России"""	6	1	0	0	2	2	0	0	1	0	0	0					
		0.19%	0.09%	0.0%	0.0%	0.81%	0.76%	0.0%	0.0%	0.30%	0.0%	0.0%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	4	2	0	0	0	0	0	1	1	0	0	0					
		0.12%	0.19%	0.0%	0.0%	0.0%	0.0%	0.0%	0.96%	0.30%	0.0%	0.0%	0.0%					
27	"10. ""Аграрная партия России"""	311	33	44	34	25	58	0	19	50	9	32	7					
		9.92%	3.17%	18.72%	30.35%	10.24%	22.22%	0.0%	18.26%	15.01%	11.68%	15.53%	1.67%					
28	"11. ""Истинные патриоты России"""	2	0	0	0	2	0	0	0	0	0	0	0					
