Выборы Президента Российской Федерации																								
																								
Наименование Избирательной комиссии:    Кетченеровская																								
																								
Итоги голосования 																								
																								
		Сумма	УИК  97	УИК  98	УИК  99	УИК  100	УИК  101	УИК  102	УИК  103	УИК  104	УИК  105	УИК  106	УИК  107	УИК  108	УИК  109	УИК  110	УИК  111	УИК  112	УИК  113					
1	"Число избирателей, внесенных в список"	7175	583	413	637	721	390	211	525	157	380	113	563	315	271	587	98	729	482					
2	Число полученных избирательных бюллетеней	7231	592	428	623	714	390	211	548	148	382	111	552	318	263	596	98	753	504					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	4065	277	250	299	333	197	155	241	107	218	77	412	171	171	375	81	451	250					
5	"Число избирательных бюллетеней, выданных вне помещения"	1058	20	16	15	41	31	28	131	22	110	29	101	53	38	90	4	161	168					
6	Число погашенных избирательных бюллетеней	2108	295	162	309	340	162	28	176	19	54	5	39	94	54	131	13	141	86					
7	Число избирательных бюллетеней в переносных ящиках	1058	20	16	15	41	31	28	131	22	110	29	101	53	38	90	4	161	168					
8	Число бюллетеней в стационарных ящиках для голосования	4065	277	250	299	333	197	155	241	107	218	77	412	171	171	375	81	451	250					
9	Число недействительных избирательных бюллетеней	29	1	3	3	2	2	0	1	2	0	0	0	1	4	3	0	2	5					
10	Число действительных избирательных бюллетеней	5094	296	263	311	372	226	183	371	127	328	106	513	223	205	462	85	610	413					
11	Число полученных открепительных  удостоверений	250	10	10	20	20	15	10	15	10	15	5	20	10	20	10	10	30	20					
12	Число выданных открепительных удостоверений	198	10	10	17	14	2	10	15	10	15	0	13	7	20	7	5	23	20					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	39	1	1	4	5	0	4	2	1	0	4	2	2	0	2	3	5	3					
14	Число неиспользованных открепительных удостоверений	52	0	0	3	6	13	0	0	0	0	5	7	3	0	3	5	7	0					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																								
18	. Глазьев Сергей Юрьевич	71	7	8	8	4	1	0	1	3	3	1	2	2	1	8	1	12	9					
		1.39%	2.36%	3.01%	2.55%	1.07%	0.44%	0.00%	0.27%	2.33%	0.91%	0.94%	0.39%	0.89%	0.48%	1.72%	1.18%	1.96%	2.15%					
19	. Малышкин Олег Александрович	36	3	2	0	3	0	0	3	0	0	1	1	0	1	0	0	15	7					
		0.70%	1.01%	0.75%	0.00%	0.80%	0.00%	0.00%	0.81%	0.00%	0.00%	0.94%	0.19%	0.00%	0.48%	0.00%	0.00%	2.45%	1.67%					
20	. Миронов Сергей Михайлович	13	0	4	1	1	0	0	1	0	1	0	1	0	2	0	0	2	0					
		0.25%	0.00%	1.50%	0.32%	0.27%	0.00%	0.00%	0.27%	0.00%	0.30%	0.00%	0.19%	0.00%	0.96%	0.00%	0.00%	0.33%	0.00%					
21	. Путин Владимир Владимирович	4219	221	201	264	306	196	166	296	107	269	95	476	202	169	324	77	506	344					
		82.35%	74.41%	75.56%	84.08%	81.82%	85.96%	90.71%	79.57%	82.95%	82.01%	89.62%	92.79%	90.18%	80.86%	69.68%	90.59%	82.68%	82.30%					
22	. Хакамада Ирина Муцуовна	184	26	14	14	22	9	2	5	2	12	0	10	3	4	32	1	16	12					
		3.59%	8.75%	5.26%	4.46%	5.88%	3.95%	1.09%	1.34%	1.55%	3.66%	0.00%	1.95%	1.34%	1.91%	6.88%	1.18%	2.61%	2.87%					
23	. Харитонов Николай Михайлович	546	38	31	24	34	19	14	64	14	43	9	19	16	28	94	5	54	40					
		10.66%	12.79%	11.65%	7.64%	9.09%	8.33%	7.65%	17.20%	10.85%	13.11%	8.49%	3.70%	7.14%	13.40%	20.22%	5.88%	8.82%	9.57%					
																								
24	Против всех	25	1	3	0	2	1	1	1	1	0	0	4	0	0	4	1	5	1					
		0.49%	0.34%	1.13%	0.00%	0.53%	0.44%	0.55%	0.27%	0.78%	0.00%	0.00%	0.78%	0.00%	0.00%	0.86%	1.18%	0.82%	0.24%					
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
