Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																	
Дата голосования: 02.12.2007																																	
																																	
Наименование Избирательной комиссии:    Онгудайская																																	
																																	
Сводная таблица результатов выборов																																	
																																	
		Сумма	УИК №69	УИК №70	УИК №71	УИК №72	УИК №73	УИК №74	УИК №75	УИК №76	УИК №77	УИК №78	УИК №79	УИК №80	УИК №81	УИК №82	УИК №83	УИК №84	УИК №85	УИК №86	УИК №87	УИК №88	УИК №89	УИК №90	УИК №91	УИК №92	УИК №93	УИК №94					
1	"Число избирателей, внесенных в списки избирателей"	11050	196	150	170	534	185	178	439	262	244	1751	2139	584	386	604	210	227	398	269	83	95	300	464	193	186	636	167					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	10675	198	153	172	500	177	181	430	260	236	1667	2033	560	390	570	213	226	400	260	79	103	290	450	198	178	600	151					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	7497	184	90	132	349	154	145	336	206	166	943	1199	381	280	392	186	202	331	183	60	67	213	337	149	161	519	132					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	524	6	3	14	41	10	0	26	9	7	76	96	42	24	52	14	7	16	13	4	4	10	19	3	8	16	4					
6	Число погашенных избирательных бюллетеней	2654	8	60	26	110	13	36	68	45	63	648	738	137	86	126	13	17	53	64	15	32	67	94	46	9	65	15					
7	Число избирательных бюллетеней в переносных ящиках для голосования	524	6	3	14	41	10	0	26	9	7	76	96	42	24	52	14	7	16	13	4	4	10	19	3	8	16	4					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	7497	184	90	132	349	154	145	336	206	166	943	1199	381	280	392	186	202	331	183	60	67	213	337	149	161	519	132					
9	Число недействительных избирательных бюллетеней	73	3	0	2	7	5	3	5	2	1	8	8	4	0	5	0	0	1	0	0	0	0	2	6	5	6	0					
10	Число действительных избирательных бюллетеней	7948	187	93	144	383	159	142	357	213	172	1011	1287	419	304	439	200	209	346	196	64	71	223	354	146	164	529	136					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	240	4	4	4	10	4	4	8	5	5	37	38	10	7	11	4	4	23	5	2	2	5	10	4	4	22	4					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	123	2	0	0	0	0	3	0	0	5	19	18	4	7	7	1	3	23	0	0	1	0	7	3	0	20	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	84	5	1	1	2	2	0	1	0	0	13	24	1	0	3	1	0	5	3	0	4	2	1	2	2	10	1					
14	Число погашенных неиспользованных открепительных удостоверений	117	2	4	4	10	4	1	8	5	0	18	20	6	0	4	3	1	0	5	2	1	5	3	1	4	2	4					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
