Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																	
Дата голосования: 04.12.2011																																	
																																	
Наименование Избирательной комиссии:    Онгудайская																																	
																																	
Сводная таблица результатов выборов																																	
																																	
		Сумма	УИК №69	УИК №70	УИК №71	УИК №72	УИК №73	УИК №74	УИК №75	УИК №76	УИК №77	УИК №78	УИК №79	УИК №80	УИК №81	УИК №82	УИК №83	УИК №84	УИК №85	УИК №86	УИК №87	УИК №88	УИК №89	УИК №90	УИК №91	УИК №92	УИК №93	УИК №94					
1	"Число избирателей, внесенных в список избирателей"	11002	178	157	168	498	184	169	387	273	237	1951	2115	523	389	670	198	222	386	235	60	96	271	470	170	192	627	176					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	11118	193	153	161	480	176	190	415	270	230	1910	2110	600	420	660	199	225	400	240	59	93	310	485	180	178	610	171					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	7313	134	121	124	391	143	137	324	205	168	964	1055	348	303	430	184	203	329	159	43	68	203	305	136	170	500	166					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	491	7	3	18	19	2	4	11	21	8	80	63	47	26	56	10	4	21	21	2	4	5	19	5	5	27	3					
6	Число погашенных избирательных бюллетеней	3314	52	29	19	70	31	49	80	44	54	866	992	205	91	174	5	18	50	60	14	21	102	161	39	3	83	2					
7	Число избирательных бюллетеней в переносных ящиках для голосования	491	7	3	18	19	2	4	11	21	8	80	63	47	26	56	10	4	21	21	2	4	5	19	5	5	27	3					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	7313	134	121	124	391	143	137	324	205	168	964	1055	348	303	430	184	203	329	159	43	68	203	305	136	170	500	166					
9	Число недействительных избирательных бюллетеней	104	0	2	0	4	1	0	6	5	4	17	17	5	3	8	1	5	12	0	0	0	3	0	1	2	4	4					
10	Число действительных избирательных бюллетеней	7700	141	122	142	406	144	141	329	221	172	1027	1101	390	326	478	193	202	338	180	45	72	205	324	140	173	523	165					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	230	7	5	5	10	5	9	8	8	5	39	30	9	6	14	5	5	11	5	3	3	5	6	5	5	12	5					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	161	7	3	0	7	0	9	8	8	3	34	20	6	5	11	3	5	9	1	0	2	2	3	2	0	12	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	128	4	2	3	11	1	1	2	4	5	10	24	1	2	5	11	10	4	2	3	2	1	4	3	1	10	2					
14	Число погашенных неиспользованных открепительных удостоверений	69	0	2	5	3	5	0	0	0	2	5	10	3	1	3	2	0	2	4	3	1	3	3	3	5	0	4					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																	
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	587	5	5	17	38	8	12	14	10	12	103	122	22	14	33	17	7	10	15	7	4	18	37	17	6	28	6					
		7.52%	3.55%	4.03%	11.97%	9.27%	5.52%	8.51%	4.18%	4.42%	6.82%	9.87%	10.91%	5.57%	4.26%	6.79%	8.76%	3.38%	2.86%	8.33%	15.56%	5.56%	8.65%	11.42%	12.06%	3.43%	5.31%	3.55%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	282	2	4	1	9	4	1	6	10	1	73	78	3	0	12	3	2	1	24	4	2	5	20	6	4	4	3					
		3.61%	1.42%	3.23%	0.70%	2.20%	2.76%	0.71%	1.79%	4.42%	0.57%	6.99%	6.98%	0.76%	0.00%	2.47%	1.55%	0.97%	0.29%	13.33%	8.89%	2.78%	2.40%	6.17%	4.26%	2.29%	0.76%	1.78%					
