Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																												
Дата голосования: 18.09.2016																																												
																																												
Наименование Избирательной комиссии:    Балаклавская																																												
																																												
Сводная таблица итогов голосования по федеральному избирательному округу																																												
																																												
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	37868	1268	1101	2104	2197	1538	1707	1174	651	1498	896	769	673	1774	1589	1224	1010	956	1140	711	1537	1468	909	802	1967	596	679	654	715	481	1842	553	1570	115									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	34014	1400	996	2002	1900	1300	1500	1000	600	1300	800	700	500	1400	1400	1004	800	702	996	1504	1294	1184	793	702	1900	504	598	600	600	400	1589	496	1400	150									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	16869	718	535	787	905	680	867	468	276	730	232	239	277	1044	591	391	387	450	442	700	699	650	374	265	891	209	332	327	351	255	795	282	675	45									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	625	8	8	23	14	22	11	11	15	20	6	11	20	9	43	14	35	40	15	11	16	9	13	27	35	0	26	26	16	14	25	17	34	31									
6	Число погашенных избирательных бюллетеней	16517	674	453	1190	981	598	622	521	309	550	562	450	203	347	766	599	378	212	539	793	579	525	406	410	974	295	240	247	233	131	768	197	691	74									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	625	8	8	23	14	22	11	11	15	20	6	11	20	9	43	14	35	40	15	11	16	9	13	27	35	0	26	26	16	14	25	17	34	31									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	16846	718	535	787	905	680	867	468	276	730	232	239	277	1034	591	391	387	450	442	700	699	650	361	265	891	209	332	327	351	255	795	282	675	45									
9	Число недействительных избирательных бюллетеней	547	21	17	21	26	16	33	13	2	18	5	11	9	31	12	7	15	15	11	31	21	23	11	6	40	8	10	9	25	12	30	24	13	1									
10	Число действительных избирательных бюллетеней	16924	705	526	789	893	686	845	466	289	732	233	239	288	1012	622	398	407	475	446	680	694	636	363	286	886	201	348	344	342	257	790	275	696	75									
