Выборы Президента Российской Федерации																																					
																																					
Наименование Избирательной комиссии:    Камешковская																																					
																																					
Итоги голосования 																																					
																																					
		Сумма	УИК  596	УИК  597	УИК  598	УИК  599	УИК  600	УИК  601	УИК  602	УИК  603	УИК  604	УИК  605	УИК  606	УИК  607	УИК  608	УИК  609	УИК  610	УИК  611	УИК  612	УИК  613	УИК  614	УИК  615	УИК  616	УИК  617	УИК  618	УИК  619	УИК  620	УИК  621	УИК  622	УИК  623	УИК  624	УИК  625					
1	"Число избирателей, внесенных в список"	29963	2033	1763	1840	1946	1842	1930	1852	1894	426	151	1266	1000	1300	384	548	554	295	2333	340	400	155	1110	549	950	778	422	522	322	409	649					
2	Число полученных избирательных бюллетеней	29520	2000	1756	1800	1924	1785	1860	1860	1900	400	147	1200	1000	1290	370	545	550	280	2300	350	397	159	1100	545	937	770	420	520	310	395	650					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	13599	932	813	828	945	829	867	832	970	221	62	540	435	644	125	221	206	112	1050	158	199	52	503	223	467	336	229	169	118	191	322					
5	"Число избирательных бюллетеней, выданных вне помещения"	2670	145	94	138	46	73	107	150	88	42	31	105	107	55	105	87	107	58	189	46	48	59	97	83	104	114	47	133	84	61	67					
6	Число погашенных избирательных бюллетеней	13251	923	849	834	933	883	886	878	842	137	54	555	458	591	140	237	237	110	1061	146	150	48	500	239	366	320	144	218	108	143	261					
7	Число избирательных бюллетеней в переносных ящиках	2670	145	94	138	46	73	107	150	88	42	31	105	107	55	105	87	107	58	189	46	48	59	97	83	104	114	47	133	84	61	67					
8	Число бюллетеней в стационарных ящиках для голосования	13595	932	813	828	945	829	867	832	970	221	62	540	435	644	125	220	206	112	1047	158	199	52	503	223	467	336	229	169	118	191	322					
9	Число недействительных избирательных бюллетеней	113	11	5	4	8	11	4	15	9	2	0	4	11	9	1	0	1	3	3	1	1	0	2	3	2	1	0	1	0	0	1					
10	Число действительных избирательных бюллетеней	16152	1066	902	962	983	891	970	967	1049	261	93	641	531	690	229	307	312	167	1233	203	246	111	598	303	569	449	276	301	202	252	388					
11	Число полученных открепительных  удостоверений	460	20	20	20	20	20	20	20	20	10	10	20	20	20	10	10	10	10	20	10	10	10	20	10	20	20	10	10	10	10	20					
12	Число выданных открепительных удостоверений	96	9	4	4	4	6	5	5	4	2	0	2	1	1	1	2	2	0	1	5	0	4	5	0	8	1	3	2	3	8	4					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	152	7	5	2	8	2	6	5	3	14	3	6	1	9	5	3	5	0	7	6	3	0	5	3	5	7	7	4	7	13	1					
14	Число неиспользованных открепительных удостоверений	364	11	16	16	16	14	15	15	16	8	10	18	19	19	9	8	8	10	19	5	10	6	15	10	12	19	7	8	7	2	16					
15	"Число открепительных удостоверений, выданных в ТИК"	2	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																					
18	. Глазьев Сергей Юрьевич	480	35	24	38	24	20	35	36	29	7	6	20	17	33	1	9	8	6	32	3	5	2	10	8	13	9	14	13	12	3	8					
		2.95%	3.25%	2.65%	3.93%	2.42%	2.22%	3.59%	3.67%	2.74%	2.66%	6.45%	3.10%	3.14%	4.72%	0.43%	2.93%	2.56%	3.53%	2.59%	1.47%	2.02%	1.80%	1.67%	2.61%	2.28%	2.00%	5.07%	4.30%	5.94%	1.19%	2.06%					
19	. Малышкин Олег Александрович	502	29	25	27	48	29	31	26	31	10	15	10	10	27	2	8	12	2	40	11	14	4	23	6	17	11	5	7	3	9	10					
		3.09%	2.69%	2.76%	2.80%	4.84%	3.22%	3.18%	2.65%	2.93%	3.80%	16.13%	1.55%	1.85%	3.86%	0.87%	2.61%	3.83%	1.18%	3.24%	5.39%	5.67%	3.60%	3.83%	1.96%	2.98%	2.44%	1.81%	2.32%	1.49%	3.57%	2.57%					
20	. Миронов Сергей Михайлович	141	6	4	13	3	7	10	6	18	3	1	8	5	5	2	1	0	0	8	0	4	0	7	6	7	4	0	2	0	4	7					
		0.87%	0.56%	0.44%	1.35%	0.30%	0.78%	1.03%	0.61%	1.70%	1.14%	1.08%	1.24%	0.92%	0.72%	0.87%	0.33%	0.00%	0.00%	0.65%	0.00%	1.62%	0.00%	1.17%	1.96%	1.23%	0.89%	0.00%	0.66%	0.00%	1.59%	1.80%					
21	. Путин Владимир Владимирович	11714	780	669	666	689	656	685	697	739	194	56	470	381	494	174	244	252	120	846	164	172	88	430	218	440	374	197	209	141	172	297					
		72.02%	72.42%	73.76%	68.94%	69.53%	72.73%	70.33%	70.98%	69.85%	73.76%	60.22%	72.87%	70.30%	70.67%	75.65%	79.48%	80.51%	70.59%	68.45%	80.39%	69.64%	79.28%	71.67%	71.24%	77.06%	83.11%	71.38%	69.21%	69.80%	68.25%	76.35%					
22	. Хакамада Ирина Муцуовна	326	24	20	31	22	18	20	29	20	3	4	8	12	10	3	1	6	2	18	9	5	4	7	4	17	4	7	3	4	2	9					
