Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																														
Дата голосования: 18.09.2016																																														
																																														
Наименование Избирательной комиссии:    Полевская городская																																														
																																														
Сводная таблица итогов голосования по федеральному избирательному округу																																														
																																														
		Сумма	УИК №2410	УИК №2411	УИК №2412	УИК №2413	УИК №2414	УИК №2415	УИК №2416	УИК №2417	УИК №2418	УИК №2419	УИК №2420	УИК №2421	УИК №2422	УИК №2423	УИК №2424	УИК №2425	УИК №2426	УИК №2427	УИК №2428	УИК №2429	УИК №2430	УИК №2431	УИК №2432	УИК №2433	УИК №2434	УИК №2435	УИК №2436	УИК №2437	УИК №2438	УИК №2439	УИК №2440	УИК №2441	УИК №2442	УИК №2443	УИК №2444									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	60644	1018	1386	2051	2688	2327	2175	1126	771	2257	1567	1745	1628	1955	1198	2425	2156	2364	2325	2584	2532	1910	2082	1737	2065	2063	1423	1963	1824	617	1219	1054	737	1235	977	1460									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	58300	1000	1400	2100	2600	2200	2000	1100	700	2100	1500	1500	1400	2000	1100	2500	2200	2400	2300	2600	2600	1900	2000	1700	1900	2000	1300	1900	1700	500	1200	700	700	1200	900	1400									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	93									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	23690	401	626	891	1067	913	832	379	269	980	643	915	695	739	521	1013	981	1111	1072	1402	866	629	525	638	691	721	441	580	412	274	412	530	262	414	358	487									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	552	17	6	6	26	20	19	2	22	11	9	7	5	17	12	13	4	14	2	5	54	15	12	2	7	16	15	13	16	4	68	5	7	27	39	35									
6	Число погашенных избирательных бюллетеней	33944	582	768	1203	1507	1267	1149	719	409	1109	848	578	700	1244	567	1474	1215	1275	1226	1193	1680	1256	1463	1060	1202	1263	844	1307	1272	222	699	165	431	759	503	785									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	666	17	6	6	26	20	19	2	22	11	9	7	5	17	12	13	4	14	2	5	54	15	12	2	7	16	15	13	16	4	89	5	7	27	39	128									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	23664	401	626	890	1067	895	832	379	269	980	642	915	695	739	519	1012	981	1111	1072	1402	866	629	525	637	691	721	441	579	411	274	412	530	262	414	358	487									
9	Число недействительных избирательных бюллетеней	600	5	18	26	33	21	31	14	5	33	24	25	18	21	13	31	14	20	32	28	11	21	17	11	24	19	8	15	9	2	6	8	9	8	14	6									
10	Число действительных избирательных бюллетеней	23730	413	614	870	1060	894	820	367	286	958	627	897	682	735	518	994	971	1105	1042	1379	909	623	520	628	674	718	448	577	418	276	495	527	260	433	383	609									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	960	20	20	30	30	30	30	20	20	30	30	30	20	20	20	30	40	40	40	50	40	30	40	30	30	30	20	20	20	20	20	20	20	20	20	30									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	312	7	6	8	14	12	12	11	4	16	4	6	16	3	4	11	23	7	18	12	12	8	6	13	13	8	8	6	4	1	13	2	3	3	8	10									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	1415	11	15	19	125	22	71	26	4	91	30	227	86	44	23	19	20	1	38	82	5	3	5	4	6	10	9	6	7	43	11	303	22	6	14	7									
14	Число погашенных неиспользованных открепительных удостоверений	648	13	14	22	16	18	18	9	16	14	26	24	4	17	16	19	17	33	22	38	28	22	34	17	17	22	12	14	16	19	7	18	17	17	12	20									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	46	0	0	1	1	3	2	1	2	4	0	2	2	3	0	4	4	2	1	2	0	1	3	1	0	2	2	1	1	1	0	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																														
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	349	9	4	9	18	11	16	4	5	14	3	17	13	7	7	14	12	21	15	19	15	7	5	14	8	14	8	5	2	7	6	11	8	6	10	5									
		1.43%	2.15%	0.63%	1.00%	1.65%	1.20%	1.88%	1.05%	1.72%	1.41%	0.46%	1.84%	1.86%	0.93%	1.32%	1.37%	1.22%	1.87%	1.40%	1.35%	1.63%	1.09%	0.93%	2.19%	1.15%	1.90%	1.75%	0.84%	0.47%	2.52%	1.20%	2.06%	2.97%	1.36%	2.52%	0.81%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	728	17	18	27	30	22	25	13	8	36	21	20	21	23	16	27	28	31	35	29	42	24	14	29	25	23	17	26	17	9	19	6	11	7	4	8									
