Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																				
Дата голосования: 02.12.2007																																																																				
																																																																				
Наименование Избирательной комиссии:    Щекинская																																																																				
																																																																				
Сводная таблица результатов выборов																																																																				
																																																																				
		Сумма	УИК №795	УИК №796	УИК №797	УИК №798	УИК №799	УИК №800	УИК №801	УИК №802	УИК №803	УИК №804	УИК №805	УИК №806	УИК №807	УИК №808	УИК №809	УИК №810	УИК №811	УИК №812	УИК №813	УИК №814	УИК №815	УИК №816	УИК №817	УИК №818	УИК №819	УИК №820	УИК №821	УИК №822	УИК №823	УИК №824	УИК №825	УИК №826	УИК №827	УИК №828	УИК №829	УИК №830	УИК №831	УИК №832	УИК №833	УИК №834	УИК №835	УИК №836	УИК №837	УИК №838	УИК №839	УИК №840	УИК №841	УИК №842	УИК №843	УИК №844	УИК №845	УИК №846	УИК №847	УИК №848	УИК №849	УИК №850	УИК №851	УИК №852	УИК №853	УИК №854	УИК №855					
1	"Число избирателей, внесенных в списки избирателей"	90000	2689	2755	2519	2741	2692	2850	2882	2791	2512	375	1156	2391	1794	2923	2322	2517	1786	1668	2098	2390	1261	2897	359	2804	2540	2192	1476	2147	2158	2366	1447	745	1271	650	752	646	1048	369	852	870	888	447	792	348	1515	810	1573	2115	232	424	325	265	178	211	371	307	816	1996	1216	213	257					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	80310	2550	2400	2350	2550	2500	2400	2500	2500	2400	330	1000	2300	1500	2500	2000	2200	1500	1500	1800	2200	1100	2500	370	2400	2100	1800	1300	1900	2100	2000	1300	650	1100	600	700	600	950	350	750	800	800	400	730	330	1350	730	1400	1900	200	400	300	300	170	200	320	270	730	1900	1100	190	240					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	47739	1451	1633	1333	1690	1627	1509	1521	1573	1347	193	619	1327	1098	1687	1246	1404	1046	923	1143	1317	698	1438	215	1651	1639	1234	852	1074	1316	1008	694	341	552	332	389	263	544	165	308	215	277	151	370	169	669	329	782	1035	100	223	125	134	73	101	266	113	371	1042	592	87	115					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	5651	94	62	79	40	86	211	85	75	96	24	49	87	39	82	85	84	70	64	82	117	22	114	128	87	90	103	106	36	119	94	156	62	171	52	75	150	87	35	303	290	180	82	120	70	184	83	107	104	48	80	78	29	23	36	25	73	91	149	71	62	65					
6	Число погашенных избирательных бюллетеней	26920	1005	705	938	820	787	680	894	852	957	113	332	886	363	731	669	712	384	513	575	766	380	948	27	662	371	463	342	790	665	898	450	247	377	216	236	187	319	150	139	295	343	167	240	91	497	318	511	761	52	97	97	137	74	63	29	84	268	709	437	41	60					
7	Число избирательных бюллетеней в переносных ящиках для голосования	5651	94	62	79	40	86	211	85	75	96	24	49	87	39	82	85	84	70	64	82	117	22	114	128	87	90	103	106	36	119	94	156	62	171	52	75	150	87	35	303	290	180	82	120	70	184	83	107	104	48	80	78	29	23	36	25	73	91	149	71	62	65					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	47717	1451	1633	1333	1690	1627	1509	1521	1573	1347	193	619	1327	1097	1687	1246	1399	1046	923	1138	1317	698	1438	215	1651	1628	1234	852	1074	1316	1008	694	341	552	332	389	263	544	165	308	215	277	151	370	169	669	329	782	1035	100	223	125	134	73	101	266	113	371	1042	592	87	115					
9	Число недействительных избирательных бюллетеней	548	14	17	23	7	11	15	15	13	0	0	8	19	13	27	9	17	12	12	8	16	7	20	0	19	21	14	15	15	24	7	54	2	4	1	6	2	2	4	6	2	6	0	2	0	6	4	7	11	0	2	1	6	2	0	3	2	4	5	4	0	2					
10	Число действительных избирательных бюллетеней	52820	1531	1678	1389	1723	1702	1705	1591	1635	1443	217	660	1395	1123	1742	1322	1466	1104	975	1212	1418	713	1532	343	1719	1697	1323	943	1095	1411	1095	796	401	719	383	458	411	629	196	605	503	451	233	488	239	847	408	882	1128	148	301	202	157	94	137	288	184	458	1186	659	149	178					
