Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																									
Дата голосования: 18.09.2016																									
																									
Наименование Избирательной комиссии:    Жирятинская																									
																									
Сводная таблица итогов голосования по федеральному избирательному округу																									
																									
		Сумма	УИК №364	УИК №365	УИК №366	УИК №367	УИК №368	УИК №369	УИК №370	УИК №371	УИК №372	УИК №373	УИК №374	УИК №375	УИК №376	УИК №377									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	5315	731	322	668	1012	213	168	207	248	273	374	275	257	302	265									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	5310	730	320	670	1020	210	160	200	250	270	380	270	260	310	260									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	2965	529	230	305	453	141	101	92	163	151	131	152	157	207	153									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	532	35	19	16	9	7	22	44	4	40	78	80	46	60	72									
6	Число погашенных избирательных бюллетеней	1813	166	71	349	558	62	37	64	83	79	171	38	57	43	35									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	532	35	19	16	9	7	22	44	4	40	78	80	46	60	72									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	2965	529	230	305	453	141	101	92	163	151	131	152	157	207	153									
9	Число недействительных избирательных бюллетеней	56	5	5	10	8	5	1	0	17	0	0	2	0	2	1									
10	Число действительных избирательных бюллетеней	3441	559	244	311	454	143	122	136	150	191	209	230	203	265	224									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	69	9	5	10	15	3	3	3	3	3	3	3	3	3	3									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	24	1	0	4	4	0	1	0	1	3	2	2	3	3	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	13	0	0	6	4	0	1	1	0	0	0	0	0	1	0									
14	Число погашенных неиспользованных открепительных удостоверений	45	8	5	6	11	3	2	3	2	0	1	1	0	0	3									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	17	0	2	0	3	0	0	0	0	0	4	0	0	5	3									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																									
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	39	14	0	6	6	0	3	0	2	2	0	1	1	2	2									
		1.12%	2.48%	0.00%	1.87%	1.30%	0.00%	2.44%	0.00%	1.20%	1.05%	0.00%	0.43%	0.49%	0.75%	0.89%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	71	4	5	16	18	1	1	4	6	1	1	6	3	2	3									
		2.03%	0.71%	2.01%	4.98%	3.90%	0.68%	0.81%	2.94%	3.59%	0.52%	0.48%	2.59%	1.48%	0.75%	1.33%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	37	5	0	4	5	3	2	1	2	5	2	6	1	1	0									
		1.06%	0.89%	0.00%	1.25%	1.08%	2.03%	1.63%	0.74%	1.20%	2.62%	0.96%	2.59%	0.49%	0.37%	0.00%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	2450	411	192	184	270	99	84	109	104	123	155	168	130	235	186									
		70.06%	72.87%	77.11%	57.32%	58.44%	66.89%	68.29%	80.15%	62.28%	64.40%	74.16%	72.41%	64.04%	88.01%	82.67%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	17	8	0	5	0	1	0	0	0	0	0	0	0	2	1									
		0.49%	1.42%	0.00%	1.56%	0.00%	0.68%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.75%	0.44%									
24	"6. Политическая партия ""Гражданская Платформа"""	12	7	0	1	2	0	0	0	0	0	1	1	0	0	0									
		0.34%	1.24%	0.00%	0.31%	0.43%	0.00%	0.00%	0.00%	0.00%	0.00%	0.48%	0.43%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	388	55	28	42	84	18	14	2	19	19	34	23	29	9	12									
