Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																			
Дата голосования: 02.12.2007																																																			
																																																			
Наименование Избирательной комиссии:    Акбулакская																																																			
																																																			
Сводная таблица результатов выборов																																																			
																																																			
		Сумма	УИК №86	УИК №87	УИК №88	УИК №89	УИК №90	УИК №91	УИК №92	УИК №93	УИК №94	УИК №95	УИК №96	УИК №97	УИК №98	УИК №99	УИК №100	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129					
1	"Число избирателей, внесенных в списки избирателей"	20382	2272	2001	2875	2622	973	172	144	320	139	104	144	542	112	289	87	378	85	72	93	383	61	155	532	26	12	495	440	75	278	642	113	455	930	107	29	97	53	204	500	76	115	621	73	486					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	20504	2260	1980	2800	2650	900	208	220	330	130	160	145	540	110	287	90	540	86	76	100	390	68	155	537	28	12	500	420	73	280	632	115	440	882	100	32	95	53	200	504	78	115	621	72	490					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	12646	1060	984	1470	1348	501	167	119	243	85	101	115	322	68	253	87	369	62	57	77	258	48	102	356	24	12	326	290	63	223	470	77	387	663	70	26	84	38	158	327	62	84	539	60	411					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	703	85	71	73	59	85	5	25	3	0	3	0	18	2	14	0	9	11	0	0	14	0	9	33	0	0	8	11	0	23	34	4	37	40	4	0	0	0	5	0	0	0	11	0	7					
6	Число погашенных избирательных бюллетеней	7155	1115	925	1257	1243	314	36	76	84	45	56	30	200	40	20	3	162	13	19	23	118	20	44	148	4	0	166	119	10	34	128	34	16	179	26	6	11	15	37	177	16	31	71	12	72					
7	Число избирательных бюллетеней в переносных ящиках для голосования	703	85	71	73	59	85	5	25	3	0	3	0	18	2	14	0	9	11	0	0	14	0	9	33	0	0	8	11	0	23	34	4	37	40	4	0	0	0	5	0	0	0	11	0	7					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	12646	1060	984	1470	1348	501	167	119	243	85	101	115	322	68	253	87	369	62	57	77	258	48	102	356	24	12	326	290	63	223	470	77	387	663	70	26	84	38	158	327	62	84	539	60	411					
9	Число недействительных избирательных бюллетеней	132	11	10	15	5	1	0	1	8	0	0	0	9	0	25	1	2	0	0	1	2	0	1	5	0	0	4	7	0	0	3	2	1	7	2	0	0	0	1	1	0	1	4	0	2					
10	Число действительных избирательных бюллетеней	13217	1134	1045	1528	1402	585	172	143	238	85	104	115	331	70	242	86	376	73	57	76	270	48	110	384	24	12	330	294	63	246	501	79	423	696	72	26	84	38	162	326	62	83	546	60	416					
