Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																				
Дата голосования: 18.09.2016																																				
																																				
Наименование Избирательной комиссии:    Фрязинская городская																																				
																																				
Сводная таблица итогов голосования по федеральному избирательному округу																																				
																																				
		Сумма	УИК №3118	УИК №3119	УИК №3120	УИК №3121	УИК №3122	УИК №3123	УИК №3124	УИК №3125	УИК №3126	УИК №3127	УИК №3128	УИК №3129	УИК №3130	УИК №3131	УИК №3132	УИК №3133	УИК №3134	УИК №3135	УИК №3136	УИК №3137	УИК №3138	УИК №3139	УИК №3140	УИК №3141	УИК №3142									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	46615	1991	1923	2677	1852	1722	1831	2125	1773	1842	2019	1847	1821	1867	1920	2101	1809	1771	1886	1901	1929	1942	1795	2018	1619	634									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	33400	1400	1400	1900	1350	1250	1300	1500	1250	1300	1450	1300	1300	1350	1350	1500	1300	1250	1350	1350	1400	1400	1300	1450	1200	500									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	18807	718	697	879	792	649	761	903	748	739	759	693	806	794	794	887	802	761	822	759	822	794	745	729	713	241									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	495	22	24	16	23	8	55	14	22	27	22	23	29	12	19	25	23	14	15	15	25	19	12	12	10	9									
6	Число погашенных избирательных бюллетеней	14084	660	679	1005	535	592	480	583	480	534	669	584	464	544	537	588	475	475	513	574	553	587	543	702	477	251									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	493	22	24	16	23	8	55	13	22	27	22	23	29	12	19	25	23	14	14	15	25	19	12	12	10	9									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	18771	718	697	879	790	649	760	903	746	738	759	693	806	794	793	880	802	759	820	757	819	794	745	722	708	240									
9	Число недействительных избирательных бюллетеней	692	26	13	34	33	22	33	30	31	30	38	43	19	19	18	23	66	28	40	28	44	26	18	6	16	8									
10	Число действительных избирательных бюллетеней	18572	714	708	861	780	635	782	886	737	735	743	673	816	787	794	882	759	745	794	744	800	787	739	728	702	241									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1331	59	55	70	53	49	51	60	51	53	57	53	52	53	55	60	52	51	55	55	56	56	52	57	47	19									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	254	3	5	14	20	9	14	18	10	7	12	4	10	11	8	11	7	10	10	7	13	11	14	14	11	1									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	320	5	6	9	7	5	63	9	21	10	7	9	11	17	8	16	12	8	11	21	11	13	14	6	16	5									
14	Число погашенных неиспользованных открепительных удостоверений	1077	56	50	56	33	40	37	42	41	46	45	49	42	42	47	49	45	41	45	48	43	45	38	43	36	18									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	94	7	3	8	6	1	2	3	8	3	1	1	2	6	2	2	7	1	2	6	3	5	2	3	8	2									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	16	0	0	0	0	1	4	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	7	0	1									
18	"Число избирательных бюллетеней, не учтенных при получении"	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2									
																																				
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	582	27	15	31	22	22	20	42	30	34	14	17	37	33	30	25	18	20	27	13	16	21	26	29	6	7									
		3.02%	3.65%	2.08%	3.46%	2.71%	3.35%	2.45%	4.59%	3.91%	4.44%	1.79%	2.37%	4.43%	4.09%	3.69%	2.76%	2.18%	2.59%	3.24%	1.68%	1.90%	2.58%	3.43%	3.95%	0.84%	2.81%									
