Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																												
Дата голосования: 07.12.2003 0:00:00																												
																												
Наименование Избирательной комиссии:    Мосальская																												
																												
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																												
																												
		Сумма	УИК  523	УИК  524	УИК  525	УИК  526	УИК  527	УИК  528	УИК  529	УИК  530	УИК  531	УИК  532	УИК  533	УИК  534	УИК  535	УИК  536	УИК  537	УИК  538	УИК  539	УИК  540	УИК  541	УИК  542	УИК  543					
1	"Число избирателей, внесенных в списки"	7594	347	265	242	234	300	139	247	174	115	508	105	102	107	166	300	280	155	110	262	1756	1680					
2	"Число бюллетеней, полученных участковыми комиссиями"	7720	350	270	240	240	330	150	280	175	115	490	100	105	105	165	320	290	165	110	260	1800	1660					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	3972	137	181	62	164	150	67	158	133	74	238	53	70	56	124	148	137	107	70	78	920	845					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1450	143	46	128	53	87	42	89	3	36	127	47	20	34	34	87	120	29	19	121	133	52					
6	Число погашенных бюллетеней	2298	70	43	50	23	93	41	33	39	5	125	0	15	15	7	85	33	29	21	61	747	763					
7	Число бюллетеней в переносных ящиках для голосования	1450	143	46	128	53	87	42	89	3	36	127	47	20	34	34	87	120	29	19	121	133	52					
8	Число бюллетеней в стационарных ящиках для голосования	3965	137	181	62	164	150	67	158	133	74	238	53	70	56	124	148	137	107	70	78	914	844					
9	Число недействительных бюллетеней	58	0	0	3	1	1	1	4	2	0	4	0	2	1	0	4	0	0	0	0	14	21					
10	Число действительных бюллетеней	5357	280	227	187	216	236	108	243	134	110	361	100	88	89	158	231	257	136	89	199	1033	875					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	92	4	2	4	4	4	3	4	3	2	4	2	2	2	3	4	2	1	2	2	23	15					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	42	1	0	1	1	0	0	3	0	0	2	0	0	0	0	1	0	0	0	1	20	12					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	28	0	3	2	0	1	0	2	1	1	1	2	1	1	1	1	0	2	2	1	3	3					
14	Число погашенных открепительных удостоверений	50	3	2	3	3	4	3	1	3	2	2	2	2	2	3	3	2	1	2	1	3	3					
15	Число открепительных удостоверений выданных ТИК	8	0	0	0	0	1	0	0	0	0	2	0	1	0	0	0	1	0	0	1	2	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																												
18	"1. ""ЕДИНЕНИЕ"""	54	0	0	1	2	2	0	7	2	0	3	0	1	0	2	3	3	1	2	0	13	12					
		0.99%	0.0%	0.0%	0.52%	0.92%	0.84%	0.0%	2.83%	1.47%	0.0%	0.82%	0.0%	1.11%	0.0%	1.26%	1.27%	1.16%	0.73%	2.24%	0.0%	1.24%	1.33%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	63	0	3	3	1	1	1	0	1	1	4	0	0	0	2	0	0	2	1	1	20	22					
		1.16%	0.0%	1.32%	1.57%	0.46%	0.42%	0.91%	0.0%	0.73%	0.90%	1.09%	0.0%	0.0%	0.0%	1.26%	0.0%	0.0%	1.47%	1.12%	0.50%	1.91%	2.45%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	76	2	3	5	1	2	2	3	4	0	7	0	0	1	4	9	2	1	1	0	13	16					
		1.40%	0.71%	1.32%	2.63%	0.46%	0.84%	1.83%	1.21%	2.94%	0.0%	1.91%	0.0%	0.0%	1.11%	2.53%	3.82%	0.77%	0.73%	1.12%	0.0%	1.24%	1.78%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	71	5	0	1	0	4	0	1	1	2	6	0	0	2	0	5	1	4	1	0	23	15					
