Выборы Президента Российской Федерации																																																																						
																																																																						
Наименование Избирательной комиссии:    Белореченская городская																																																																						
																																																																						
Итоги голосования 																																																																						
																																																																						
		Сумма	УИК №601	УИК №602	УИК №603	УИК №604	УИК №605	УИК №606	УИК №607	УИК №608	УИК №609	УИК №610	УИК №611	УИК №612	УИК №613	УИК №614	УИК №615	УИК №616	УИК №617	УИК №618	УИК №619	УИК №620	УИК №621	УИК №622	УИК №623	УИК №624	УИК №625	УИК №626	УИК №627	УИК №628	УИК №629	УИК №630	УИК №631	УИК №632	УИК №633	УИК №634	УИК №635	УИК №636	УИК №637	УИК №638	УИК №639	УИК №640	УИК №641	УИК №642	УИК №643	УИК №644	УИК №645	УИК №646	УИК №647	УИК №648	УИК №649	УИК №650	УИК №651	УИК №652	УИК №653	УИК №654	УИК №655	УИК №656	УИК №657	УИК №658	УИК №659	УИК №660	УИК №661	УИК №662	УИК №663					
1	"Число избирателей, внесенных в список"	74205	2030	2100	1967	2197	1746	1961	1147	1733	2305	2217	2228	2398	2267	1920	1921	2147	2157	1073	2162	1950	2353	486	2327	463	1440	1967	470	350	312	474	1033	885	636	171	248	1125	1487	1058	268	262	760	169	431	122	2011	1780	270	261	1317	284	179	872	1050	407	308	744	868	1146	207	140	1694	1260	484					
2	Число полученных избирательных бюллетеней	74066	1900	2000	2100	2050	1800	1950	1050	1750	2200	2100	2100	2200	2100	1900	2000	2000	2050	1050	2050	2000	2150	650	2250	470	1500	1900	550	350	350	550	1050	950	670	201	300	1300	1430	1140	310	275	855	205	425	145	2000	1800	310	260	1340	285	210	875	1020	500	335	995	870	1215	200	185	1660	1170	510					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	44438	869	972	1133	1053	934	1084	582	1119	1228	1258	1137	1054	1130	886	1265	920	1019	501	985	1101	1108	272	1682	358	805	1042	259	305	211	325	728	719	525	154	201	781	930	806	225	218	722	164	297	92	1417	1192	173	169	1052	240	154	715	813	351	224	592	658	800	170	121	1139	968	331					
5	"Число избирательных бюллетеней, выданных вне помещения"	3190	63	108	27	61	59	14	39	51	92	79	42	62	70	77	121	140	64	74	88	235	90	102	110	1	78	44	42	0	8	19	12	85	6	8	14	43	88	26	22	18	38	0	51	10	63	77	75	68	90	19	0	11	21	5	40	48	84	0	0	19	18	40	31					
6	Число погашенных избирательных бюллетеней	26438	968	920	940	936	807	852	429	580	880	763	921	1084	900	937	614	940	967	475	977	664	952	276	458	111	617	814	249	45	131	206	310	146	139	39	85	476	412	308	63	39	95	41	77	43	520	531	62	23	198	26	56	149	186	144	71	355	128	415	30	45	503	162	148					
7	Число избирательных бюллетеней в переносных ящиках	3190	63	108	27	61	59	14	39	51	92	79	42	62	70	77	121	140	64	74	88	235	90	102	110	1	78	44	42	0	8	19	12	85	6	8	14	43	88	26	22	18	38	0	51	10	63	77	75	68	90	19	0	11	21	5	40	48	84	0	0	19	18	40	31					
8	Число бюллетеней в стационарных ящиках для голосования	44345	869	972	1133	1053	934	1084	582	1119	1228	1258	1137	1052	1130	886	1265	920	1019	501	985	1101	1102	272	1682	358	805	1042	259	305	211	325	728	634	525	154	201	781	930	806	225	218	722	164	297	92	1417	1192	173	169	1052	240	154	715	813	351	224	592	658	800	170	121	1139	968	331					
9	Число недействительных избирательных бюллетеней	558	22	6	3	4	11	7	2	3	7	9	10	10	14	17	7	9	7	4	18	26	2	2	82	8	10	10	6	0	4	4	4	0	5	0	0	4	16	24	4	1	9	0	0	1	5	41	0	0	10	6	1	17	26	2	1	6	9	10	0	1	10	19	2					
10	Число действительных избирательных бюллетеней	46977	910	1074	1157	1110	982	1091	619	1167	1313	1328	1169	1104	1186	946	1379	1051	1076	571	1055	1310	1190	372	1710	351	873	1076	295	305	215	340	736	719	526	162	215	820	1002	808	243	235	751	164	348	101	1475	1228	248	237	1132	253	153	709	808	354	263	634	733	790	170	139	1147	989	360					
11	Число полученных открепительных  удостоверений	780	15	15	15	20	20	15	15	15	35	15	15	15	15	15	15	15	15	15	15	15	25	10	15	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10					
12	Число выданных открепительных удостоверений	255	8	11	10	15	16	6	4	8	17	10	14	5	3	4	6	2	5	6	6	5	10	3	2	0	2	9	3	0	0	2	1	1	0	0	1	0	7	4	9	1	0	0	4	1	9	10	1	0	2	1	0	0	2	0	0	1	0	0	0	0	6	2	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	226	8	3	2	13	3	4	6	5	13	42	6	2	3	2	21	4	4	4	3	0	6	6	6	0	15	0	1	0	1	0	0	2	1	1	0	1	3	3	2	2	1	2	0	0	4	8	0	2	2	2	0	1	0	2	0	1	0	0	1	0	1	1	0					
14	Число неиспользованных открепительных удостоверений	525	7	4	5	5	4	9	11	7	18	5	1	10	12	11	9	13	10	9	9	10	15	7	13	10	8	1	7	10	10	8	9	9	10	10	9	10	3	6	1	9	10	10	6	9	1	0	9	10	8	9	10	10	8	10	10	9	10	10	10	10	4	8	10					
15	"Число открепительных удостоверений, выданных в ТИК"	71	3	3	2	3	1	5	0	2	3	0	1	0	1	4	2	0	3	1	0	2	1	2	5	0	0	1	1	1	0	2	0	1	0	0	0	1	2	1	1	1	0	0	0	0	0	0	1	2	0	0	0	2	0	0	0	1	2	1	0	0	3	2	1					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																						
18	. Глазьев Сергей Юрьевич	1507	28	42	48	35	34	46	34	58	54	74	49	52	49	39	42	35	37	37	25	44	49	18	26	14	38	38	8	4	7	12	23	21	6	1	2	18	31	39	5	4	16	4	8	1	32	41	2	5	15	6	0	9	33	2	3	10	19	33	1	2	15	12	12					
		3.17%	3.00%	3.89%	4.14%	3.14%	3.42%	4.19%	5.48%	4.96%	4.09%	5.53%	4.16%	4.67%	4.08%	4.05%	3.03%	3.30%	3.42%	6.43%	2.33%	3.29%	4.11%	4.81%	1.45%	3.90%	4.30%	3.50%	2.66%	1.31%	3.20%	3.49%	3.11%	2.92%	1.13%	0.62%	0.93%	2.18%	3.05%	4.69%	2.02%	1.69%	2.11%	2.44%	2.30%	0.98%	2.16%	3.23%	0.81%	2.11%	1.31%	2.32%	0.00%	1.24%	3.96%	0.56%	1.14%	1.56%	2.56%	4.12%	0.59%	1.43%	1.30%	1.19%	3.31%					
