Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																												
Дата голосования: 02.12.2007																																																												
																																																												
Наименование Избирательной комиссии:    Волгодонская городская																																																												
																																																												
Сводная таблица результатов выборов																																																												
																																																												
		Сумма	УИК №381	УИК №382	УИК №383	УИК №384	УИК №385	УИК №386	УИК №387	УИК №388	УИК №389	УИК №390	УИК №391	УИК №392	УИК №393	УИК №394	УИК №395	УИК №396	УИК №397	УИК №398	УИК №399	УИК №400	УИК №401	УИК №402	УИК №403	УИК №404	УИК №405	УИК №406	УИК №407	УИК №408	УИК №409	УИК №410	УИК №411	УИК №412	УИК №413	УИК №414	УИК №415	УИК №416	УИК №417	УИК №418	УИК №419	УИК №420	УИК №421	УИК №422	УИК №423	УИК №424	УИК №425	УИК №426	УИК №427	УИК №428	УИК №429	УИК №430	УИК №431	УИК №432	УИК №2456					
1	"Число избирателей, внесенных в списки избирателей"	130461	2574	2279	2414	2535	1989	2378	2054	2022	2855	2142	2363	2190	2415	2307	2255	2476	2429	2267	1926	1830	1481	3019	3027	2513	2653	2709	2435	2737	2530	2632	2409	2400	2564	2673	1593	1528	2685	2892	2607	2871	2989	2937	2631	2749	2666	2677	2204	2243	1938	2961	2797	2936	3075					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	109300	2200	1900	1700	2000	1800	1900	2000	1900	2400	1800	2000	1900	2000	1900	1900	2000	2000	1900	1600	1600	1300	2400	2400	2200	2300	2200	2000	2300	2200	2300	2100	2200	2300	2200	1600	1300	2200	2300	2100	2200	2400	2400	2300	2300	2200	2300	1800	2000	1700	2400	2300	2400	2300					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	83822	1593	1481	1529	1680	1326	1354	1677	1775	1884	1256	1607	1179	1803	1626	1477	1667	1273	1534	1175	1022	1115	1767	1612	1738	1905	1585	1379	1584	1787	1689	1664	1981	1696	1719	1059	809	1643	1635	1773	1639	1886	1840	1590	1629	1649	1865	1327	1417	1259	1788	1761	2168	1946					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	2912	182	118	91	285	70	62	65	45	76	49	37	22	38	30	43	34	54	48	38	128	65	43	45	44	46	23	35	20	55	172	33	29	23	23	16	22	58	47	36	105	28	25	42	45	25	22	118	28	32	18	19	30	25					
6	Число погашенных избирательных бюллетеней	22566	425	301	80	35	404	484	258	80	440	495	356	699	159	244	380	299	673	318	387	450	120	590	743	418	349	592	586	696	358	439	403	190	581	458	525	469	499	618	291	456	486	535	668	626	526	413	355	555	409	594	520	202	329					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2912	182	118	91	285	70	62	65	45	76	49	37	22	38	30	43	34	54	48	38	128	65	43	45	44	46	23	35	20	55	172	33	29	23	23	16	22	58	47	36	105	28	25	42	45	25	22	118	28	32	18	19	30	25					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	83477	1593	1481	1529	1680	1326	1354	1677	1775	1884	1256	1429	1179	1653	1626	1477	1667	1271	1534	1175	1022	1115	1767	1612	1738	1905	1585	1379	1584	1787	1689	1664	1981	1696	1719	1059	809	1638	1635	1773	1639	1886	1831	1590	1629	1649	1865	1327	1417	1258	1788	1761	2168	1946					
9	Число недействительных избирательных бюллетеней	675	12	14	13	0	16	4	0	20	11	62	18	12	0	9	6	0	16	11	8	3	8	16	15	19	24	20	14	23	11	6	12	14	10	20	14	6	20	14	22	25	12	8	13	20	8	0	7	10	3	18	5	6	17					
10	Число действительных избирательных бюллетеней	85714	1763	1585	1607	1965	1380	1412	1742	1800	1949	1243	1448	1189	1691	1647	1514	1701	1309	1571	1205	1147	1172	1794	1642	1763	1927	1588	1400	1581	1831	1855	1685	1996	1709	1722	1061	825	1676	1668	1787	1719	1902	1848	1619	1654	1666	1887	1438	1435	1287	1788	1775	2192	1954					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	3367	50	50	50	50	50	50	50	50	100	50	50	50	50	50	50	50	50	50	50	75	50	100	60	75	100	50	70	50	50	50	100	100	75	50	50	50	50	50	50	50	50	50	50	50	50	50	50	150	100	100	150	62	100					
