Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																				
Дата голосования: 07.12.2003 0:00:00																				
																				
Наименование Избирательной комиссии:    Невельская																				
																				
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																				
																				
		Сумма	УИК №94	УИК №95	УИК №96	УИК №97	УИК №98	УИК №99	УИК №100	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106					
1	"Число избирателей, внесенных в списки"	19100	201	2367	2401	1695	1274	1658	1662	2464	321	1369	1312	1439	937					
2	"Число бюллетеней, полученных участковыми комиссиями"	17736	201	2327	2265	1574	1055	1548	1492	2242	300	1258	1184	1449	841					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	36	0	0	0	0	9	0	0	0	0	0	0	0	27					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	8931	104	1079	1191	803	803	794	816	1030	200	558	499	578	476					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	345	33	21	17	13	16	14	17	41	24	34	68	29	18					
6	Число погашенных бюллетеней	8424	64	1227	1057	758	227	740	659	1171	76	666	617	842	320					
7	Число бюллетеней в переносных ящиках для голосования	381	33	21	17	13	25	14	17	41	24	34	68	29	45					
8	Число бюллетеней в стационарных ящиках для голосования	8928	104	1079	1188	803	803	794	816	1030	200	558	499	578	476					
9	Число недействительных бюллетеней	149	5	16	13	12	12	9	9	17	5	11	5	10	25					
10	Число действительных бюллетеней	9160	132	1084	1192	804	816	799	824	1054	219	581	562	597	496					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	250	3	33	32	22	14	22	21	32	5	18	17	19	12					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	131	2	17	7	21	10	11	11	16	5	9	8	4	10					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	62	9	4	9	3	4	9	3	3	10	3	2	0	3					
14	Число погашенных открепительных удостоверений	119	1	16	25	1	4	11	10	16	0	9	9	15	2					
15	Число открепительных удостоверений выданных ТИК	1	0	0	0	0	0	0	0	0	0	0	0	1	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																				
18	"1. ""ЕДИНЕНИЕ"""	140	2	13	20	7	18	8	6	21	8	8	16	5	8					
		1.50%	1.45%	1.18%	1.65%	0.85%	2.17%	0.99%	0.72%	1.96%	3.57%	1.35%	2.82%	0.82%	1.53%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	270	1	36	47	24	27	24	21	22	8	17	23	14	6					
		2.90%	0.72%	3.27%	3.90%	2.94%	3.26%	2.97%	2.52%	2.05%	3.57%	2.87%	4.05%	2.30%	1.15%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	415	10	52	42	31	38	48	24	41	9	33	18	33	36					
		4.45%	7.29%	4.72%	3.48%	3.79%	4.58%	5.94%	2.88%	3.82%	4.01%	5.57%	3.17%	5.43%	6.90%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	397	2	46	55	40	28	48	43	33	4	39	19	27	13					
		4.26%	1.45%	4.18%	4.56%	4.90%	3.38%	5.94%	5.16%	3.08%	1.78%	6.58%	3.35%	4.44%	2.49%					
22	"5. ""За Русь Святую"""	50	1	1	8	6	5	2	2	6	1	9	2	3	4					
		0.53%	0.72%	0.09%	0.66%	0.73%	0.60%	0.24%	0.24%	0.56%	0.44%	1.52%	0.35%	0.49%	0.76%					
23	"6. ""Объединенная Российская партия ""Русь"""	50	2	5	9	2	4	2	4	8	1	2	3	3	5					
		0.53%	1.45%	0.45%	0.74%	0.24%	0.48%	0.24%	0.48%	0.74%	0.44%	0.33%	0.52%	0.49%	0.95%					
24	"7. ""Новый курс - Автомобильная Россия"""	44	1	3	5	5	4	2	7	7	1	1	0	4	4					
		0.47%	0.72%	0.27%	0.41%	0.61%	0.48%	0.24%	0.84%	0.65%	0.44%	0.16%	0.0%	0.65%	0.76%					
25	"8. ""Народно-республиканская партия России"""	15	1	1	2	0	3	1	1	2	1	0	2	0	1					
		0.16%	0.72%	0.09%	0.16%	0.0%	0.36%	0.12%	0.12%	0.18%	0.44%	0.0%	0.35%	0.0%	0.19%					
26	"9. ""Российская экологическая партия ""Зеленые"""	37	1	6	7	0	2	3	8	6	1	1	2	0	0					
		0.39%	0.72%	0.54%	0.58%	0.0%	0.24%	0.37%	0.96%	0.56%	0.44%	0.16%	0.35%	0.0%	0.0%					
27	"10. ""Аграрная партия России"""	145	4	13	16	14	12	9	12	15	8	8	13	15	6					
		1.55%	2.91%	1.18%	1.32%	1.71%	1.44%	1.11%	1.44%	1.40%	3.57%	1.35%	2.29%	2.47%	1.15%					
28	"11. ""Истинные патриоты России"""	16	0	2	1	1	2	2	2	0	0	0	2	3	1					
		0.17%	0.0%	0.18%	0.08%	0.12%	0.24%	0.24%	0.24%	0.0%	0.0%	0.0%	0.35%	0.49%	0.19%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	71	1	10	7	4	4	1	5	7	0	6	10	8	8					
		0.76%	0.72%	0.90%	0.58%	0.49%	0.48%	0.12%	0.60%	0.65%	0.0%	1.01%	1.76%	1.31%	1.53%					
30	"13. ""Демократическая партия России"""	30	2	0	3	1	2	4	3	4	1	3	4	1	2					
		0.32%	1.45%	0.0%	0.24%	0.12%	0.24%	0.49%	0.36%	0.37%	0.44%	0.50%	0.70%	0.16%	0.38%					
31	"14. ""Великая Россия - Евразийский Союз"""	23	1	1	2	2	4	1	2	2	2	1	2	3	0					
		0.24%	0.72%	0.09%	0.16%	0.24%	0.48%	0.12%	0.24%	0.18%	0.89%	0.16%	0.35%	0.49%	0.0%					
32	"15. ""Партия СЛОН"""	29	2	1	0	4	4	2	3	4	1	2	1	4	1					
		0.31%	1.45%	0.09%	0.0%	0.49%	0.48%	0.24%	0.36%	0.37%	0.44%	0.33%	0.17%	0.65%	0.19%					
33	"16. ""Родина"" (народно-патриотический союз)"""	876	4	136	149	90	65	95	94	71	5	47	45	54	21					
		9.41%	2.91%	12.36%	12.36%	11.02%	7.85%	11.75%	11.28%	6.62%	2.23%	7.93%	7.93%	8.89%	4.03%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	49	2	7	6	1	8	2	4	7	2	2	1	4	3					
		0.52%	1.45%	0.63%	0.49%	0.12%	0.96%	0.24%	0.48%	0.65%	0.89%	0.33%	0.17%	0.65%	0.57%					
35	"18. ""ЛДПР"""	1942	25	238	228	186	163	157	155	251	63	115	123	138	100					
		20.86%	18.24%	21.63%	18.92%	22.79%	19.68%	19.43%	18.60%	23.43%	28.12%	19.42%	21.69%	22.73%	19.19%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	145	2	15	23	13	12	13	13	13	3	16	8	7	7					
		1.55%	1.45%	1.36%	1.90%	1.59%	1.44%	1.60%	1.56%	1.21%	1.33%	2.70%	1.41%	1.15%	1.34%					
37	"20. ""Политическая партия ""Единая Россия"""	3112	54	361	427	284	286	262	300	409	75	161	170	172	151					
		33.43%	39.41%	32.81%	35.43%	34.80%	34.54%	32.42%	36.01%	38.18%	33.48%	27.19%	29.98%	28.33%	28.98%					
38	"21. ""Российская Конституционно-демократическая партия"""	26	0	3	2	4	1	2	2	3	0	2	3	1	3					
		0.27%	0.0%	0.27%	0.16%	0.49%	0.12%	0.24%	0.24%	0.28%	0.0%	0.33%	0.52%	0.16%	0.57%					
39	"22. ""Развитие предпринимательства"""	28	1	4	2	1	6	2	4	2	0	2	2	0	2					
		0.30%	0.72%	0.36%	0.16%	0.12%	0.72%	0.24%	0.48%	0.18%	0.0%	0.33%	0.35%	0.0%	0.38%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	889	5	96	88	51	88	89	79	83	17	88	67	73	65					
		9.54%	3.64%	8.72%	7.30%	6.25%	10.62%	11.01%	9.48%	7.74%	7.58%	14.86%	11.81%	12.02%	12.47%					
																				
41	Против всех	361	8	34	43	33	30	20	30	37	8	18	26	25	49					
		3.87%	5.83%	3.09%	3.56%	4.04%	3.62%	2.47%	3.60%	3.45%	3.57%	3.04%	4.58%	4.11%	9.40%					
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
