Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																				
Дата голосования: 18.09.2016																																																				
																																																				
Наименование Избирательной комиссии:    Октябрьская																																																				
																																																				
Сводная таблица итогов голосования по федеральному избирательному округу																																																				
																																																				
		Сумма	УИК №2201	УИК №2202	УИК №2203	УИК №2204	УИК №2205	УИК №2206	УИК №2207	УИК №2208	УИК №2209	УИК №2210	УИК №2211	УИК №2212	УИК №2213	УИК №2214	УИК №2215	УИК №2216	УИК №2217	УИК №2218	УИК №2219	УИК №2220	УИК №2221	УИК №2222	УИК №2223	УИК №2224	УИК №2225	УИК №2226	УИК №2227	УИК №2228	УИК №2229	УИК №2230	УИК №2231	УИК №2232	УИК №2233	УИК №2234	УИК №2235	УИК №2236	УИК №2237	УИК №2238	УИК №2239	УИК №2240	УИК №2241									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	24500	1581	1318	1621	1455	786	1081	145	285	197	263	248	1525	1750	840	788	470	1053	350	370	242	443	283	500	596	321	603	319	434	272	164	240	234	263	303	177	257	1442	320	94	633	234									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	23635	1500	1250	1600	1450	750	1000	145	250	200	250	250	1500	1750	800	750	450	1050	350	350	200	450	250	500	600	300	600	300	400	250	150	200	200	250	300	150	250	1400	300	90	650	200									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	261	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	1	0	0	0	24	0	0	4	46	0	0	0	0	0	0	0	0	6	50	0	0	54	62									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	9133	589	496	633	579	188	318	59	101	116	118	111	510	605	246	250	220	333	99	103	136	194	131	212	346	172	254	132	206	90	76	125	148	127	147	80	90	404	116	49	171	53									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1057	14	55	36	23	49	11	5	10	32	18	16	60	52	23	35	28	26	66	61	5	37	0	18	36	13	30	14	16	13	6	9	5	22	9	11	36	66	14	4	63	10									
6	Число погашенных избирательных бюллетеней	13184	897	699	931	848	513	671	81	139	52	114	123	930	1093	531	465	202	677	185	185	59	219	119	246	218	115	312	108	178	147	68	66	47	101	144	59	118	880	170	37	362	75									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1318	14	55	36	23	49	11	5	10	32	18	16	60	52	23	35	28	40	66	62	5	37	0	42	36	13	34	60	16	13	6	9	5	22	9	11	42	116	14	4	117	72									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	9133	589	496	633	579	188	318	59	101	116	118	111	510	605	246	250	220	333	99	103	136	194	131	212	346	172	254	132	206	90	76	125	148	127	147	80	90	404	116	49	171	53									
9	Число недействительных избирательных бюллетеней	413	24	25	24	24	8	16	0	3	3	10	4	26	34	17	11	2	7	8	7	0	31	3	11	6	3	14	1	14	5	4	7	1	8	9	7	1	19	4	1	6	5									
10	Число действительных избирательных бюллетеней	10038	579	526	645	578	229	313	64	108	145	126	123	544	623	252	274	246	366	157	158	141	200	128	243	376	182	274	191	208	98	78	127	152	141	147	84	131	501	126	52	282	120									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	655	40	30	40	40	20	30	5	10	5	10	10	40	40	20	20	10	20	10	10	10	10	10	10	15	15	10	10	10	10	5	5	5	10	15	5	10	40	10	5	20	5									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	228	14	9	10	10	10	4	0	4	5	10	10	9	17	2	2	0	2	1	5	2	9	10	6	15	15	1	2	0	0	0	3	2	0	13	5	1	6	0	1	13	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	86	6	15	1	1	2	4	0	2	0	1	1	3	2	0	2	1	2	0	1	4	4	2	2	3	1	2	3	2	3	1	0	1	0	1	2	5	3	0	0	2	1									
14	Число погашенных неиспользованных открепительных удостоверений	427	26	21	30	30	10	26	5	6	0	0	0	31	23	18	18	10	18	9	5	8	1	0	4	0	0	9	8	10	10	5	2	3	10	2	0	9	34	10	4	7	5									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	30	1	2	0	2	1	4	0	0	0	0	0	2	1	0	3	2	2	0	0	2	0	0	1	1	0	0	1	3	0	0	0	0	1	0	0	0	0	0	0	1	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																				
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	79	6	5	6	7	3	3	0	1	1	3	1	8	5	1	0	2	2	3	0	0	1	3	1	2	0	1	1	1	2	1	0	0	0	1	1	0	3	1	1	2	0									
		0.76%	0.99%	0.91%	0.90%	1.16%	1.27%	0.91%	0.00%	0.90%	0.68%	2.21%	0.79%	1.40%	0.76%	0.37%	0.00%	0.81%	0.54%	1.82%	0.00%	0.00%	0.43%	2.29%	0.39%	0.52%	0.00%	0.35%	0.52%	0.45%	1.94%	1.22%	0.00%	0.00%	0.00%	0.64%	1.10%	0.00%	0.58%	0.77%	1.89%	0.69%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	444	18	14	33	16	5	16	2	4	6	5	6	29	39	9	11	7	18	1	2	3	34	4	11	15	10	13	9	9	4	3	5	13	10	10	7	6	12	4	0	11	10									
		4.25%	2.99%	2.54%	4.93%	2.66%	2.11%	4.86%	3.13%	3.60%	4.05%	3.68%	4.72%	5.09%	5.94%	3.35%	3.86%	2.82%	4.83%	0.61%	1.21%	2.13%	14.72%	3.05%	4.33%	3.93%	5.41%	4.51%	4.69%	4.05%	3.88%	3.66%	3.73%	8.50%	6.71%	6.41%	7.69%	4.55%	2.31%	3.08%	0.00%	3.82%	8.00%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	204	8	4	16	15	4	4	0	4	0	0	2	12	21	6	6	1	5	4	6	5	1	5	2	4	1	2	4	7	6	1	10	3	4	2	3	6	9	3	2	3	3									
		1.95%	1.33%	0.73%	2.39%	2.49%	1.69%	1.22%	0.00%	3.60%	0.00%	0.00%	1.57%	2.11%	3.20%	2.23%	2.11%	0.40%	1.34%	2.42%	3.64%	3.55%	0.43%	3.82%	0.79%	1.05%	0.54%	0.69%	2.08%	3.15%	5.83%	1.22%	7.46%	1.96%	2.68%	1.28%	3.30%	4.55%	1.73%	2.31%	3.77%	1.04%	2.40%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	4922	262	205	268	275	84	141	24	45	101	73	65	218	221	93	149	178	167	86	83	83	123	60	137	224	107	132	95	120	58	44	64	79	84	75	40	65	258	77	35	168	56									
		47.10%	43.45%	37.21%	40.06%	45.68%	35.44%	42.86%	37.50%	40.54%	68.24%	53.68%	51.18%	38.25%	33.64%	34.57%	52.28%	71.77%	44.77%	52.12%	50.30%	58.87%	53.25%	45.80%	53.94%	58.64%	57.84%	45.83%	49.48%	54.05%	56.31%	53.66%	47.76%	51.63%	56.38%	48.08%	43.96%	49.24%	49.62%	59.23%	66.04%	58.33%	44.80%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	33	2	1	1	0	2	1	0	0	0	1	0	1	3	1	4	2	2	1	1	0	0	0	2	0	0	2	0	0	1	0	1	0	0	0	0	0	2	1	0	0	1									
		0.32%	0.33%	0.18%	0.15%	0.00%	0.84%	0.30%	0.00%	0.00%	0.00%	0.74%	0.00%	0.18%	0.46%	0.37%	1.40%	0.81%	0.54%	0.61%	0.61%	0.00%	0.00%	0.00%	0.79%	0.00%	0.00%	0.69%	0.00%	0.00%	0.97%	0.00%	0.75%	0.00%	0.00%	0.00%	0.00%	0.00%	0.38%	0.77%	0.00%	0.00%	0.80%									
24	"6. Политическая партия ""Гражданская Платформа"""	36	2	1	2	1	1	1	4	0	1	1	0	3	1	1	0	3	0	0	2	1	1	0	1	2	0	1	0	0	0	1	0	2	0	1	0	0	1	0	0	0	1									
		0.34%	0.33%	0.18%	0.30%	0.17%	0.42%	0.30%	6.25%	0.00%	0.68%	0.74%	0.00%	0.53%	0.15%	0.37%	0.00%	1.21%	0.00%	0.00%	1.21%	0.71%	0.43%	0.00%	0.39%	0.52%	0.00%	0.35%	0.00%	0.00%	0.00%	1.22%	0.00%	1.31%	0.00%	0.64%	0.00%	0.00%	0.19%	0.00%	0.00%	0.00%	0.80%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	1981	124	166	158	113	69	75	17	25	12	10	13	144	129	77	54	19	110	31	36	21	18	29	28	39	15	39	41	26	17	12	31	20	9	20	17	15	125	19	3	40	15									
		18.96%	20.56%	30.13%	23.62%	18.77%	29.11%	22.80%	26.56%	22.52%	8.11%	7.35%	10.24%	25.26%	19.63%	28.62%	18.95%	7.66%	29.49%	18.79%	21.82%	14.89%	7.79%	22.14%	11.02%	10.21%	8.11%	13.54%	21.35%	11.71%	16.50%	14.63%	23.13%	13.07%	6.04%	12.82%	18.68%	11.36%	24.04%	14.62%	5.66%	13.89%	12.00%									
