Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																
Дата голосования: 02.12.2007																
																
Наименование Избирательной комиссии:    Поддорская																
																
Сводная таблица результатов выборов																
																
		Сумма	УИК №409	УИК №410	УИК №411	УИК №412	УИК №413	УИК №414	УИК №415	УИК №416	УИК №417					
1	"Число избирателей, внесенных в списки избирателей"	4071	525	266	238	478	193	198	179	1625	369					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	4000	540	260	230	455	195	230	180	1550	360					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	2457	280	168	128	295	120	108	92	1060	206					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	460	93	31	34	65	31	22	34	92	58					
6	Число погашенных избирательных бюллетеней	1083	167	61	68	95	44	100	54	398	96					
7	Число избирательных бюллетеней в переносных ящиках для голосования	460	93	31	34	65	31	22	34	92	58					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	2457	280	168	128	295	120	108	92	1060	206					
9	Число недействительных избирательных бюллетеней	18	3	1	1	0	0	2	0	9	2					
10	Число действительных избирательных бюллетеней	2899	370	198	161	360	151	128	126	1143	262					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	88	15	5	5	10	5	5	5	28	10					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	48	15	1	1	2	3	5	0	11	10					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	25	5	2	0	2	2	0	1	11	2					
14	Число погашенных неиспользованных открепительных удостоверений	40	0	4	4	8	2	0	5	17	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	12	0	0	0	1	0	0	0	11	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0					
																
18	1.Политическая партия «Аграрная партия России»	78	8	6	3	10	2	2	4	37	6					
		2.67%	2.14%	3.02%	1.85%	2.78%	1.32%	1.54%	3.17%	3.21%	2.27%					
19	2.Всероссийская политическая партия «Гражданская Сила»	17	5	0	1	0	0	1	0	10	0					
		0.58%	1.34%	0.00%	0.62%	0.00%	0.00%	0.77%	0.00%	0.87%	0.00%					
20	3.Политическая партия «Демократическая партия России»	3	0	0	0	0	0	0	0	2	1					
		0.10%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.17%	0.38%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	225	43	8	8	27	6	12	7	102	12					
		7.71%	11.53%	4.02%	4.94%	7.50%	3.97%	9.23%	5.56%	8.85%	4.55%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	8	3	0	0	0	1	0	1	3	0					
		0.27%	0.80%	0.00%	0.00%	0.00%	0.66%	0.00%	0.79%	0.26%	0.00%					
23	6.Политическая партия «Партия социальной справедливости»	8	4	1	0	1	0	0	0	1	1					
		0.27%	1.07%	0.50%	0.00%	0.28%	0.00%	0.00%	0.00%	0.09%	0.38%					
24	7.Политическая партия «Либерально-демократическая партия России»	255	29	12	7	43	6	4	5	135	14					
		8.74%	7.77%	6.03%	4.32%	11.94%	3.97%	3.08%	3.97%	11.72%	5.30%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	151	17	1	5	14	4	5	1	89	15					
		5.18%	4.56%	0.50%	3.09%	3.89%	2.65%	3.85%	0.79%	7.73%	5.68%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	22	2	0	2	0	2	1	2	10	3					
		0.75%	0.54%	0.00%	1.23%	0.00%	1.32%	0.77%	1.59%	0.87%	1.14%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	2119	256	170	133	263	130	103	106	750	208					
		72.64%	68.63%	85.43%	82.10%	73.06%	86.09%	79.23%	84.13%	65.10%	78.79%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	13	3	0	2	2	0	0	0	4	2					
		0.45%	0.80%	0.00%	1.23%	0.56%	0.00%	0.00%	0.00%	0.35%	0.76%					
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
