Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																
Дата голосования: 04.12.2011																
																
Наименование Избирательной комиссии:    Поддорская																
																
Сводная таблица результатов выборов																
																
		Сумма	УИК №405	УИК №406	УИК №407	УИК №408	УИК №409	УИК №410	УИК №411	УИК №412	УИК №413					
1	"Число избирателей, внесенных в список избирателей"	3795	460	229	153	232	449	168	1594	172	338					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	3970	480	246	160	246	455	187	1645	186	365					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	2102	229	110	85	142	239	95	949	91	162					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	429	79	33	20	26	65	33	91	23	59					
6	Число погашенных избирательных бюллетеней	1439	172	103	55	78	151	59	605	72	144					
7	Число избирательных бюллетеней в переносных ящиках для голосования	429	79	33	20	26	65	33	91	23	59					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	2102	229	110	85	142	239	95	949	91	162					
9	Число недействительных избирательных бюллетеней	48	12	1	2	5	6	3	16	2	1					
10	Число действительных избирательных бюллетеней	2483	296	142	103	163	298	125	1024	112	220					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	111	14	7	7	7	7	13	32	9	15					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	90	14	5	5	5	3	13	23	7	15					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	47	4	2	1	2	7	4	21	3	3					
14	Число погашенных неиспользованных открепительных удостоверений	21	0	2	2	2	4	0	9	2	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	18	0	2	0	0	1	0	12	1	2					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0					
																
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	496	43	19	10	22	57	15	270	26	34					
		19.60%	13.96%	13.29%	9.52%	13.10%	18.75%	11.72%	25.96%	22.81%	15.38%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	222	17	10	12	8	24	14	96	11	30					
		8.77%	5.52%	6.99%	11.43%	4.76%	7.89%	10.94%	9.23%	9.65%	13.57%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	16	2	1	1	1	1	0	10	0	0					
		0.63%	0.65%	0.70%	0.95%	0.60%	0.33%	0.00%	0.96%	0.00%	0.00%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	396	101	23	22	10	42	9	150	21	18					
		15.65%	32.79%	16.08%	20.95%	5.95%	13.82%	7.03%	14.42%	18.42%	8.14%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	22	4	0	0	5	4	0	8	1	0					
		0.87%	1.30%	0.00%	0.00%	2.98%	1.32%	0.00%	0.77%	0.88%	0.00%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	1318	129	89	57	117	170	87	479	53	137					
		52.07%	41.88%	62.24%	54.29%	69.64%	55.92%	67.97%	46.06%	46.49%	61.99%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	13	0	0	1	0	0	0	11	0	1					
		0.51%	0.00%	0.00%	0.95%	0.00%	0.00%	0.00%	1.06%	0.00%	0.45%					
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
