Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																				
Дата голосования: 04.12.2011																																																																				
																																																																				
"Наименование Избирательной комиссии:    Самара, Советская"																																																																				
																																																																				
Сводная таблица результатов выборов																																																																				
																																																																				
		Сумма	УИК №923	УИК №924	УИК №925	УИК №926	УИК №927	УИК №928	УИК №929	УИК №930	УИК №931	УИК №932	УИК №933	УИК №934	УИК №935	УИК №936	УИК №937	УИК №938	УИК №939	УИК №940	УИК №941	УИК №942	УИК №943	УИК №944	УИК №945	УИК №946	УИК №947	УИК №948	УИК №949	УИК №950	УИК №951	УИК №952	УИК №953	УИК №954	УИК №955	УИК №956	УИК №957	УИК №958	УИК №959	УИК №960	УИК №961	УИК №962	УИК №963	УИК №964	УИК №965	УИК №966	УИК №967	УИК №968	УИК №969	УИК №970	УИК №971	УИК №972	УИК №973	УИК №974	УИК №975	УИК №976	УИК №977	УИК №978	УИК №979	УИК №980	УИК №981	УИК №982	УИК №983					
1	"Число избирателей, внесенных в список избирателей"	139721	2745	2156	2681	2695	1945	2253	2368	2450	2267	2650	2165	2270	2097	2092	1910	2154	2129	1954	1278	2034	2743	1471	3050	2526	2410	2670	2073	3036	2719	2824	3101	2997	2877	2700	2564	2473	2425	2039	1866	2209	2286	2709	2663	2348	2080	2660	2616	2567	2632	2774	2878	2248	2524	2158	1192	2488	1992	1957	843	816	224					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	130060	2500	2000	2500	2500	1900	2000	2000	2000	2000	2500	2000	2000	2000	2000	1900	2000	2000	2500	1000	1800	2400	1300	2500	2500	2000	2500	1900	2900	2500	2500	2800	2800	2700	2700	2400	2300	2300	1900	1700	2000	2000	2500	2500	2300	2000	2500	2500	2500	2500	2700	2500	2000	2400	2000	1100	2500	2000	1800	800	860	400					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	61193	1082	982	1190	1151	838	883	1046	942	921	1122	961	1019	966	1003	851	769	741	935	661	1000	1339	793	1356	1227	1054	1111	893	1294	951	1234	1374	1404	1257	1272	1235	1078	984	988	949	1102	1162	1104	1091	1023	884	1196	1087	892	1223	1251	1179	929	1171	696	466	1069	688	776	340	816	192					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1769	24	37	33	21	35	33	22	34	45	37	40	46	33	35	39	44	33	23	12	16	20	4	34	35	37	25	22	28	21	39	29	13	41	37	15	19	23	32	20	25	25	41	28	25	33	44	45	25	51	41	26	42	41	26	16	24	11	49	15	0	0					
6	Число погашенных избирательных бюллетеней	67095	1394	981	1277	1328	1027	1084	932	1024	1034	1341	999	935	1001	962	1010	1187	1226	1542	327	784	1041	503	1110	1238	909	1364	985	1578	1528	1227	1397	1383	1402	1391	1150	1203	1293	880	731	873	813	1352	1381	1252	1083	1260	1368	1583	1226	1408	1295	1029	1188	1278	618	1407	1301	975	445	44	208					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1769	24	37	33	21	35	33	22	34	45	37	40	46	33	35	39	44	33	23	12	16	20	4	34	35	37	25	22	28	21	39	29	13	41	37	15	19	23	32	20	25	25	41	28	25	33	44	45	25	51	41	26	42	41	26	16	24	11	49	15	0	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	61148	1079	980	1189	1151	838	883	1046	942	921	1122	961	1019	966	999	851	769	740	935	661	1000	1336	793	1356	1225	1054	1110	871	1294	951	1233	1374	1401	1257	1272	1235	1078	983	988	949	1102	1162	1104	1090	1023	884	1196	1087	892	1223	1251	1179	929	1171	696	466	1069	688	776	340	816	192					
9	Число недействительных избирательных бюллетеней	1317	17	13	16	28	0	23	17	17	19	5	19	42	18	29	14	15	16	12	12	25	32	17	33	35	31	12	18	30	26	30	28	31	38	31	28	29	20	33	22	21	26	18	22	24	24	35	29	25	31	30	31	13	19	11	13	18	17	17	7	1	4					
10	Число действительных избирательных бюллетеней	61600	1086	1004	1206	1144	873	893	1051	959	947	1154	982	1023	981	1005	876	798	757	946	661	991	1324	780	1357	1225	1060	1123	875	1292	946	1242	1375	1383	1260	1278	1222	1068	986	987	947	1106	1161	1127	1096	1024	893	1205	1103	892	1243	1262	1174	958	1193	711	469	1075	682	808	348	815	188					
