Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																																						
Дата голосования: 18.09.2016																																																																																						
																																																																																						
"Наименование Избирательной комиссии:    Казань, Ново-Савиновская"																																																																																						
																																																																																						
Сводная таблица итогов голосования по федеральному избирательному округу																																																																																						
																																																																																						
		Сумма	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240	УИК №241	УИК №242	УИК №243	УИК №244	УИК №245	УИК №246	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	170288	2017	1746	1904	2017	2168	2504	1709	1718	2044	1876	1932	2093	2197	2263	2159	1863	1983	2205	2210	2305	2271	2313	2553	2222	2490	2580	2494	2337	2171	2375	2387	2228	1665	2589	2584	2614	2171	2345	2230	2425	2152	2761	2074	2321	2077	2207	2346	2094	2646	2756	2436	2486	2545	2245	2440	2805	2149	2268	2720	2585	2703	2658	1661	2421	2735	2095	2733	2819	2861	2733	2820	556	120	2927	2376									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	165220	2000	1700	1900	2000	2100	2400	1700	1700	2000	1800	1900	2000	2100	2200	2100	1800	1900	2200	2100	2200	2200	2300	2500	2200	2400	2500	2400	2300	2100	2300	2300	2200	1600	2500	2500	2500	2100	2300	2200	2400	2100	2700	2000	2200	2000	2200	2100	2000	2500	2700	2400	2400	2500	2200	2300	2700	2100	2200	2700	2500	2600	2600	1600	2400	2600	2000	2600	2800	2800	2700	2700	600	120	2700	2300									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	86325	1110	859	956	903	1165	1329	748	874	1071	913	1028	1120	1144	1320	1180	797	861	1163	1185	1169	1120	1231	1276	1147	1224	1411	1243	1204	1038	1256	1209	1089	864	1330	1138	1067	1088	1186	1433	1190	1065	1389	1027	1048	1086	1009	1163	1069	1303	1413	1235	1280	1264	1113	1159	1171	1228	1284	1428	1193	1401	1347	859	1392	1389	1134	1454	1419	1505	1476	1488	401	46	1222	1226									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1333	55	27	32	32	21	17	93	12	19	27	7	34	12	9	16	15	6	15	4	33	21	15	16	13	10	34	15	18	10	16	7	14	6	16	18	14	8	11	7	7	16	9	17	6	3	18	4	5	7	20	25	21	22	14	26	3	1	7	10	11	8	9	4	4	3	7	12	6	11	22	5	155	73	4	3									
6	Число погашенных избирательных бюллетеней	77562	835	814	912	1065	914	1054	859	814	910	860	865	846	944	871	904	988	1033	1022	911	998	1059	1054	1208	1040	1166	1055	1142	1078	1052	1028	1084	1097	730	1154	1344	1419	1004	1103	760	1203	1019	1302	956	1146	911	1173	933	926	1190	1267	1140	1099	1214	1073	1115	1526	871	909	1262	1296	1191	1244	737	1004	1208	859	1134	1375	1284	1202	1207	44	1	1474	1071									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1333	55	27	32	32	21	17	93	12	19	27	7	34	12	9	16	15	6	15	4	33	21	15	16	13	10	34	15	18	10	16	7	14	6	16	18	14	8	11	7	7	16	9	17	6	3	18	4	5	7	20	25	21	22	14	26	3	1	7	10	11	8	9	4	4	3	7	12	6	11	22	5	155	73	4	3									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	86016	1107	858	954	896	1160	1325	746	873	1066	911	1025	1117	1142	1314	1178	796	860	1160	1181	1167	1115	1225	1274	1142	1223	1409	1235	1202	1037	1255	1208	1084	854	1311	1129	1064	1086	1184	1415	1171	1056	1386	1025	1043	1083	1008	1160	1064	1298	1411	1222	1275	1260	1107	1157	1170	1226	1280	1427	1189	1398	1343	856	1386	1387	1130	1451	1418	1500	1470	1483	401	46	1222	1219									
9	Число недействительных избирательных бюллетеней	1211	10	12	10	19	15	22	24	11	11	7	7	2	7	18	16	13	8	0	33	12	11	25	11	11	50	65	18	10	3	8	25	13	39	22	20	39	25	17	10	11	9	5	9	24	17	30	2	15	15	28	29	5	2	12	5	17	28	27	23	41	10	11	10	16	2	15	3	13	20	20	11	8	0	19	20									
10	Число действительных избирательных бюллетеней	86138	1152	873	976	909	1166	1320	815	874	1074	931	1025	1149	1147	1305	1178	798	858	1175	1152	1188	1125	1215	1279	1144	1183	1378	1232	1210	1044	1263	1190	1085	821	1305	1127	1039	1069	1178	1412	1167	1063	1390	1033	1025	1069	996	1162	1054	1290	1403	1218	1291	1280	1109	1178	1156	1199	1260	1414	1159	1396	1341	850	1374	1388	1122	1460	1411	1491	1472	1477	548	119	1207	1202									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	3660	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	60	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	0	0	50	50									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	2448	36	35	21	29	34	27	24	27	38	19	30	27	27	34	33	22	30	48	19	27	51	49	50	25	23	39	29	26	26	34	29	38	33	35	48	45	28	28	49	44	29	45	23	27	26	37	31	21	37	47	40	35	42	21	28	29	29	34	49	45	27	37	28	31	30	20	34	49	47	48	38	0	0	37	31									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	1677	7	7	10	18	11	16	20	4	7	15	14	16	12	22	18	1	16	0	16	20	20	14	32	11	17	34	5	30	11	36	33	21	24	4	31	14	15	20	7	9	3	24	11	20	9	22	163	49	95	18	14	2	5	3	36	23	10	12	22	10	0	19	26	0	40	2	11	13	12	22	11	218	69	36	9									
14	Число погашенных неиспользованных открепительных удостоверений	1212	14	15	29	21	16	23	26	23	12	31	20	23	23	16	17	28	20	2	31	23	9	1	0	25	27	11	21	24	24	16	21	12	17	15	2	5	22	22	1	6	21	5	27	23	24	13	19	29	13	3	10	15	8	29	22	21	21	16	1	5	23	13	22	19	20	30	16	1	3	2	12	0	0	13	19									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	148	2	2	1	0	4	1	2	0	1	1	0	0	3	1	3	2	3	1	2	1	3	0	1	2	2	2	5	0	3	1	1	2	3	1	0	0	1	1	1	1	3	3	0	1	1	1	1	0	5	5	3	2	1	2	1	3	1	5	3	4	5	2	3	3	3	1	6	4	4	3	1	0	0	3	5									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																																						
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	754	13	8	6	18	12	4	17	2	11	2	7	4	8	10	30	3	6	6	13	3	11	10	2	11	25	12	4	13	8	13	10	0	7	5	17	20	6	16	4	2	11	7	2	20	3	30	17	10	10	3	3	10	13	3	2	28	12	11	2	20	17	5	8	9	12	7	24	3	2	7	6	6	1	41	10									
