Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																														
Дата голосования: 02.12.2007																														
																														
Наименование Избирательной комиссии:    Болховская																														
																														
Сводная таблица результатов выборов																														
																														
		Сумма	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196	УИК №197	УИК №198	УИК №199					
1	"Число избирателей, внесенных в списки избирателей"	15298	150	525	399	262	132	295	245	467	195	207	233	212	377	466	490	176	331	165	320	2360	2518	2103	2670					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	13915	140	500	400	260	135	290	240	450	190	210	220	210	360	460	480	170	320	160	320	2100	2200	1900	2200					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	8915	87	316	273	127	87	186	162	230	100	128	126	117	164	258	222	102	157	114	152	1475	1458	1253	1621					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	2240	40	132	78	109	44	87	46	134	80	47	65	71	160	94	122	42	116	34	120	123	239	138	119					
6	Число погашенных избирательных бюллетеней	2760	13	52	49	24	4	17	32	86	10	35	29	22	36	108	136	26	47	12	48	502	503	509	460					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2240	40	132	78	109	44	87	46	134	80	47	65	71	160	94	122	42	116	34	120	123	239	138	119					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	8915	87	316	273	127	87	186	162	230	100	128	126	117	164	258	222	102	157	114	152	1475	1458	1253	1621					
9	Число недействительных избирательных бюллетеней	86	1	1	12	1	0	0	6	0	0	2	0	1	4	0	3	1	0	0	1	9	7	26	11					
10	Число действительных избирательных бюллетеней	11069	126	447	339	235	131	273	202	364	180	173	191	187	320	352	341	143	273	148	271	1589	1690	1365	1729					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	278	5	10	7	5	5	7	7	10	5	5	5	5	10	10	10	1	11	5	10	35	30	40	40					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	154	0	10	2	0	5	4	2	1	1	0	2	3	1	1	2	0	10	0	10	33	20	15	32					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	73	5	3	4	4	2	1	3	2	2	3	2	2	4	0	1	2	3	4	4	7	4	4	7					
14	Число погашенных неиспользованных открепительных удостоверений	124	5	0	5	5	0	3	5	9	4	5	3	2	9	9	8	1	1	5	0	2	10	25	8					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	13	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	2	3	6	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
