Выборы Президента Российской Федерации																																						
																																						
Наименование Избирательной комиссии:    Андреапольская																																						
																																						
Итоги голосования 																																						
																																						
		Сумма	УИК  1	УИК  2	УИК  3	УИК  4	УИК  5	УИК  6	УИК  7	УИК  8	УИК  9	УИК  10	УИК  11	УИК  12	УИК  13	УИК  14	УИК  15	УИК  16	УИК  17	УИК  18	УИК  19	УИК  20	УИК  21	УИК  22	УИК  23	УИК  24	УИК  25	УИК  26	УИК  27	УИК  28	УИК  29	УИК  30	УИК  31					
1	"Число избирателей, внесенных в список"	12283	794	722	375	563	682	735	92	133	374	970	159	96	698	147	122	185	84	212	118	361	206	304	152	283	259	123	804	737	607	778	408					
2	Число полученных избирательных бюллетеней	12004	770	700	360	540	650	725	91	136	350	950	161	97	680	149	120	191	86	210	126	350	205	300	153	275	250	129	775	725	590	760	400					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	5920	332	319	177	278	357	342	17	84	215	411	76	60	371	79	79	62	64	101	64	149	62	109	83	129	172	60	421	379	259	405	204					
5	"Число избирательных бюллетеней, выданных вне помещения"	1570	53	22	18	38	12	29	56	0	9	14	50	20	158	48	24	87	16	75	48	131	107	111	55	125	53	34	3	5	90	36	43					
6	Число погашенных избирательных бюллетеней	4514	385	359	165	224	281	354	18	52	126	525	35	17	151	22	17	42	6	34	14	70	36	80	15	21	25	35	351	341	241	319	153					
7	Число избирательных бюллетеней в переносных ящиках	1570	53	22	18	38	12	29	56	0	9	14	50	20	158	48	24	87	16	75	48	131	107	111	55	125	53	34	3	5	90	36	43					
8	Число бюллетеней в стационарных ящиках для голосования	5920	332	319	177	278	357	342	17	84	215	411	76	60	371	79	79	62	64	101	64	149	62	109	83	129	172	60	421	379	259	405	204					
9	Число недействительных избирательных бюллетеней	25	1	2	3	3	1	2	0	0	1	1	1	0	4	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	2					
10	Число действительных избирательных бюллетеней	7465	384	339	192	313	368	369	73	84	223	424	125	80	525	126	103	149	80	176	112	279	169	220	138	254	224	94	424	384	349	440	245					
11	Число полученных открепительных  удостоверений	166	6	8	3	5	11	8	3	3	3	8	4	4	8	4	4	4	4	4	6	4	4	4	5	4	4	4	8	11	8	6	4					
12	Число выданных открепительных удостоверений	67	3	2	2	1	9	1	0	0	2	8	1	0	1	4	1	0	0	0	6	0	0	4	1	2	1	3	1	10	0	4	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	44	4	1	1	0	1	1	6	2	0	4	0	0	1	2	3	1	1	1	0	0	1	0	1	0	0	0	6	2	0	4	1					
14	Число неиспользованных открепительных удостоверений	99	3	6	1	4	2	7	3	3	1	0	3	4	7	0	3	4	4	4	0	4	4	0	4	2	3	1	7	1	8	2	4					
15	"Число открепительных удостоверений, выданных в ТИК"	6	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																						
18	. Глазьев Сергей Юрьевич	186	9	9	9	9	8	13	1	1	9	13	0	1	4	3	3	0	2	0	0	3	2	4	7	8	4	0	24	17	14	6	3					
		2.48%	2.34%	2.64%	4.62%	2.85%	2.17%	3.50%	1.37%	1.19%	4.02%	3.06%	0.00%	1.25%	0.76%	2.36%	2.91%	0.00%	2.50%	0.00%	0.00%	1.07%	1.18%	1.82%	5.07%	3.15%	1.78%	0.00%	5.66%	4.43%	4.01%	1.36%	1.21%					
19	. Малышкин Олег Александрович	169	2	16	3	11	8	9	0	1	6	22	3	3	7	3	2	2	3	4	0	11	2	6	0	0	3	1	9	12	5	6	9					
		2.26%	0.52%	4.69%	1.54%	3.48%	2.17%	2.43%	0.00%	1.19%	2.68%	5.18%	2.38%	3.75%	1.32%	2.36%	1.94%	1.34%	3.75%	2.27%	0.00%	3.93%	1.18%	2.73%	0.00%	0.00%	1.33%	1.06%	2.12%	3.12%	1.43%	1.36%	3.64%					
20	. Миронов Сергей Михайлович	60	1	0	1	3	4	3	0	0	5	2	3	0	1	1	0	4	0	1	1	0	4	0	3	5	2	0	3	4	2	5	2					
		0.80%	0.26%	0.00%	0.51%	0.95%	1.08%	0.81%	0.00%	0.00%	2.23%	0.47%	2.38%	0.00%	0.19%	0.79%	0.00%	2.68%	0.00%	0.57%	0.89%	0.00%	2.37%	0.00%	2.17%	1.97%	0.89%	0.00%	0.71%	1.04%	0.57%	1.13%	0.81%					
21	. Путин Владимир Владимирович	5128	282	209	133	210	237	228	51	71	161	290	80	46	364	73	79	104	57	137	80	220	106	186	112	178	170	70	271	247	235	269	172					
