Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																						
Дата голосования: 02.12.2007																																																						
																																																						
Наименование Избирательной комиссии:    Кинель-Черкасская																																																						
																																																						
Сводная таблица результатов выборов																																																						
																																																						
		Сумма	УИК №261	УИК №262	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267	УИК №268	УИК №269	УИК №270	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289	УИК №290	УИК №291	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307					
1	"Число избирателей, внесенных в списки избирателей"	37557	759	107	702	263	461	242	189	250	964	533	381	1637	1522	970	845	266	179	1460	521	1709	844	1201	1085	2072	1079	148	578	571	1050	1073	949	1010	607	201	433	373	1366	352	1715	444	201	1133	1493	1490	772	1076	281					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	36400	730	100	690	260	440	230	180	240	950	530	380	1570	1480	960	840	250	170	1460	500	1690	820	1190	1060	1790	1050	140	560	550	1030	1000	890	970	600	190	420	370	1300	340	1680	430	190	1110	1490	1470	760	1070	280					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	19545	353	78	396	143	286	172	114	149	564	295	212	830	769	532	393	154	110	806	248	1021	436	649	605	1070	484	91	307	328	458	529	556	461	368	140	169	174	703	214	894	217	129	469	734	599	343	658	135					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	2123	63	9	58	47	22	21	10	18	109	57	57	138	62	33	39	6	10	36	39	36	30	27	40	81	28	0	40	44	71	64	52	69	45	16	87	44	24	20	87	36	7	65	57	67	52	62	38					
6	Число погашенных избирательных бюллетеней	14732	314	13	236	70	132	37	56	73	277	178	111	602	649	395	408	90	50	618	213	633	354	514	415	639	538	49	213	178	501	407	282	440	187	34	164	152	573	106	699	177	54	576	699	804	365	350	107					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2123	63	9	58	47	22	21	10	18	109	57	57	138	62	33	39	6	10	36	39	36	30	27	40	81	28	0	40	44	71	64	52	69	45	16	87	44	24	20	87	36	7	65	57	67	52	62	38					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	19545	353	78	396	143	286	172	114	149	564	295	212	830	769	532	393	154	110	806	248	1021	436	649	605	1070	484	91	307	328	458	529	556	461	368	140	169	174	703	214	894	217	129	469	734	599	343	658	135					
9	Число недействительных избирательных бюллетеней	216	8	0	6	3	9	5	3	5	1	0	7	4	4	4	2	5	0	7	4	7	8	7	8	16	5	0	0	0	3	2	6	4	1	2	8	2	10	3	8	3	4	3	9	9	3	6	2					
10	Число действительных избирательных бюллетеней	21452	408	87	448	187	299	188	121	162	672	352	262	964	827	561	430	155	120	835	283	1050	458	669	637	1135	507	91	347	372	526	591	602	526	412	154	248	216	717	231	973	250	132	531	782	657	392	714	171					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	690	13	2	13	5	8	5	3	4	17	9	9	28	27	17	15	5	3	26	9	30	15	22	19	59	19	3	10	10	19	18	16	17	11	4	7	6	24	6	31	8	4	20	26	25	14	19	10					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	422	3	0	6	1	4	5	3	4	5	2	9	14	17	15	8	5	0	26	0	30	14	22	11	54	8	0	3	0	8	6	4	5	11	0	0	4	22	6	12	2	0	8	19	18	5	13	10					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	259	19	2	4	4	6	10	3	4	2	1	6	10	18	6	1	3	4	6	4	12	5	6	4	9	5	4	2	3	7	4	5	3	7	4	3	3	6	4	11	1	3	6	3	10	2	9	5					
14	Число погашенных неиспользованных открепительных удостоверений	268	10	2	7	4	4	0	0	0	12	7	0	14	10	2	7	0	3	0	9	0	1	0	8	5	11	3	7	10	11	12	12	12	0	4	7	2	2	0	19	6	4	12	7	7	9	6	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	10	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	1	0	0	1	2	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																						
18	1.Политическая партия «Аграрная партия России»	365	5	0	1	2	6	5	0	5	9	6	2	22	8	9	2	2	0	16	7	27	9	11	9	13	10	5	1	19	10	4	5	6	2	3	6	3	26	6	26	7	1	7	12	5	9	14	2					
		1.68%	1.20%	0.00%	0.22%	1.05%	1.95%	2.59%	0.00%	2.99%	1.34%	1.70%	0.74%	2.27%	0.96%	1.59%	0.46%	1.25%	0.00%	1.90%	2.44%	2.55%	1.93%	1.63%	1.40%	1.13%	1.95%	5.49%	0.29%	5.11%	1.89%	0.67%	0.82%	1.13%	0.48%	1.92%	2.34%	1.38%	3.58%	2.56%	2.65%	2.77%	0.74%	1.31%	1.52%	0.75%	2.28%	1.94%	1.16%					
