Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																											
Дата голосования: 18.09.2016																											
																											
Наименование Избирательной комиссии:    Приморская - 72																											
																											
Сводная таблица итогов голосования по федеральному избирательному округу																											
																											
		Сумма	УИК №745	УИК №746	УИК №748	УИК №749	УИК №763	УИК №764	УИК №765	УИК №766	УИК №767	УИК №768	УИК №777	УИК №779	УИК №780	УИК №781	УИК №783	УИК №869									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	7959	676	1538	376	1751	259	126	198	125	176	38	85	493	392	491	413	822									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	6485	500	1100	350	1300	245	120	173	118	160	39	80	450	350	450	400	650									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	41	0	0	0	0	0	0	0	3	27	0	0	0	0	0	11	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	2923	189	652	130	588	106	58	115	50	69	20	27	165	124	163	113	354									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	263	20	8	11	42	6	6	8	4	0	1	22	28	32	56	7	12									
6	Число погашенных избирательных бюллетеней	3258	291	440	209	670	133	56	50	61	64	18	31	257	194	231	269	284									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	304	20	8	11	42	6	6	8	7	27	1	22	28	32	56	18	12									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	2918	189	652	130	583	106	58	115	50	69	20	27	165	124	163	113	354									
9	Число недействительных избирательных бюллетеней	59	7	21	4	13	0	0	0	0	1	0	0	4	0	1	2	6									
10	Число действительных избирательных бюллетеней	3163	202	639	137	612	112	64	123	57	95	21	49	189	156	218	129	360									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	186	10	19	10	10	10	10	10	10	10	10	10	10	17	10	10	20									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	59	4	11	1	8	1	4	0	0	0	0	0	7	16	3	2	2									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	66	4	7	1	14	0	0	4	1	0	0	2	7	6	12	1	7									
14	Число погашенных неиспользованных открепительных удостоверений	127	6	8	9	2	9	6	10	10	10	10	10	3	1	7	8	18									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	5	0	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																											
