Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																						
Дата голосования: 18.09.2016																																						
																																						
"Наименование Избирательной комиссии:    Новороссийск, Пригородная"																																						
																																						
Сводная таблица итогов голосования по федеральному избирательному округу																																						
																																						
		Сумма	УИК №5901	УИК №5902	УИК №5903	УИК №5904	УИК №5905	УИК №5906	УИК №5907	УИК №5908	УИК №5909	УИК №5910	УИК №5911	УИК №5912	УИК №5913	УИК №5914	УИК №5915	УИК №5916	УИК №5917	УИК №5918	УИК №5919	УИК №5920	УИК №5921	УИК №5922	УИК №5923	УИК №5924	УИК №5925	УИК №5926	УИК №5927									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	38740	821	1545	685	683	489	924	459	1903	1904	2248	967	1854	1563	1810	284	330	1386	1445	2463	204	1943	1925	1898	2348	2296	2853	1510									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	36900	770	1350	830	680	470	940	440	1770	1650	2150	900	1750	1450	1700	290	330	1415	1400	2450	205	1780	1800	1800	2300	2200	2600	1480									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	28364	707	1115	628	630	457	882	421	1441	1187	1502	643	1336	1019	1101	218	288	1062	1107	1995	197	1570	1517	1314	1928	1117	1944	1038									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	2618	8	141	57	26	7	42	3	190	113	148	91	78	155	125	16	42	141	117	172	0	140	180	104	146	105	101	170									
6	Число погашенных избирательных бюллетеней	5874	55	94	145	24	6	16	16	139	350	500	166	336	276	474	56	0	212	176	283	8	70	103	382	226	934	555	272									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	2662	8	141	57	26	7	42	3	190	113	148	91	78	155	125	16	42	141	117	172	0	140	180	104	146	149	101	170									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	28364	707	1115	628	630	457	882	421	1441	1187	1502	643	1336	1019	1101	218	288	1062	1107	1995	197	1570	1517	1314	1928	1117	1944	1038									
9	Число недействительных избирательных бюллетеней	191	0	9	7	2	0	0	5	5	5	0	0	18	9	11	0	0	12	6	48	0	0	18	15	14	1	0	6									
10	Число действительных избирательных бюллетеней	30835	715	1247	678	654	464	924	419	1626	1295	1650	734	1396	1165	1215	234	330	1191	1218	2119	197	1710	1679	1403	2060	1265	2045	1202									
