Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																											
Дата голосования: 18.09.2016																											
																											
Наименование Избирательной комиссии:    Хотынецкая																											
																											
Сводная таблица итогов голосования по федеральному избирательному округу																											
																											
		Сумма	УИК №709	УИК №710	УИК №711	УИК №712	УИК №713	УИК №714	УИК №715	УИК №716	УИК №717	УИК №718	УИК №719	УИК №720	УИК №721	УИК №722	УИК №723	УИК №724									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	8530	593	200	180	403	658	279	470	222	482	404	357	519	333	1687	760	983									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	8670	604	203	185	407	675	286	495	228	482	405	365	525	340	1695	770	1005									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	4693	259	40	132	194	267	173	235	135	114	274	214	180	215	1079	480	702									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1414	165	110	27	47	184	47	43	57	251	83	41	98	22	110	69	60									
6	Число погашенных избирательных бюллетеней	2563	180	53	26	166	224	66	217	36	117	48	110	247	103	506	221	243									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1414	165	110	27	47	184	47	43	57	251	83	41	98	22	110	69	60									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	4664	259	40	105	194	267	171	235	135	114	274	214	180	215	1079	480	702									
9	Число недействительных избирательных бюллетеней	74	4	0	1	4	2	3	8	0	0	0	0	5	4	16	3	24									
10	Число действительных избирательных бюллетеней	6004	420	150	131	237	449	215	270	192	365	357	255	273	233	1173	546	738									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	119	10	5	6	3	3	4	22	4	7	4	4	4	4	27	6	6									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	105	7	5	5	1	2	4	22	3	5	3	4	3	4	27	4	6									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	20	0	4	1	1	0	2	3	1	2	0	1	2	1	1	1	0									
14	Число погашенных неиспользованных открепительных удостоверений	14	3	0	1	2	1	0	0	1	2	1	0	1	0	0	2	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	31	0	0	0	0	1	5	2	5	0	0	2	3	1	2	4	6									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																											
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	25	1	1	0	2	1	1	1	0	1	1	0	3	1	4	7	1									
