Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																								
Дата голосования: 07.12.2003 0:00:00																								
																								
Наименование Избирательной комиссии:    Яшалтинская																								
																								
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																								
																								
		Сумма	УИК  226	УИК  227	УИК  228	УИК  229	УИК  230	УИК  231	УИК  232	УИК  233	УИК  234	УИК  235	УИК  236	УИК  237	УИК  238	УИК  239	УИК  240	УИК  241	УИК  242					
1	"Число избирателей, внесенных в списки"	11905	1989	1829	1151	516	153	79	717	115	486	200	435	886	1449	232	754	321	593					
2	"Число бюллетеней, полученных участковыми комиссиями"	11959	1970	1832	1150	531	146	74	736	116	508	193	421	902	1456	230	773	319	602					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	7364	1177	1101	776	300	113	55	427	62	333	132	259	629	809	156	514	178	343					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	659	61	60	13	76	8	8	85	13	22	17	52	30	41	29	35	52	57					
6	Число погашенных бюллетеней	3936	732	671	361	155	25	11	224	41	153	44	110	243	606	45	224	89	202					
7	Число бюллетеней в переносных ящиках для голосования	659	61	60	13	76	8	8	85	13	22	17	52	30	41	29	35	52	57					
8	Число бюллетеней в стационарных ящиках для голосования	7363	1177	1100	776	300	113	55	427	62	333	132	259	629	809	156	514	178	343					
9	Число недействительных бюллетеней	366	46	60	79	11	7	3	14	2	9	7	10	12	53	11	8	5	29					
10	Число действительных бюллетеней	7656	1192	1100	710	365	114	60	498	73	346	142	301	647	797	174	541	225	371					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	150	20	20	15	9	5	1	10	5	5	5	5	10	15	5	10	5	5					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	66	16	19	0	8	0	1	4	1	2	0	0	2	4	1	6	0	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	54	10	6	5	0	4	6	2	1	2	2	1	0	5	3	0	3	4					
14	Число погашенных открепительных удостоверений	84	4	1	15	1	5	0	6	4	3	5	5	8	11	4	4	5	3					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																								
18	"1. ""ЕДИНЕНИЕ"""	122	11	10	26	10	1	1	5	2	10	7	5	12	6	1	4	2	9					
		1.52%	0.88%	0.86%	3.29%	2.65%	0.82%	1.58%	0.97%	2.66%	2.81%	4.69%	1.60%	1.82%	0.70%	0.54%	0.72%	0.86%	2.25%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	87	17	18	9	1	0	0	5	1	1	3	3	6	9	1	5	0	8					
		1.08%	1.37%	1.55%	1.14%	0.26%	0.0%	0.0%	0.97%	1.33%	0.28%	2.01%	0.96%	0.91%	1.05%	0.54%	0.91%	0.0%	2.0%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	165	27	28	5	5	0	1	11	2	8	7	5	17	33	3	4	3	6					
		2.05%	2.18%	2.41%	0.63%	1.32%	0.0%	1.58%	2.14%	2.66%	2.25%	4.69%	1.60%	2.57%	3.88%	1.62%	0.72%	1.30%	1.5%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	118	33	19	14	4	5	2	3	1	8	1	1	7	11	2	1	1	5					
		1.47%	2.66%	1.63%	1.77%	1.06%	4.13%	3.17%	0.58%	1.33%	2.25%	0.67%	0.32%	1.06%	1.29%	1.08%	0.18%	0.43%	1.25%					
22	"5. ""За Русь Святую"""	30	4	6	2	0	1	0	0	1	0	3	0	3	7	0	1	1	1					
		0.37%	0.32%	0.51%	0.25%	0.0%	0.82%	0.0%	0.0%	1.33%	0.0%	2.01%	0.0%	0.45%	0.82%	0.0%	0.18%	0.43%	0.25%					
23	"6. ""Объединенная Российская партия ""Русь"""	60	2	1	14	1	0	0	8	0	1	3	6	13	7	1	1	0	2					
		0.74%	0.16%	0.08%	1.77%	0.26%	0.0%	0.0%	1.56%	0.0%	0.28%	2.01%	1.92%	1.97%	0.82%	0.54%	0.18%	0.0%	0.5%					
24	"7. ""Новый курс - Автомобильная Россия"""	35	8	8	6	0	0	1	1	1	0	0	0	3	2	1	0	0	4					
		0.43%	0.64%	0.68%	0.76%	0.0%	0.0%	1.58%	0.19%	1.33%	0.0%	0.0%	0.0%	0.45%	0.23%	0.54%	0.0%	0.0%	1.0%					
25	"8. ""Народно-республиканская партия России"""	15	1	0	5	2	0	0	1	0	1	0	1	1	2	0	0	1	0					
		0.18%	0.08%	0.0%	0.63%	0.53%	0.0%	0.0%	0.19%	0.0%	0.28%	0.0%	0.32%	0.15%	0.23%	0.0%	0.0%	0.43%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	25	4	3	3	0	0	2	2	0	4	0	0	2	1	0	0	1	3					
