Выборы Президента Российской Федерации											
											
Наименование Избирательной комиссии:    Шмидтовская											
											
Итоги голосования 											
											
		Сумма	УИК №63	УИК №64	УИК №65	УИК №66					
1	"Число избирателей, внесенных в список"	1326	410	429	360	127					
2	Число полученных избирательных бюллетеней	1319	400	423	360	136					
3	"Число избирательных бюллетеней, выданных  досрочно"	451	0	74	360	17					
4	"Число избирательных бюллетеней, выданных в день голосования"	781	372	301	0	108					
5	"Число избирательных бюллетеней, выданных вне помещения"	69	25	42	0	2					
6	Число погашенных избирательных бюллетеней	18	3	6	0	9					
7	Число избирательных бюллетеней в переносных ящиках	520	25	116	360	19					
8	Число бюллетеней в стационарных ящиках для голосования	781	372	301	0	108					
9	Число недействительных избирательных бюллетеней	1	0	1	0	0					
10	Число действительных избирательных бюллетеней	1300	397	416	360	127					
11	Число полученных открепительных  удостоверений	100	20	25	40	15					
12	Число выданных открепительных удостоверений	38	13	13	0	12					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	9	8	1	0	0					
14	Число неиспользованных открепительных удостоверений	62	7	12	40	3					
15	"Число открепительных удостоверений, выданных в ТИК"	1	0	0	1	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"											
18	. Глазьев Сергей Юрьевич	10	2	8	0	0					
		0.77%	0.50%	1.92%	0.00%	0.00%					
19	. Малышкин Олег Александрович	31	7	13	4	7					
		2.38%	1.76%	3.12%	1.11%	5.51%					
20	. Миронов Сергей Михайлович	5	1	2	0	2					
		0.38%	0.25%	0.48%	0.00%	1.57%					
21	. Путин Владимир Владимирович	1179	350	372	349	108					
		90.62%	88.16%	89.21%	96.94%	85.04%					
22	. Хакамада Ирина Муцуовна	34	13	11	2	8					
		2.61%	3.27%	2.64%	0.56%	6.30%					
23	. Харитонов Николай Михайлович	28	16	7	3	2					
		2.15%	4.03%	1.68%	0.83%	1.57%					
											
24	Против всех	13	8	3	2	0					
		1.00%	2.02%	0.72%	0.56%	0.00%					
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
