Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																								
Дата голосования: 02.12.2007																																																																								
																																																																								
Наименование Избирательной комиссии:    Красносулинская районная																																																																								
																																																																								
Сводная таблица результатов выборов																																																																								
																																																																								
		Сумма	УИК №2225	УИК №2236	УИК №2273	УИК №2274	УИК №2275	УИК №2276	УИК №2278	УИК №2279	УИК №2280	УИК №2281	УИК №2282	УИК №2283	УИК №2284	УИК №2285	УИК №2286	УИК №2287	УИК №2288	УИК №2289	УИК №2290	УИК №2291	УИК №2292	УИК №2293	УИК №2294	УИК №2295	УИК №2296	УИК №2297	УИК №2298	УИК №2299	УИК №2300	УИК №2301	УИК №2302	УИК №2303	УИК №2304	УИК №2305	УИК №2306	УИК №2307	УИК №2308	УИК №2309	УИК №2310	УИК №2311	УИК №2312	УИК №2313	УИК №2314	УИК №2315	УИК №2316	УИК №2317	УИК №2318	УИК №2319	УИК №2320	УИК №2321	УИК №2322	УИК №2323	УИК №2324	УИК №2325	УИК №2326	УИК №2327	УИК №2328	УИК №2329	УИК №2330	УИК №2331	УИК №2332	УИК №2333	УИК №2334	УИК №2434	УИК №2537					
1	"Число избирателей, внесенных в списки избирателей"	67718	812	1217	1063	899	609	120	2369	1681	2099	1684	1021	1077	1059	1069	1558	1940	461	2041	2207	1627	1191	1800	2016	1703	2067	1423	1295	1031	1369	1637	443	179	966	1716	712	882	369	1926	703	2592	341	549	684	528	647	186	1689	568	340	1067	429	374	359	306	608	285	1491	468	516	1730	216	966	267	318	153					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	64233	960	1196	1068	881	600	117	2084	1424	1861	1442	1002	1035	1015	1024	1332	1788	450	1883	1960	1591	1169	1564	1776	1510	1815	1368	1243	1020	1344	1387	430	183	950	1675	714	858	371	1889	677	2535	333	548	675	535	656	186	1654	560	345	1060	429	367	361	329	631	285	1487	466	505	1762	209	948	263	302	146					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	43248	427	866	872	706	427	91	1324	1265	1347	777	452	605	421	441	593	1046	236	1267	1047	901	692	992	1242	767	1117	759	755	486	873	1108	380	140	687	1309	527	612	189	1344	608	2392	281	378	544	429	522	142	1246	391	186	820	312	260	241	153	448	237	1091	375	322	1370	112	699	202	257	140					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	3899	50	128	42	36	39	4	112	100	72	92	173	142	91	47	240	181	36	50	128	105	39	38	104	173	195	238	81	35	76	40	4	0	63	10	36	41	60	0	24	16	42	62	5	15	0	5	167	52	49	70	15	0	0	65	12	0	0	0	26	27	47	84	13	2	0					
6	Число погашенных избирательных бюллетеней	17086	483	202	154	139	134	22	648	59	442	573	377	288	503	536	499	561	178	566	785	585	438	534	430	570	503	371	407	499	395	239	46	43	200	356	151	205	122	545	45	127	10	108	126	91	134	39	241	117	110	170	102	107	120	111	171	48	396	91	157	365	50	165	48	43	6					
7	Число избирательных бюллетеней в переносных ящиках для голосования	3899	50	128	42	36	39	4	112	100	72	92	173	142	91	47	240	181	36	50	128	105	39	38	104	173	195	238	81	35	76	40	4	0	63	10	36	41	60	0	24	16	42	62	5	15	0	5	167	52	49	70	15	0	0	65	12	0	0	0	26	27	47	84	13	2	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	43246	427	866	872	706	427	91	1324	1265	1347	777	452	605	421	441	593	1046	236	1267	1047	901	692	992	1242	767	1115	759	755	486	873	1108	380	140	687	1309	527	612	189	1344	608	2392	281	378	544	429	522	142	1246	391	186	820	312	260	241	153	448	237	1091	375	322	1370	112	699	202	257	140					
9	Число недействительных избирательных бюллетеней	134	1	6	3	0	3	0	9	13	3	3	0	0	2	2	0	4	1	11	2	0	0	7	6	3	3	10	4	4	3	2	0	0	1	0	1	5	0	3	0	0	2	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	10	0	0	0	0	0					
10	Число действительных избирательных бюллетеней	47011	476	988	911	742	463	95	1427	1352	1416	866	625	747	510	486	833	1223	271	1306	1173	1006	731	1023	1340	937	1307	987	832	517	946	1146	384	140	749	1319	562	648	249	1341	632	2408	321	437	549	444	522	147	1413	443	235	887	327	260	241	218	460	237	1091	375	347	1387	159	783	215	259	140					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	1399	20	20	20	20	20	20	30	20	40	20	20	20	20	20	20	20	20	30	29	20	20	30	20	30	20	20	20	20	20	20	20	20	20	20	20	20	20	30	20	40	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	470	8	12	9	4	1	2	18	10	21	10	7	8	6	8	6	19	4	24	21	3	6	22	16	21	10	4	4	6	9	8	1	0	12	1	3	0	3	15	4	20	1	3	3	9	3	0	9	2	0	20	0	8	0	0	6	0	7	6	0	8	1	9	6	2	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	211	0	2	1	2	1	2	7	8	3	6	3	10	6	8	7	11	0	4	11	5	3	3	3	5	6	8	0	5	3	9	0	0	0	4	0	2	1	2	3	3	1	3	4	3	1	0	2	1	1	2	0	0	0	0	1	20	1	0	4	2	1	2	2	2	1					
14	Число погашенных неиспользованных открепительных удостоверений	929	12	8	11	16	19	18	12	10	19	10	13	12	14	12	14	1	16	6	8	17	14	8	4	9	10	16	16	14	11	12	19	20	8	19	17	20	17	15	16	20	19	17	17	11	17	20	11	18	20	0	20	12	20	20	14	20	13	14	20	12	19	11	14	18	19					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	6	0	0	0	0	0	0	1	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																								
18	1.Политическая партия «Аграрная партия России»	563	3	7	7	12	1	0	27	19	14	13	6	13	8	9	10	15	5	9	17	8	7	14	24	11	18	4	11	6	14	11	2	5	5	13	11	8	7	20	0	6	5	12	10	0	8	1	14	11	3	4	2	2	1	4	7	0	8	7	5	25	5	24	4	1	0					
		1.19%	0.63%	0.70%	0.77%	1.62%	0.21%	0.00%	1.88%	1.39%	0.99%	1.50%	0.96%	1.74%	1.56%	1.84%	1.20%	1.22%	1.84%	0.68%	1.45%	0.80%	0.96%	1.36%	1.78%	1.17%	1.37%	0.40%	1.32%	1.15%	1.48%	0.96%	0.52%	3.57%	0.67%	0.99%	1.95%	1.23%	2.81%	1.49%	0.00%	0.25%	1.55%	2.73%	1.82%	0.00%	1.53%	0.68%	0.99%	2.48%	1.28%	0.45%	0.61%	0.77%	0.41%	1.83%	1.52%	0.00%	0.73%	1.87%	1.44%	1.79%	3.14%	3.07%	1.86%	0.39%	0.00%					
19	2.Всероссийская политическая партия «Гражданская Сила»	223	1	4	1	0	3	0	12	21	7	1	3	4	2	4	2	4	0	8	10	3	3	15	3	6	6	5	30	7	10	2	0	0	6	0	0	2	2	2	0	0	0	5	1	0	2	0	2	2	1	4	0	0	0	1	4	0	2	0	2	5	1	2	0	0	0					
		0.47%	0.21%	0.40%	0.11%	0.00%	0.64%	0.00%	0.84%	1.54%	0.49%	0.12%	0.48%	0.54%	0.39%	0.82%	0.24%	0.33%	0.00%	0.61%	0.85%	0.30%	0.41%	1.46%	0.22%	0.64%	0.46%	0.50%	3.59%	1.34%	1.05%	0.17%	0.00%	0.00%	0.80%	0.00%	0.00%	0.31%	0.80%	0.15%	0.00%	0.00%	0.00%	1.14%	0.18%	0.00%	0.38%	0.00%	0.14%	0.45%	0.43%	0.45%	0.00%	0.00%	0.00%	0.46%	0.87%	0.00%	0.18%	0.00%	0.57%	0.36%	0.63%	0.26%	0.00%	0.00%	0.00%					
20	3.Политическая партия «Демократическая партия России»	67	0	0	3	0	0	0	14	17	0	0	0	1	0	1	1	1	0	9	2	0	0	0	2	1	0	0	0	0	1	0	2	0	2	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	3	0	1	0	1	0					
		0.14%	0.00%	0.00%	0.33%	0.00%	0.00%	0.00%	0.97%	1.25%	0.00%	0.00%	0.00%	0.13%	0.00%	0.20%	0.12%	0.08%	0.00%	0.68%	0.17%	0.00%	0.00%	0.00%	0.15%	0.11%	0.00%	0.00%	0.00%	0.00%	0.11%	0.00%	0.52%	0.00%	0.27%	0.00%	0.00%	0.15%	0.00%	0.00%	0.00%	0.00%	0.31%	0.00%	0.18%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.11%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.09%	0.00%	0.00%	0.21%	0.00%	0.13%	0.00%	0.39%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	4424	45	51	116	49	21	14	218	112	106	105	62	54	64	93	93	128	24	150	142	81	67	165	219	125	126	74	101	80	189	129	8	5	43	118	38	52	23	286	12	86	15	65	23	13	34	10	111	53	34	40	10	9	6	8	14	12	19	25	65	138	6	20	11	9	0					
		9.38%	9.43%	5.13%	12.69%	6.60%	4.51%	14.74%	15.18%	8.21%	7.47%	12.08%	9.92%	7.23%	12.50%	19.06%	11.16%	10.43%	8.82%	11.39%	12.09%	8.05%	9.17%	16.02%	16.27%	13.30%	9.62%	7.42%	12.08%	15.36%	19.92%	11.24%	2.08%	3.57%	5.73%	8.95%	6.75%	7.96%	9.24%	21.28%	1.90%	3.57%	4.64%	14.77%	4.19%	2.93%	6.51%	6.80%	7.86%	11.96%	14.47%	4.49%	3.06%	3.46%	2.49%	3.67%	3.04%	5.06%	1.74%	6.67%	18.68%	9.88%	3.77%	2.55%	5.12%	3.47%	0.00%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	101	0	0	2	2	0	0	11	4	0	3	1	3	0	3	1	0	1	2	4	2	2	0	2	3	3	0	8	7	5	6	0	0	3	0	0	1	0	0	1	0	1	1	0	0	0	0	1	0	0	6	2	2	1	0	3	0	0	0	0	1	1	0	2	0	0					
		0.21%	0.00%	0.00%	0.22%	0.27%	0.00%	0.00%	0.77%	0.29%	0.00%	0.35%	0.16%	0.40%	0.00%	0.61%	0.12%	0.00%	0.37%	0.15%	0.34%	0.20%	0.27%	0.00%	0.15%	0.32%	0.23%	0.00%	0.96%	1.34%	0.53%	0.52%	0.00%	0.00%	0.40%	0.00%	0.00%	0.15%	0.00%	0.00%	0.16%	0.00%	0.31%	0.23%	0.00%	0.00%	0.00%	0.00%	0.07%	0.00%	0.00%	0.67%	0.61%	0.77%	0.41%	0.00%	0.65%	0.00%	0.00%	0.00%	0.00%	0.07%	0.63%	0.00%	0.93%	0.00%	0.00%					
23	6.Политическая партия «Партия социальной справедливости»	63	0	0	10	1	0	0	7	4	0	3	1	1	0	1	1	2	0	2	2	2	0	3	0	2	4	0	2	0	0	1	0	0	2	1	0	0	0	1	0	2	0	1	1	0	0	0	1	0	2	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0					
		0.13%	0.00%	0.00%	1.09%	0.13%	0.00%	0.00%	0.49%	0.29%	0.00%	0.35%	0.16%	0.13%	0.00%	0.20%	0.12%	0.16%	0.00%	0.15%	0.17%	0.20%	0.00%	0.29%	0.00%	0.21%	0.31%	0.00%	0.24%	0.00%	0.00%	0.09%	0.00%	0.00%	0.27%	0.08%	0.00%	0.00%	0.00%	0.07%	0.00%	0.08%	0.00%	0.23%	0.18%	0.00%	0.00%	0.00%	0.07%	0.00%	0.85%	0.11%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.29%	0.07%	0.00%	0.00%	0.00%	0.00%	0.00%					
24	7.Политическая партия «Либерально-демократическая партия России»	2453	24	42	34	34	18	6	103	113	65	74	36	50	50	47	48	111	24	70	89	77	45	61	49	56	67	60	58	36	45	72	29	9	22	50	30	55	12	85	6	7	11	27	22	24	19	13	68	16	11	12	16	8	4	15	27	17	13	13	22	63	18	20	9	6	10					
		5.20%	5.03%	4.23%	3.72%	4.58%	3.86%	6.32%	7.17%	8.28%	4.58%	8.52%	5.76%	6.69%	9.77%	9.63%	5.76%	9.05%	8.82%	5.32%	7.57%	7.65%	6.16%	5.92%	3.64%	5.96%	5.11%	6.02%	6.94%	6.91%	4.74%	6.27%	7.55%	6.43%	2.93%	3.79%	5.33%	8.42%	4.82%	6.32%	0.95%	0.29%	3.41%	6.14%	4.01%	5.41%	3.64%	8.84%	4.81%	3.61%	4.68%	1.35%	4.89%	3.08%	1.66%	6.88%	5.87%	7.17%	1.19%	3.47%	6.32%	4.51%	11.32%	2.55%	4.19%	2.32%	7.14%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	2594	32	44	2	34	21	2	149	120	54	107	34	43	48	31	48	54	13	56	127	56	51	106	145	115	147	74	70	41	85	46	8	4	21	13	13	69	14	80	12	35	6	16	16	25	13	6	76	16	9	13	5	9	12	2	7	7	8	6	12	59	5	19	2	11	10					
		5.50%	6.71%	4.43%	0.22%	4.58%	4.51%	2.11%	10.38%	8.79%	3.81%	12.31%	5.44%	5.76%	9.38%	6.35%	5.76%	4.40%	4.78%	4.25%	10.81%	5.57%	6.98%	10.29%	10.77%	12.23%	11.22%	7.42%	8.37%	7.87%	8.96%	4.01%	2.08%	2.86%	2.80%	0.99%	2.31%	10.57%	5.62%	5.95%	1.90%	1.45%	1.86%	3.64%	2.91%	5.63%	2.49%	4.08%	5.38%	3.61%	3.83%	1.46%	1.53%	3.46%	4.98%	0.92%	1.52%	2.95%	0.73%	1.60%	3.45%	4.22%	3.14%	2.43%	0.93%	4.25%	7.14%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	322	5	6	3	3	3	0	19	94	14	3	3	2	1	3	2	8	1	7	7	7	3	8	7	5	6	4	0	3	8	6	5	1	4	2	0	1	3	14	0	0	3	2	1	0	2	1	2	3	1	2	0	0	0	8	5	0	0	1	1	10	2	4	2	1	0					
		0.68%	1.05%	0.60%	0.33%	0.40%	0.64%	0.00%	1.32%	6.89%	0.99%	0.35%	0.48%	0.27%	0.20%	0.61%	0.24%	0.65%	0.37%	0.53%	0.60%	0.70%	0.41%	0.78%	0.52%	0.53%	0.46%	0.40%	0.00%	0.58%	0.84%	0.52%	1.30%	0.71%	0.53%	0.15%	0.00%	0.15%	1.20%	1.04%	0.00%	0.00%	0.93%	0.45%	0.18%	0.00%	0.38%	0.68%	0.14%	0.68%	0.43%	0.22%	0.00%	0.00%	0.00%	3.67%	1.09%	0.00%	0.00%	0.27%	0.29%	0.72%	1.26%	0.51%	0.93%	0.39%	0.00%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	36014	365	832	731	603	396	73	857	827	1144	552	479	573	335	293	624	898	201	988	762	764	549	644	877	605	922	762	551	333	582	864	330	116	640	1121	470	458	188	852	601	2272	279	308	473	378	444	115	1135	341	174	801	292	230	216	177	391	201	1040	323	239	1080	121	689	183	230	120					
		76.39%	76.52%	83.70%	79.98%	81.27%	84.98%	76.84%	59.68%	60.59%	80.62%	63.52%	76.64%	76.71%	65.43%	60.04%	74.91%	73.19%	73.90%	75.02%	64.85%	75.94%	75.10%	62.52%	65.16%	64.36%	70.38%	76.43%	65.91%	63.92%	61.33%	75.26%	85.94%	82.86%	85.33%	84.99%	83.48%	70.14%	75.50%	63.39%	95.09%	94.35%	86.38%	70.00%	86.16%	85.14%	85.06%	78.23%	80.33%	76.98%	74.04%	90.00%	89.30%	88.46%	89.63%	81.19%	85.00%	84.81%	95.33%	86.13%	68.68%	77.31%	76.10%	87.99%	85.12%	88.80%	85.71%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	187	1	2	2	4	0	0	10	21	12	5	0	3	2	1	3	2	2	5	11	6	4	7	12	8	8	4	1	4	7	9	0	0	1	1	0	1	0	1	0	0	0	0	1	4	0	1	3	1	0	3	0	0	1	3	2	0	0	0	0	2	0	4	2	0	0					
